rollout/ep_len_mean,time/fps,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,custom/max_height,train/n_updates,train/loss,train/entropy_loss,train/clip_range,train/value_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/explained_variance,train/approx_kl
8.0,1,0,0.0,1839,2048,1,-14.0,,,,,,,,,,
8.0,1,0,0.0,3702,4096,2,-302.0,10,0.0016422339249402285,-1.3886973060667516,0.2,0.03233091307047289,0.0,-3.298773663118482e-08,3e-05,-38.28911590576172,0.0
8.0,1,0,0.0,5572,6144,3,-14.0,20,-0.0013697926187887788,-1.3603628292679786,0.2,0.0003746615963791555,0.0,2.7417991077527405e-08,3e-05,-6.381180763244629,0.0
8.0,1,0,0.0,7405,8192,4,-158.0,30,-0.03159676119685173,-1.2998664192855358,0.2,0.00020316918413954,0.098583984375,-0.010987240840040612,3e-05,-57.061580657958984,0.008660454
8.0,1,1,0.0,9263,10240,5,186.0,40,-0.0346309058368206,-1.3724836699664593,0.2,0.00015044423060928125,0.057958984375,-0.010615415195206878,3e-05,-92.159912109375,0.011159987
8.0,1,0,0.0,11170,12288,6,-158.0,50,-0.026992980390787125,-1.3503571443259716,0.2,8.312268204164752e-05,0.06943359375,-0.010870770038309274,3e-05,-111.19580078125,0.011955589
8.0,1,0,0.0,13087,14336,7,-14.0,60,-0.014117952436208725,-1.3459100782871247,0.2,0.00014193957675239232,0.068310546875,-0.005667463412100915,3e-05,-54.54579162597656,0.009150688
8.0,1,1,0.0,15002,16384,8,282.0,70,-0.023502636700868607,-1.280010088905692,0.2,0.00016245702121793216,0.03564453125,-0.003953975005424581,3e-05,-89.07614135742188,0.006184268
8.0,1,0,0.0,16841,18432,9,-158.0,80,-0.03563933074474335,-1.3018783874809743,0.2,4.639469660840945e-05,0.0763671875,-0.010695560208841926,3e-05,-190.95535278320312,0.018106047
8.0,1,0,0.0,18675,20480,10,-158.0,90,-0.03423738479614258,-1.2784802548587322,0.2,5.406458708012707e-05,0.114013671875,-0.011506447662395659,3e-05,-174.3821563720703,0.018823504
8.0,1,0,0.0,20498,22528,11,-14.0,100,-0.03032052516937256,-1.3160914830863475,0.2,2.177209189211382e-05,0.11357421875,-0.013651496458624023,3e-05,-87.0702133178711,0.01233233
8.0,1,0,0.0,22439,24576,12,-158.0,110,0.034281183034181595,-1.3087103817611934,0.2,2.5022029824661728e-05,0.124853515625,-0.010549597590579652,3e-05,-53.090858459472656,0.012542298
8.0,1,0,-0.99,24275,26624,13,-14.0,120,-0.01767786405980587,-1.2161759193986654,0.2,1.2733847495294271e-05,0.0771484375,-0.008079915285634343,3e-05,-120.56127166748047,0.014722072
8.0,1,0,0.0,26190,28672,14,-158.0,130,1.2837342023849487,-1.1945238705724477,0.2,2.468970510130748,0.176806640625,-0.008893270275439135,3e-05,1.9431114196777344e-05,0.019807752
8.0,1,1,0.0,28164,30720,15,90.0,140,-0.07189400494098663,-1.296355577930808,0.2,0.002126388443502947,0.17333984375,-0.01971588390151737,3e-05,-31.371379852294922,0.037970606
8.0,1,0,0.0,30093,32768,16,-14.0,150,-0.00530881155282259,-1.3512051664292812,0.2,0.0002892621114995109,0.107470703125,-0.005187071333057247,3e-05,-40.55497360229492,0.014693388
8.0,1,1,0.0,32027,34816,17,186.0,160,-0.014199400320649147,-1.4115779154002666,0.2,8.797885806188788e-05,0.0763671875,-0.004152910955963307,3e-05,-79.77332305908203,0.00824045
8.0,1,0,0.0,33965,36864,18,-158.0,170,-0.008396835066378117,-1.355157946795225,0.2,3.81494600802057e-05,0.03916015625,-0.0030752939986996354,3e-05,-70.65841674804688,0.007843994
8.0,1,0,0.0,35862,38912,19,-302.0,180,0.014552167616784573,-1.3742316216230392,0.2,1.6522172344579643e-05,0.059375,-0.006438168723252602,3e-05,-70.58940124511719,0.007896872
8.0,1,0,0.0,37809,40960,20,-158.0,190,-0.027653418481349945,-1.413062996417284,0.2,4.651685009793294e-06,0.0689453125,-0.008156326099197031,3e-05,-82.92391967773438,0.009200135
8.0,1,0,0.0,39718,43008,21,-158.0,200,-0.013093440793454647,-1.3313080605119467,0.2,3.6601699640037566e-06,0.076904296875,-0.003391725820256397,3e-05,-82.22234344482422,0.008529863
8.0,1,0,0.0,41646,45056,22,-302.0,210,-0.02604256011545658,-1.3781965486705303,0.2,2.748497627802493e-06,0.1056640625,-0.003972311731195078,3e-05,-90.21086883544922,0.0074678953
8.0,1,0,0.0,43593,47104,23,-302.0,220,-0.0016288432525470853,-1.2622140906751156,0.2,1.897343096918247e-06,0.133740234375,-0.01163241212052526,3e-05,-70.84380340576172,0.014803118
