rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,custom/max_height,time/time_elapsed,custom/current_screen,time/iterations,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/loss,train/approx_kl
-0.09375,0,8.0,512,-302.0,522,0,1,,,,,,,,,,
-0.15,0,8.0,1024,-158.0,1024,0,2,-1.7163431644439697,0.0935546875,-3.325127753615379,0.15033670195844023,10,-0.026889325038064273,0.0003,0.2,0.015855930745601654,0.013210566
-0.27,0,8.0,1536,-302.0,1542,0,3,-0.030591487884521484,0.0888671875,-3.313840714097023,0.6339163131429814,20,-0.01720752308610827,0.0003,0.2,0.04624153673648834,0.011338401
-0.27,0,8.0,2048,-302.0,2054,0,4,0.008022606372833252,0.1408203125,-3.312322810292244,1.2053799430141225,30,-0.022187313984613866,0.0003,0.2,0.20335066318511963,0.015418713
-0.06,0,8.0,2560,-302.0,2567,0,5,-0.1428908109664917,0.0849609375,-3.3048806190490723,0.1560209958523046,40,-0.021639893064275384,0.0003,0.2,0.006631169468164444,0.011631984
0.0,1,8.0,3072,-302.0,3068,0,6,-53.510475158691406,0.1578125,-3.293307971954346,0.0026868541145177007,50,-0.03245083354995586,0.0003,0.2,-0.04204627498984337,0.013212402
0.0,0,8.0,3584,-158.0,3584,0,7,-79.8976058959961,0.060546875,-3.2893349468708037,0.00037469899297093434,60,-0.02923525177175179,0.0003,0.2,-0.03158130869269371,0.010466294
0.0,0,8.0,4096,-302.0,4096,0,8,-111.54199981689453,0.0701171875,-3.2845868170261383,6.312961222079138e-05,70,-0.025144116871524604,0.0003,0.2,-0.03689095005393028,0.009845704
-0.06,0,8.0,4608,-302.0,4612,0,9,-95.5411376953125,0.0515625,-3.2857574224472046,0.00015564772508014357,80,-0.026454691457911395,0.0003,0.2,-0.042693495750427246,0.008371018
-0.24,0,8.0,5120,-302.0,5126,0,10,-0.010951042175292969,0.10390625,-3.2653420597314833,0.10967082578572444,90,-0.018426776153501124,0.0003,0.2,0.044724978506565094,0.0091645755
-0.03,0,8.0,5632,-302.0,5636,0,11,-0.01519322395324707,0.0869140625,-3.2652470380067826,0.5419042559573427,100,-0.019019071501679717,0.0003,0.2,0.16479375958442688,0.009814856
-0.06,0,8.0,6144,-302.0,6154,0,12,-63.178016662597656,0.1306640625,-3.273692375421524,0.0021377732684413784,110,-0.035646542673930526,0.0003,0.2,-0.021818701177835464,0.013560658
-0.12,0,8.0,6656,-302.0,6672,0,13,-0.0001494884490966797,0.08515625,-3.281046986579895,0.34082994671152844,120,-0.016188592158141547,0.0003,0.2,0.4167685806751251,0.010794736
-0.06,0,8.0,7168,-302.0,7191,0,14,-0.03976881504058838,0.0556640625,-3.2703542530536653,0.2971876749827061,130,-0.013651124783791602,0.0003,0.2,0.1825026124715805,0.008780494
-0.06,0,8.0,7680,-302.0,7711,0,15,-76.37946319580078,0.1251953125,-3.274954578280449,0.002818373085392523,140,-0.03527458128519356,0.0003,0.2,-0.05629195645451546,0.01233507
-0.12,0,8.0,8192,-302.0,8232,0,16,-0.027586817741394043,0.0267578125,-3.268426775932312,0.24125819440523627,150,-0.01738218029786367,0.0003,0.2,0.13586989045143127,0.0067197047
-0.09,0,8.0,8704,-302.0,8751,0,17,-0.18271660804748535,0.09765625,-3.2519707918167113,0.25005129635101186,160,-0.026216133436537347,0.0003,0.2,-0.03800015151500702,0.009182388
-0.06,0,8.0,9216,90.0,9270,1,18,0.00016754865646362305,0.0765625,-3.2340796411037447,0.3373906102933688,170,-0.02168331331340596,0.0003,0.2,-0.03182050585746765,0.00997661
0.0,0,8.0,9728,-158.0,9784,0,19,-25.054885864257812,0.1408203125,-3.226229879260063,0.0011085818110586842,180,-0.033385556866414846,0.0003,0.2,-0.06645172089338303,0.015230708
0.0,0,8.0,10240,-158.0,10306,0,20,-51.92628860473633,0.058984375,-3.1999850302934645,0.0023923567168822046,190,-0.024750720371957868,0.0003,0.2,-0.049845002591609955,0.008275139
-0.15,0,8.0,10752,-302.0,10817,0,21,-111.5742416381836,0.08515625,-3.184253531694412,0.0015821937862710912,200,-0.03091495845001191,0.0003,0.2,-0.04591035470366478,0.009735202
-0.09,0,8.0,11264,-302.0,11323,0,22,-0.001705169677734375,0.14140625,-3.1701538443565367,0.711079502832763,210,-0.02297935603419319,0.0003,0.2,0.017706261947751045,0.012298841
-0.06,0,8.0,11776,-302.0,11832,0,23,-54.28086853027344,0.1076171875,-3.161922815442085,0.003385039082422736,220,-0.03170366390841082,0.0003,0.2,-0.08423835784196854,0.012068546
-0.09,0,8.0,12288,-158.0,12351,0,24,-0.014061450958251953,0.0775390625,-3.1693913668394087,0.17557213193940696,230,-0.020326585101429373,0.0003,0.2,0.15256217122077942,0.008617874
-0.03,0,8.0,12800,-302.0,12847,0,25,0.1447603702545166,0.0578125,-3.149875137209892,0.05254989580789697,240,-0.020372526394203304,0.0003,0.2,0.008376386016607285,0.008887176
-0.21,0,8.0,13312,-302.0,13352,0,26,-56.03098678588867,0.0701171875,-3.106319808959961,0.002061070931404174,250,-0.021921883849427105,0.0003,0.2,-0.037763096392154694,0.008414027
-0.03,0,8.0,13824,-302.0,13850,0,27,-0.0026422739028930664,0.055859375,-3.1071331053972244,2.057047347415937,260,-0.013823146879440173,0.0003,0.2,2.1868772506713867,0.011680368
0.0,0,8.0,14336,-302.0,14352,0,28,-0.027191162109375,0.13203125,-3.0649364292621613,0.09419133953633718,270,-0.021945155569119378,0.0003,0.2,0.07356792688369751,0.011872066
0.0,0,8.0,14848,-302.0,14856,0,29,-54.70062255859375,0.0796875,-3.0742214798927305,0.001350756315241597,280,-0.02603668547817506,0.0003,0.2,-0.031427137553691864,0.009354681
0.0,0,8.0,15360,-302.0,15360,0,30,-85.55620574951172,0.0736328125,-3.0635876834392546,0.00014478427935387116,290,-0.02777067878632806,0.0003,0.2,-0.046488139778375626,0.009001967
-0.06,1,8.0,15872,-302.0,15863,0,31,-162.5705108642578,0.0625,-3.034618082642555,5.3209604602955095e-05,300,-0.02300758546916768,0.0003,0.2,-0.05101606994867325,0.009684548
-0.09,1,8.0,16384,-302.0,16366,0,32,0.00020682811737060547,0.151171875,-3.092005917429924,0.23554295860254798,310,-0.017265028483234347,0.0003,0.2,-0.03490355983376503,0.013182845
-0.03,1,8.0,16896,-302.0,16881,0,33,0.020266056060791016,0.1984375,-3.1487150609493257,0.0779191365960287,320,-0.0225875126052415,0.0003,0.2,0.006825698539614677,0.01226181
0.0,1,8.0,17408,-302.0,17392,0,34,-82.5931396484375,0.100390625,-3.1523336708545684,0.0008783999729985225,330,-0.02136961108772084,0.0003,0.2,-0.033982086926698685,0.012267856
-0.18,1,8.0,17920,-302.0,17901,0,35,-52.78181838989258,0.1197265625,-3.1263803392648697,2.762529869642094e-05,340,-0.033703163627069446,0.0003,0.2,-0.065644770860672,0.012368175
