time/iterations,time/total_timesteps,custom/current_screen,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,custom/max_height,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
1,64,0,4.0,63,1,-0.734375,-302.0,,,,,,,,,,
2,128,0,3.9375,127,1,-0.71875,-302.0,-0.009853869490325452,310.86606750488284,0.0,0.2,150,0.0003,155.1531219482422,0.02474689483642578,0.0019963887,-2.670147347450256
3,192,0,3.857142857142857,188,1,-0.6887755102040813,-302.0,-0.00330062898574397,822.9364501953125,0.0,0.2,160,0.0003,410.4613952636719,0.026614665985107422,0.0010575633,-2.6731457710266113
4,256,0,3.8636363636363638,253,1,-0.6856060606060604,-302.0,-0.010476551949977875,302.9600128173828,0.0,0.2,170,0.0003,151.2384490966797,0.01659679412841797,0.0026636105,-2.6694727420806883
5,320,0,3.8780487804878048,320,0,-0.7134146341463414,-302.0,-0.007834273274056613,198.40992889404296,0.0015625,0.2,180,0.0003,98.92621612548828,0.04995054006576538,0.0027588299,-2.6821314334869384
6,384,0,3.8686868686868685,382,1,-0.7020202020202014,-302.0,-0.008277996629476547,610.0166137695312,0.0,0.2,190,0.0003,304.1318054199219,0.033312082290649414,0.0026888307,-2.671354389190674
7,448,0,3.8,449,0,-0.12399999999999999,-158.0,-0.0032860022969543935,456.78892822265624,0.0,0.2,200,0.0003,226.8967742919922,0.04587960243225098,0.0012735045,-2.6754725217819213
8,512,0,3.77,514,0,-0.12399999999999978,-302.0,-0.0020492127165198325,1236.6050537109375,0.0,0.2,210,0.0003,615.9307861328125,0.04172545671463013,0.00034179352,-2.6529865026474
9,576,0,3.73,579,0,1.0255,-158.0,-0.002979615330696106,1449.7595336914062,0.0,0.2,220,0.0003,723.5682983398438,0.032810091972351074,0.00019988045,-2.639957237243652
10,640,0,3.6,642,0,0.49699999999999983,-302.0,-0.0034448170103132726,901.60478515625,0.0,0.2,230,0.0003,449.2243957519531,0.04509603977203369,0.000206884,-2.637931752204895
11,704,0,3.53,704,0,1.1080000000000003,-302.0,-0.005950930342078209,1549.2735473632813,0.0,0.2,240,0.0003,772.3300170898438,0.05681633949279785,0.00032461435,-2.6491445302963257
12,768,0,3.47,770,0,1.071,-302.0,-0.011413693847134709,432.2644805908203,0.0015625,0.2,250,0.0003,215.50787353515625,0.05692869424819946,0.0019771121,-2.6458549976348875
13,832,0,3.46,835,0,1.757,-302.0,-0.005371335591189563,687.3521362304688,0.0,0.2,260,0.0003,342.9427185058594,0.039911746978759766,0.0014707148,-2.6683247327804565
14,896,0,3.53,896,0,1.1909999999999998,-302.0,-0.013528388552367687,872.6131530761719,0.0,0.2,270,0.0003,435.8042297363281,0.005158066749572754,0.0025502574,-2.610525703430176
15,960,0,3.53,958,1,1.7645000000000002,-158.0,-0.0036389882676303386,794.7958923339844,0.0,0.2,280,0.0003,396.89630126953125,0.06200456619262695,0.0011533061,-2.601520371437073
