time/iterations,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,time/fps,rollout/ep_len_mean,custom/max_height,time/total_timesteps,train/loss,train/learning_rate,train/explained_variance,train/n_updates,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/entropy_loss
1,165.29904471999998,1,1456,0,6.96,306.0,1024,,,,,,,,,,
2,182.18947014000005,1,2893,0,7.55,90.0,2048,7031.10888671875,0.0001,0.027021467685699463,135,0.0037667938,0.2,-0.012320643267594278,14014.593371582032,0.0224609375,-0.6456073880195617
3,201.20564266000002,1,4325,0,7.46,90.0,3072,6210.787109375,0.0001,0.013477563858032227,140,0.004411338,0.2,-0.010875309619586914,12927.03468017578,0.0365234375,-0.5998888939619065
4,174.05122174999997,1,5761,0,7.28,306.0,4096,6219.5576171875,0.0001,0.02917337417602539,145,0.0035496196,0.2,-0.007431272781104781,12526.46689453125,0.0294921875,-0.5970882631838321
5,187.76418382000003,1,7272,0,7.32,90.0,5120,6771.578125,0.0001,0.05555832386016846,150,0.009784525,0.2,-0.011149020717130042,12616.979443359374,0.0552734375,-0.6246342733502388
6,194.18880475999995,1,8747,0,7.11,90.0,6144,6030.408203125,0.0001,0.06461423635482788,155,0.002896952,0.2,-0.009245224378537387,12158.164172363282,0.030078125,-0.6043773546814919
7,203.30038348000002,1,10188,0,7.79,90.0,7168,5731.09912109375,0.0001,0.007409155368804932,160,0.0035097324,0.2,-0.010756094602402299,12010.278527832032,0.028515625,-0.5495653599500656
8,194.14212708000002,1,11589,0,7.56,306.0,8192,5273.40185546875,0.0001,0.0426066517829895,165,0.004749085,0.2,-0.00843724108999595,11269.021862792968,0.033984375,-0.5221889551728964
9,221.50065225999998,1,13016,0,7.22,90.0,9216,4640.484375,0.0001,0.05883669853210449,170,0.004242521,0.2,-0.011752759711816907,10808.125512695313,0.039453125,-0.5114761181175709
10,216.18286145000005,1,14443,0,7.5,90.0,10240,5013.095703125,0.0001,0.013082146644592285,175,0.0032905275,0.2,-0.007016570385894738,10148.75284423828,0.021484375,-0.4541261471807957
11,219.86592282000004,1,15886,0,7.41,282.0,11264,4806.3974609375,0.0001,0.015567779541015625,180,0.0037593697,0.2,-0.006626825651619583,9833.263806152343,0.0296875,-0.4506432391703129
12,226.64093429000002,1,17323,0,7.4,90.0,12288,4737.8740234375,0.0001,0.005958080291748047,185,0.0009964701,0.2,-0.005474530509673059,9364.351623535156,0.0103515625,-0.4322279512882233
13,201.86414721,1,18760,0,6.96,306.0,13312,4357.27001953125,0.0001,0.004351139068603516,190,0.002554446,0.2,-0.007074250327423215,9091.504296875,0.0216796875,-0.42702806629240514
14,201.73214821999997,1,20197,0,6.85,282.0,14336,5086.84814453125,0.0001,0.003453493118286133,195,0.0018741218,0.2,-0.006646329525392502,9635.92960205078,0.0203125,-0.41597802825272084
15,204.04253174999997,1,21642,0,7.04,282.0,15360,4198.6767578125,0.0001,0.007631480693817139,200,0.001619219,0.2,-0.006212488195160404,9475.859735107422,0.0095703125,-0.39492314159870145
16,224.71462336000002,1,23064,0,7.14,306.0,16384,4125.79150390625,0.0001,0.03850829601287842,205,0.0056640874,0.2,-0.011243207845836878,8644.040795898438,0.028515625,-0.3771692894399166
17,218.02458440999996,1,24500,0,7.21,306.0,17408,4033.4521484375,0.0001,0.00026232004165649414,207,0.03842596,0.2,-0.0035216780653332964,8439.620461856617,0.017463235294117647,-0.39273254836306853
18,215.61076626,1,25922,0,7.0,306.0,18432,4384.228515625,0.0001,0.05328136682510376,212,0.0019553576,0.2,-0.006856565608177334,7996.41381225586,0.0189453125,-0.3762287698686123
19,224.59326513,1,27325,0,6.92,90.0,19456,3268.771728515625,0.0001,-0.001752018928527832,217,0.0020995166,0.2,-0.00570587775146123,7619.88257446289,0.0126953125,-0.34579237177968025
20,231.84121069000005,1,28753,0,6.99,306.0,20480,4062.799072265625,0.0001,0.02842611074447632,222,0.0013865684,0.2,-0.0037800528371008113,7455.090600585938,0.0109375,-0.3373876914381981
21,225.82244163000004,1,30173,0,6.68,186.0,21504,3167.941162109375,0.0001,-0.000370025634765625,227,0.002355339,0.2,-0.006192659755470231,6702.159558105469,0.01015625,-0.3170640725642443
22,225.86129441999998,1,31614,0,6.72,186.0,22528,3747.182861328125,0.0001,0.032878994941711426,232,0.0025853587,0.2,-0.007305398798780516,6839.773767089844,0.0171875,-0.3005481194704771
23,221.47418145,1,33033,0,6.93,90.0,23552,3154.38525390625,0.0001,0.0010504722595214844,234,0.0059727784,0.2,0.0020163360459264368,6578.074966430664,0.0126953125,-0.282540675252676
24,231.77881202999998,1,34453,0,7.01,186.0,24576,3150.203857421875,0.0001,0.05943948030471802,239,0.005671112,0.2,-0.004348493018187583,6465.881872558593,0.0296875,-0.28107956908643245
25,235.07034634000004,1,35866,0,6.87,186.0,25600,2624.982421875,0.0001,-0.010923027992248535,244,0.001863789,0.2,-0.0013457340333843603,5821.658697509765,0.010546875,-0.2627960775047541
26,232.19918330999997,1,37258,0,6.84,282.0,26624,2774.36376953125,0.0001,-0.023881077766418457,249,0.0022053407,0.2,-0.005615026189479977,5550.904351806641,0.0197265625,-0.24607558287680148
27,225.05526073000001,1,38695,0,6.85,186.0,27648,2605.298583984375,0.0001,0.05729782581329346,254,0.0030869609,0.2,-0.004580484883626923,5318.155755615235,0.0205078125,-0.2509224621579051
28,220.14629977,1,40136,0,6.92,306.0,28672,2447.083984375,0.0001,0.0035396814346313477,259,0.0022641306,0.2,-0.005287473447970115,5509.237298583985,0.0232421875,-0.25187816824764014
