rollout/ep_rew_mean,time/total_timesteps,custom/current_screen,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,custom/max_height,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/loss,train/clip_fraction
199.43599782,2048,3,12.6,1,1729,1,890.0,,,,,,,,,,
212.37669021000002,4096,3,12.56,1,3446,2,786.0,0.0044493157273301715,0.0030882773,0.0001,0.2,11352.1630859375,-0.3786521485218635,0.07449805736541748,79,6643.90966796875,0.004807692307692308
206.25106413999998,6144,3,12.56,1,5150,3,786.0,0.02282318218865178,0.0060151215,0.0001,0.2,10239.8642578125,-0.38291884552348743,1.0371208190917969e-05,80,5232.38134765625,0.015625
216.83233066000005,8192,3,12.47,1,6864,4,786.0,0.001032114727422595,0.013918418,0.0001,0.2,10541.646326401655,-0.3785882977878346,6.318092346191406e-06,83,5165.88525390625,0.03860294117647059
217.36766359000003,10240,3,12.39,1,8582,5,1034.0,-0.002466410938554357,0.034879528,0.0001,0.2,9770.11048244201,-0.3699484452144387,1.6510486602783203e-05,87,4616.439453125,0.036404639175257734
203.83327786,12288,3,12.34,1,10313,6,1034.0,-0.005694421021925176,0.008527042,0.0001,0.2,10477.495548023897,-0.37093713507056236,1.0609626770019531e-05,92,4997.5693359375,0.033203125
216.54229488000001,14336,3,12.6,1,12028,7,890.0,-0.0023576858608673015,0.026716381,0.0001,0.2,10179.732231987848,-0.38313308275408214,9.953975677490234e-06,94,5648.68359375,0.03298611111111111
199.67459739999998,16384,3,11.9,1,13772,8,890.0,0.0004574112972477451,0.0049521755,0.0001,0.2,9212.487396240234,-0.3956187358126044,1.0132789611816406e-05,95,4751.98046875,0.0263671875
210.27364797,18432,3,12.64,1,15490,9,890.0,-0.00348144627104585,0.23050585,0.0001,0.2,9959.007767427885,-0.3986763569024893,3.4570693969726562e-06,98,5375.71533203125,0.07163461538461538
197.52538108000002,20480,3,12.23,1,17236,10,890.0,-0.0030613155334176106,0.01258329,0.0001,0.2,8819.333230854552,-0.38697551834730454,-0.0021750926971435547,101,4396.1494140625,0.057291666666666664
215.19375555,22528,3,12.36,1,18958,11,890.0,0.001431570536541668,0.01820943,0.0001,0.2,9278.326615767046,-0.3613543049855666,0.061739981174468994,102,4183.53857421875,0.005681818181818182
207.65347583,24576,3,12.03,1,20715,12,1034.0,-0.007292003767658611,0.009369414,0.0001,0.2,8022.887105689859,-0.34904205930307974,4.76837158203125e-06,107,3634.342529296875,0.08048349056603774
220.48131802,26624,3,12.26,1,22459,13,890.0,-0.0019164772616932168,0.0032032747,0.0001,0.2,8330.745910644531,-0.35461583733558655,4.291534423828125e-06,112,4617.97265625,0.03994140625
206.00090424,28672,3,12.24,1,24216,14,890.0,-0.0014221581002471573,0.03134743,0.0001,0.2,7262.364953243371,-0.3404842696406625,1.0609626770019531e-05,114,3474.39501953125,0.041193181818181816
225.32695852000003,30720,3,12.27,1,25971,15,1034.0,-0.003647568917758491,0.010647533,0.0001,0.2,7962.533370637546,-0.3573150027842417,0.022652804851531982,119,3487.30810546875,0.0448220802919708
197.38490355000002,32768,3,11.97,1,27717,16,890.0,0.004703484071222575,0.0025887869,0.0001,0.2,7133.349326685855,-0.3566056678169652,1.5974044799804688e-05,120,3376.067138671875,0.013157894736842105
189.32553055000005,34816,3,12.59,1,29427,17,786.0,0.005206065180783088,0.012326061,0.0001,0.2,8345.52734375,-0.3627700117918161,4.589557647705078e-06,121,4017.691162109375,0.016826923076923076
195.09371251000002,36864,3,12.48,1,31174,18,890.0,-0.0016140162479132414,0.007160151,0.0001,0.2,8316.730444335937,-0.36650375127792356,2.205371856689453e-06,122,3483.266357421875,0.0328125
208.51322006,38912,3,12.0,1,32924,19,890.0,-0.0006695009768009185,0.0042682313,0.0001,0.2,8546.984130859375,-0.35111034512519834,0.0461919903755188,123,4329.5673828125,0.0078125
