time/total_timesteps,time/iterations,custom/max_height,custom/current_screen,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/clip_range,train/value_loss,train/learning_rate,train/approx_kl,train/loss,train/explained_variance
2048,1,1378.0,4,12.06,2268,0,167.66367069000003,,,,,,,,,,
4096,2,1410.0,4,11.65,4566,0,140.37769496,-0.5044009432196617,0.0018580648116767406,60,0.01484375,0.2,11305.961376953124,0.0001,0.0029023218,5668.34130859375,7.331371307373047e-06
6144,3,1378.0,4,12.26,6852,0,163.36447951,-0.5144969778401511,0.0009886778092810086,62,0.04575892857142857,0.2,12006.187709263393,0.0001,0.00988499,5473.3671875,5.6743621826171875e-05
8192,4,1394.0,4,12.4,9069,0,160.4659195,-0.5142018618328231,-0.006890644252832446,67,0.09017857142857143,0.2,11739.305022321429,0.0001,0.015780745,4520.41748046875,6.431341171264648e-05
10240,5,1226.0,4,12.02,11286,0,131.89448605,-0.5087291017299941,0.004032835790871822,71,0.07300420168067227,0.2,11614.53067555147,0.0001,0.016105322,6745.40234375,1.1742115020751953e-05
12288,6,1378.0,4,12.2,13520,0,157.10570366000005,-0.49700439524650575,0.004520566374063492,75,0.0595,0.2,11020.67679296875,0.0001,0.027106918,6376.6044921875,6.139278411865234e-06
14336,7,1154.0,4,12.42,15750,0,166.65042350000004,-0.5009583830833435,0.0033297367580235005,77,0.0415625,0.2,10926.8250390625,0.0001,0.010565396,4593.98876953125,2.181529998779297e-05
16384,8,1410.0,4,12.34,17963,0,148.90273685,-0.5016908193076098,0.0027877781885089696,78,0.015046296296296295,0.2,10999.767270688657,0.0001,0.0035703033,5639.54736328125,1.1622905731201172e-05
18432,9,1226.0,4,12.79,20136,0,168.59050839000002,-0.48229334712028504,-0.0018302965117618442,82,0.076875,0.2,10712.428505859374,0.0001,0.016115507,6432.2138671875,0.0001323223114013672
20480,10,1378.0,4,13.28,22265,0,185.80603852000002,-0.47746799886226654,-6.652820636244381e-06,84,0.050551470588235295,0.2,9863.266012752758,0.0001,0.028977264,4576.91748046875,0.00042742490768432617
22528,11,1306.0,4,13.17,24435,0,184.31047034000002,-0.4821625488289332,-0.006058082791534647,88,0.0390625,0.2,8188.8212890625,0.0001,0.0062361015,4685.01611328125,-1.1920928955078125e-07
24576,12,1378.0,4,12.31,26643,0,158.43534808,-0.4842664601281285,-0.005649968446232378,93,0.04423828125,0.2,8192.813037109376,0.0001,0.0058716526,3939.751953125,0.00014126300811767578
26624,13,1306.0,4,12.39,28826,0,160.14511607,-0.4901972221003638,5.753617733716965e-05,95,0.049652777777777775,0.2,9124.564876302084,0.0001,0.012276159,4897.44189453125,-1.0728836059570312e-06
28672,14,1378.0,4,12.54,31026,0,141.08672547999998,-0.4893786861346318,0.006259416588223898,96,0.027043269230769232,0.2,8636.423283503605,0.0001,0.0054564634,3410.68994140625,-8.344650268554688e-07
