time/total_timesteps,rollout/ep_len_mean,time/fps,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/explained_variance,train/value_loss,train/clip_fraction
2048,15.71,1,2018.0,1249.9711206099998,6,1480,1,,,,,,,,,,
4096,15.61,1,1978.0,1366.4000355299995,6,2942,2,3.613822627812624e-08,-0.772714838013053,608555.1875,0.2,5,0.0,0.0001,-0.0001087188720703125,1255370.353125,0.0
6144,16.33,1,2138.0,1472.93281983,6,4415,3,-0.00654320526796921,-0.7824277198238737,714571.0,0.2,10,0.010854337,0.0001,-2.2292137145996094e-05,1332092.7281050954,0.05931528662420382
8192,14.74,1,1946.0,1391.0531523299996,6,5896,4,0.0004914893582463265,-0.7752266812324524,784103.5,0.2,11,0.0039345482,0.0001,-1.8477439880371094e-05,1425478.21,0.025625
10240,14.55,1,1978.0,1331.0215306500002,6,7378,5,0.0016716602775785658,-0.8210869563950433,609371.75,0.2,12,0.0063883266,0.0001,-1.239776611328125e-05,1392022.951388889,0.036458333333333336
12288,15.6,1,1978.0,1129.77998314,6,8823,6,0.004875500686466694,-0.8488858938217163,605211.3125,0.2,13,0.005884277,0.0001,-9.179115295410156e-06,1337334.0625,0.03125
14336,15.34,1,1978.0,960.3643748099997,6,10288,7,0.004985501038997124,-0.863570511341095,562992.125,0.2,14,0.0063292817,0.0001,-9.894371032714844e-06,1180135.9869791667,0.049479166666666664
16384,16.42,1,1946.0,1402.5528892599998,6,11732,8,0.001773546901390408,-0.8796072692582102,372108.84375,0.2,16,0.04240594,0.0001,-1.1920928955078125e-05,1063293.3143939395,0.04261363636363636
18432,15.6,1,1978.0,1307.0275244400002,6,13180,9,-0.0036399149044882505,-0.8399203084409237,538294.6875,0.2,21,0.0063269436,0.0001,-1.049041748046875e-05,1285151.9953125,0.0642578125
20480,15.73,1,1946.0,1435.9926493100004,6,14615,10,-0.004942539488547481,-0.8053524687886238,728138.625,0.2,26,0.005954626,0.0001,-4.5299530029296875e-06,1299973.58359375,0.05322265625
22528,15.49,1,1978.0,1524.0129289,6,16054,11,-0.0033224369239178487,-0.7761136580258607,750077.0,0.2,31,0.0046928804,0.0001,-3.6954879760742188e-06,1412022.75859375,0.040234375
24576,16.54,1,1842.0,1746.54636383,6,17496,12,-0.003751175830257125,-0.7603731129318476,750006.0625,0.2,36,0.004353092,0.0001,-4.0531158447265625e-06,1526946.9078125,0.04580078125
26624,15.64,1,1946.0,1507.2050152900001,6,18949,13,-0.0022217405290575697,-0.7346417721360922,634376.25,0.2,41,0.005637762,0.0001,-4.291534423828125e-06,1565233.06640625,0.03271484375
28672,15.63,1,2074.0,1630.6856655100003,6,20420,14,-0.004006536158902401,-0.7402043789625168,707403.625,0.2,46,0.016621795,0.0001,-2.7418136596679688e-06,1463445.699810606,0.050899621212121215
30720,15.74,1,2018.0,1787.77625949,6,21884,15,-0.004481913492782041,-0.7273894228041172,665171.625,0.2,51,0.007182371,0.0001,-2.1457672119140625e-06,1531968.3953125,0.05322265625
32768,16.18,1,2074.0,1766.8967109000002,6,23335,16,-0.0032821662696826195,-0.7053105791989904,786478.5,0.2,56,0.011457872,0.0001,-2.5033950805664062e-06,1599637.3585766423,0.04470802919708029
34816,15.47,1,1978.0,1635.05034939,6,24802,17,0.0005607075971674245,-0.7222269391113857,693562.875,0.2,58,0.0048235334,0.0001,-2.0265579223632812e-06,1548001.3443396227,0.02830188679245283
36864,15.12,1,1978.0,1675.67673849,6,26292,18,-0.0008422611295827665,-0.719994881004095,817328.4375,0.2,63,0.0039900267,0.0001,-1.3113021850585938e-06,1509045.13359375,0.02998046875
38912,15.17,1,1978.0,1588.0499229800002,6,27772,19,-0.003208278745296411,-0.6859567310661078,742935.5,0.2,68,0.004091444,0.0001,-1.5497207641601562e-06,1565187.2578125,0.02724609375
40960,14.83,1,2074.0,1523.04287843,6,29249,20,-0.0024348676495719703,-0.6985100977122783,822152.1875,0.2,73,0.0063302508,0.0001,-9.5367431640625e-07,1511559.40078125,0.0369140625
43008,15.03,1,1978.0,1635.4731455100004,6,30742,21,0.00046987014098299877,-0.6912218795882331,705755.3125,0.2,74,0.0056255884,0.0001,-1.0728836059570312e-06,1478623.6666666667,0.022569444444444444
45056,15.24,1,1946.0,1768.8399209899999,6,32267,22,-0.002998455797205679,-0.6859068740159273,855270.625,0.2,79,0.0050961864,0.0001,-9.5367431640625e-07,1564079.29296875,0.02900390625
47104,15.05,1,2018.0,1720.0390527200004,6,33783,23,-0.001442132829106413,-0.6771404284983873,836687.375,0.2,84,0.0057593943,0.0001,-1.1920928955078125e-06,1622954.2828125,0.03212890625
49152,15.03,1,1842.0,1764.9426862200003,6,35285,24,-0.002018613088876009,-0.6755834683775902,768793.1875,0.2,89,0.008122592,0.0001,-1.1920928955078125e-06,1608827.05625,0.0427734375
51200,15.45,1,1978.0,1635.01533164,6,36761,25,-0.0008682311495899089,-0.6827074236103466,774001.25,0.2,91,0.005186386,0.0001,-8.344650268554688e-07,1658285.4129464286,0.021205357142857144
53248,15.38,1,2018.0,1614.2335730500001,6,38226,26,-0.00043787856564103135,-0.695388525724411,771097.625,0.2,94,0.006961516,0.0001,-4.76837158203125e-07,1501755.456845238,0.03664434523809524
