time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,time/iterations,time/fps,train/clip_range,train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/loss
4,5.3,-302.0,11787,0,-4.512,1,0,,,,,,,,,,
10,5.32,-302.0,11791,0,-4.361999999999999,2,0,0.2,3e-05,-0.10170371979475021,0.00015291497111320497,0.007908523082733154,0.0,10455,1.1920929e-07,292.4348388671875,144.9880828857422
16,5.31,-158.0,11795,0,-4.1819999999999995,3,0,0.2,3e-05,-0.1514820545911789,1.7158687114715576e-05,0.5025311708450317,0.0,10460,5.364418e-07,287.81724243164064,143.73780822753906
21,5.31,-302.0,11799,0,-4.1819999999999995,4,0,0.2,3e-05,-0.16454674005508424,-0.00014813840389251708,-36.79004669189453,0.0,10465,2.0861626e-07,276.77720947265624,134.91285705566406
27,5.31,-302.0,11803,0,-4.032,5,0,0.2,3e-05,-0.09699346721172333,5.15282154083252e-06,0.48651283979415894,0.0,10470,0.0,127.12985076904297,60.87229919433594
33,5.31,-302.0,11807,0,-3.8819999999999997,6,0,0.2,3e-05,-0.09196273386478424,1.576840877532959e-05,0.6343995332717896,0.0,10475,1.4901161e-08,96.9874252319336,47.34492111206055
39,5.3,-302.0,11811,0,-3.762,7,0,0.2,3e-05,-0.1515989601612091,2.104043960571289e-06,0.6554086208343506,0.0,10480,0.0,131.63720092773437,66.0049057006836
45,5.27,-158.0,11815,0,-3.9120000000000004,8,0,0.2,3e-05,-0.15720896124839784,-7.621943950653076e-06,0.5157305598258972,0.0,10485,0.0,230.62119140625,115.029052734375
50,5.27,-302.0,11819,0,-3.9120000000000004,9,0,0.2,3e-05,-0.17017570734024048,7.63237476348877e-06,0.574749231338501,0.0,10490,0.0,43.57878646850586,21.51161003112793
56,5.27,-302.0,11823,0,-4.062,10,0,0.2,3e-05,-0.07317769825458527,-1.934170722961426e-06,0.5197898149490356,0.0,10495,0.0,121.82746276855468,60.80718994140625
62,5.25,-302.0,11827,0,-4.212,11,0,0.2,3e-05,-0.09635031968355179,-3.993511199951172e-06,0.608285129070282,0.0,10500,0.0,116.62256622314453,57.95008850097656
68,5.25,-302.0,11831,0,-4.362,12,0,0.2,3e-05,-0.16548809707164763,-1.0523200035095216e-05,0.6376497745513916,0.0,10505,0.0,159.1193359375,77.73412322998047
74,5.21,-158.0,11835,0,-4.5120000000000005,13,0,0.2,3e-05,-0.1619175523519516,-1.4343857765197754e-05,0.565746545791626,0.0,10510,0.0,207.6370086669922,102.76068878173828
79,5.21,-302.0,11839,0,-4.5120000000000005,14,0,0.2,3e-05,-0.16347995400428772,2.580881118774414e-05,0.18810158967971802,0.0,10515,0.0,87.37361297607421,45.64756774902344
84,5.21,-302.0,11843,0,-4.662,15,0,0.2,3e-05,-0.09108033776283264,-1.0699033737182617e-06,0.5176445245742798,0.0,10520,0.0,119.4557601928711,59.44470977783203
92,5.2,-158.0,11847,0,-4.812,16,0,0.2,3e-05,-0.0921952873468399,-5.315244197845459e-06,0.5947998762130737,0.0,10525,0.0,127.52154541015625,63.57421112060547
96,5.2,-302.0,11851,0,-4.812,17,0,0.2,3e-05,-0.31118305325508117,-0.0009419545531272888,0.5623745918273926,0.0,10530,5.9604645e-06,163.95764770507813,81.86045837402344
102,5.24,-302.0,11855,0,-4.842,18,0,0.2,3e-05,-0.06971308588981628,3.103911876678467e-05,0.050531208515167236,0.0,10535,0.0,269.15595092773435,131.96234130859375
108,5.24,-158.0,11859,0,-4.812,19,0,0.2,3e-05,-0.1659247726202011,-2.553015947341919e-05,0.5013093948364258,0.0,10540,2.9802322e-08,294.83693237304686,147.6334228515625
113,5.24,-302.0,11863,0,-4.812,20,0,0.2,3e-05,-0.16292624771595002,6.99758529663086e-06,-40.591434478759766,0.0,10545,2.9802322e-08,294.7318359375,144.33367919921875
119,5.2,-302.0,11867,0,-4.782,21,0,0.2,3e-05,-0.09401899874210358,5.641579627990723e-06,0.48347240686416626,0.0,10550,0.0,136.48367614746093,65.3880844116211
125,5.22,-158.0,11871,0,-4.782,22,0,0.2,3e-05,-0.25017058849334717,-9.367763996124268e-05,0.32824844121932983,0.0,10555,4.4703484e-08,389.81406860351564,195.85626220703125
131,5.22,-302.0,11875,0,-4.782,23,0,0.2,3e-05,-0.2290835350751877,-0.0008667806163430214,-42.885311126708984,0.0,10560,1.8060207e-05,129.9191436767578,63.92694854736328
137,5.25,-158.0,11879,0,-4.782,24,0,0.2,3e-05,-0.3048679232597351,0.0007202267646789551,-41.31591796875,0.0,10565,1.2844801e-05,756.5275390625,378.3968200683594
142,5.25,-302.0,11883,0,-4.782,25,0,0.2,3e-05,-0.15152364671230317,5.442798137664795e-05,-33.189693450927734,0.0,10570,2.9802322e-08,243.89371337890626,120.79280853271484
148,5.25,-302.0,11887,0,-4.782,26,0,0.2,3e-05,-0.09579247236251831,-3.7491321563720702e-06,0.535036563873291,0.0,10575,0.0,112.66752319335937,54.52230453491211
154,5.24,-302.0,11891,0,-4.782,27,0,0.2,3e-05,-0.0913850262761116,-6.593763828277588e-06,0.6544339656829834,0.0,10580,0.0,91.08977661132812,44.52716064453125
160,5.24,-302.0,11895,0,-4.782,28,0,0.2,3e-05,-0.17342408001422882,-2.1862983703613282e-05,0.6442752480506897,0.0,10585,0.0,131.738671875,66.31919860839844
166,5.28,-158.0,11899,0,-4.782,29,0,0.2,3e-05,-0.22935565412044526,-0.00103527270257473,-56.83495330810547,0.0,10590,3.926456e-05,151.443212890625,75.09793090820312
171,5.28,-302.0,11903,0,-4.782,30,0,0.2,3e-05,-0.05045364946126938,0.00032470673322677613,0.8256740570068359,0.0,10595,2.3841858e-07,230.75355529785156,115.799072265625
177,5.3,-302.0,11907,0,-4.782,31,0,0.2,3e-05,-0.1698019802570343,-0.0004944935441017151,-0.01014566421508789,0.0,10600,1.3411045e-06,232.86884460449218,115.85505676269531
183,5.3,-302.0,11911,0,-4.782,32,0,0.2,3e-05,-0.16949769258499145,1.534968614578247e-05,0.6453137993812561,0.0,10605,2.2351742e-07,129.61298217773438,64.39305114746094
189,5.3,-158.0,11915,0,-4.782,33,0,0.2,3e-05,-0.16684888899326325,-4.079863429069519e-05,0.5145133137702942,0.0,10610,8.940697e-08,240.16570129394532,119.84292602539062
193,5.3,-302.0,11919,0,-4.782,34,0,0.2,3e-05,-0.1624254822731018,7.450878620147705e-05,-31.642799377441406,0.0,10615,2.9802322e-08,222.24202880859374,110.31716918945312
200,5.3,-158.0,11923,0,-4.752,35,0,0.2,3e-05,-0.07190207540988922,1.1801719665527344e-06,0.5255368947982788,0.0,10620,0.0,105.60617218017578,51.389198303222656
205,5.3,-302.0,11927,0,-4.752,36,0,0.2,3e-05,-0.24631829261779786,-0.006165056489408016,0.48885512351989746,0.0,10625,0.00025087595,87.17317810058594,43.71730041503906
211,5.3,-302.0,11931,0,-4.752,37,0,0.2,3e-05,-0.1603510409593582,0.0018483564257621766,0.0016105175018310547,0.0,10630,1.4424324e-05,227.20720825195312,112.86925506591797
217,5.32,-158.0,11935,0,-4.392,38,0,0.2,3e-05,-0.23467736542224885,2.5194510817527772e-05,-312.156494140625,0.0,10635,5.7816505e-06,99.43346710205078,48.90427017211914
222,5.32,-302.0,11939,0,-4.392,39,0,0.2,3e-05,-0.12742723524570465,-3.513768315315247e-05,0.39237940311431885,0.0,10640,1.6540289e-06,127.06916961669921,64.04684448242188
228,5.33,-302.0,11943,0,-4.242,40,0,0.2,3e-05,-0.23905737102031707,-0.0007068999111652374,-0.18426883220672607,0.0,10645,2.3841858e-06,207.4887237548828,102.88159942626953
234,5.33,-302.0,11947,0,-4.092,41,0,0.2,3e-05,-0.08629636615514755,-6.928741931915283e-05,0.6443116664886475,0.0,10650,2.682209e-07,90.75491943359376,44.85067367553711
240,5.33,-158.0,11951,0,-3.9419999999999997,42,0,0.2,3e-05,-0.17008298635482788,5.852431058883667e-06,0.6421300172805786,0.0,10655,1.6391277e-07,132.0003173828125,66.35713958740234
245,5.33,-302.0,11955,0,-3.9419999999999997,43,0,0.2,3e-05,-0.14008449912071227,7.41317868232727e-05,0.6729573011398315,0.0,10660,2.9802322e-08,150.10389099121093,73.30903625488281
251,5.35,-302.0,11959,0,-3.8819999999999997,44,0,0.2,3e-05,-0.2466905176639557,-0.000704057514667511,-0.2042226791381836,0.0,10665,2.861023e-06,205.33042907714844,102.14521026611328
257,5.34,-302.0,11963,0,-4.032,45,0,0.2,3e-05,-0.08450828343629838,-0.00011329203844070434,0.59073805809021,0.0,10670,3.2782555e-07,129.9029968261719,65.25322723388672
263,5.34,-302.0,11967,0,-4.1819999999999995,46,0,0.2,3e-05,-0.16958113014698029,1.3583898544311524e-05,0.5951876640319824,0.0,10675,2.2351742e-07,168.24990234375,82.95333862304688
269,5.35,-158.0,11971,0,-4.332,47,0,0.2,3e-05,-0.13948508501052856,-1.2071430683135987e-05,0.5738790035247803,0.0,10680,4.4703484e-08,166.90167541503905,82.14982604980469
