time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,custom/max_height,custom/current_screen,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/approx_kl,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
1024,1,-38.17910837,0,1344,90.0,1,6.2,,,,,,,,,,
2048,2,-34.19865556,0,2649,282.0,1,5.69,1.9470462575554848e-08,5245.123046875,5,0.0,0.0022193193435668945,-1.4924995124340057,0.0001,0.0,9733.225476074218,0.2
3072,3,-35.15727721,0,3938,90.0,1,5.53,-2.3795291781425477e-08,4752.71630859375,10,0.0,0.020431101322174072,-1.482795949280262,0.0001,0.0,11447.809985351563,0.2
4096,4,-35.66585656,0,5299,90.0,1,5.9,-0.016790311422664673,4714.0419921875,15,0.010841596,0.0445634126663208,-1.5007215067744255,0.0001,0.1361328125,10843.071740722657,0.2
5120,5,-24.761211120000002,0,6670,90.0,1,5.54,-0.01567953914636746,4804.40283203125,20,0.009123583,0.05371779203414917,-1.477186879515648,0.0001,0.090625,11428.12412109375,0.2
6144,6,-17.879181829999997,0,8055,90.0,1,5.96,-0.01318091006251052,5684.7490234375,25,0.0065355534,0.07531499862670898,-1.4609390139579772,0.0001,0.050390625,12444.821838378906,0.2
7168,7,5.335811960000001,0,9502,282.0,1,5.83,-0.01308699653018266,5354.1123046875,30,0.0071852366,0.1051485538482666,-1.4181996688246727,0.0001,0.06015625,12821.4986328125,0.2
8192,8,29.88731423,0,11009,90.0,1,6.35,-0.017907614435534923,7910.7255859375,35,0.009559523,0.09341073036193848,-1.3802107989788055,0.0001,0.0703125,14530.700170898437,0.2
9216,9,18.48694426,0,12529,90.0,1,6.4,-0.0076410889625549315,8093.1728515625,40,0.0035918383,0.08169430494308472,-1.3017747521400451,0.0001,0.0025390625,16340.118432617188,0.2
10240,10,53.5633441,0,14080,90.0,1,7.1,-0.01129999104887247,6605.5322265625,45,0.006414634,0.08856546878814697,-1.2774265319108964,0.0001,0.028515625,14756.074353027343,0.2
11264,11,41.52088465999999,0,15571,90.0,1,7.02,-0.010148258914705366,7745.265625,50,0.005198926,0.08701115846633911,-1.243017554283142,0.0001,0.0294921875,16373.410363769532,0.2
12288,12,79.88524265999999,0,17135,282.0,1,7.05,-0.012910077709238976,7160.36083984375,55,0.005381426,0.06253665685653687,-1.2375173196196556,0.0001,0.029296875,16104.458044433593,0.2
13312,13,89.44333517999999,0,18708,90.0,1,7.19,-0.01326655688462779,8992.3173828125,60,0.0061820885,0.072140634059906,-1.1547807902097702,0.0001,0.0396484375,17165.703845214844,0.2
14336,14,80.88699837,0,20231,90.0,1,6.93,-0.012117630639113485,7341.39208984375,65,0.0051911706,0.05328178405761719,-1.139363521337509,0.0001,0.0328125,16184.962353515624,0.2
15360,15,100.98936633000001,0,21751,90.0,1,6.72,-0.016352689021732657,8152.57177734375,70,0.0075776204,0.04975372552871704,-1.1139654234051704,0.0001,0.059765625,17002.010632324218,0.2
16384,16,101.60243026,0,23264,306.0,1,7.07,-0.008116415137192235,8466.8115234375,75,0.0028039361,0.04708993434906006,-1.0604876458644867,0.0001,0.006640625,17429.414953613283,0.2
17408,17,102.10621104000003,0,24789,90.0,1,6.76,-0.012942781986203045,8190.595703125,80,0.00500438,0.03871947526931763,-1.0156272388994694,0.0001,0.046875,17004.741943359375,0.2
18432,18,113.93045837,0,26331,90.0,1,7.35,-0.01803902748506516,7687.83837890625,85,0.0070542814,0.04141056537628174,-0.9903362289071083,0.0001,0.0623046875,16528.270617675782,0.2
19456,19,119.58872606999999,0,27834,90.0,1,6.9,-0.011754561169072985,8222.1533203125,90,0.006517414,0.05037057399749756,-0.9767472848296166,0.0001,0.0259765625,16475.7568359375,0.2
20480,20,135.59775956,0,29320,186.0,1,7.02,-0.013084848737344145,8145.65380859375,95,0.004462421,0.06729549169540405,-0.9061600774526596,0.0001,0.0220703125,16389.51241455078,0.2
21504,21,148.80244702,0,30818,90.0,1,7.35,-0.014890187093988061,8557.9052734375,100,0.0061320057,0.05881625413894653,-0.8764668114483356,0.0001,0.04296875,16356.749963378907,0.2
22528,22,176.34170156,0,32318,282.0,1,7.84,-0.015114555659238249,7905.90087890625,105,0.0053156056,0.053508877754211426,-0.849050972610712,0.0001,0.0423828125,15829.118542480468,0.2
23552,23,182.56055455,0,33800,306.0,1,8.12,-0.009221947251353413,6949.650390625,110,0.004197482,0.051149964332580566,-0.7798245690762997,0.0001,0.0244140625,14877.883569335938,0.2
24576,24,189.51706737,0,35304,90.0,1,7.76,-0.008901554683689028,7407.0498046875,115,0.0031429955,0.03157263994216919,-0.7474002547562122,0.0001,0.0189453125,14192.066796875,0.2
25600,25,172.31159551000005,0,36795,186.0,1,7.02,-0.010955244966316969,7368.458984375,120,0.003779629,0.006492018699645996,-0.7238735005259513,0.0001,0.0228515625,14174.299267578124,0.2
26624,26,194.73932741000002,0,38251,90.0,1,7.7,-0.012034495291300119,7059.2353515625,125,0.0036359662,0.006447792053222656,-0.6898499459028244,0.0001,0.0556640625,14410.39932861328,0.2
