time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,custom/max_height,time/fps,custom/current_screen,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/value_loss
1,1024,5.84,1239,178.58456048,3754.0,0,11,,,,,,,,,,
2,2048,7.02,2543,196.79534539000005,3642.0,0,11,-0.8980801574885845,14258.8203125,5,0.05546875,0.2,-0.00924208086798899,0.0002377033233642578,0.0001,0.011105247,30507.018139648437
3,3072,6.19,3817,188.80316274999993,3754.0,0,11,-0.8866353280842304,12086.7724609375,10,0.0359375,0.2,-0.006667405279586092,-0.0016193389892578125,0.0001,0.0030708942,25756.61149902344
4,4096,5.88,5094,199.32365148999997,3674.0,0,11,-0.9086746223270893,12691.34765625,15,0.041015625,0.2,-0.00456935849506408,-0.0010374784469604492,0.0001,0.0044735176,26111.331201171874
5,5120,5.73,6364,184.68026232,3858.0,0,11,-0.8768205232918262,12938.19921875,20,0.0396484375,0.2,-0.005026796378660947,-0.0002671480178833008,0.0001,0.004740364,26501.315478515626
6,6144,7.08,7758,189.86420429999998,3858.0,0,11,-0.8608940035104752,13234.7177734375,25,0.0279296875,0.2,-0.005416136351414025,-0.0002510547637939453,0.0001,0.008357949,26671.09326171875
7,7168,6.19,9114,191.39222372,3674.0,0,11,-0.8552827954292297,10945.2744140625,30,0.030078125,0.2,-0.00500935671152547,-0.00010895729064941406,0.0001,0.0041626734,22641.82275390625
8,8192,6.61,10448,164.02493660999997,3858.0,0,11,-0.8431675501167775,11463.94921875,35,0.0296875,0.2,-0.004496911552269012,-0.0001327991485595703,0.0001,0.0048389616,22781.74074707031
9,9216,6.94,11828,198.75256353999998,3858.0,0,11,-0.8126000694930553,12468.052734375,40,0.0419921875,0.2,-0.0069126436836086215,-9.310245513916016e-05,0.0001,0.008306234,24549.123315429686
10,10240,6.4,13230,193.88531469999995,3858.0,0,11,-0.8265701733529568,9961.533203125,45,0.0505859375,0.2,-0.004774701036512852,-8.094310760498047e-05,0.0001,0.0052220365,20479.97722167969
11,11264,6.13,14556,196.02163916999996,3858.0,0,11,-0.8520468950271607,10530.3564453125,50,0.034765625,0.2,-0.004694466490764171,-3.886222839355469e-05,0.0001,0.003851103,21372.13369140625
12,12288,6.28,15918,172.01062421999998,3674.0,0,11,-0.8282878182828426,11083.5126953125,55,0.0357421875,0.2,-0.004069684748537838,-3.170967102050781e-05,0.0001,0.008676126,22738.48466796875
13,13312,6.56,17322,186.44127147,3858.0,0,11,-0.7741420492529869,11181.3291015625,60,0.0642578125,0.2,-0.009416000870987772,-2.0265579223632812e-05,0.0001,0.0099807605,23068.55891113281
14,14336,6.66,18751,214.23758544999993,3858.0,0,11,-0.7863001145422459,8722.21484375,65,0.057421875,0.2,-0.003511006766348146,-3.802776336669922e-05,0.0001,0.0041951905,19560.284802246093
15,15360,6.62,20131,211.78469629999995,3858.0,0,11,-0.8158911556005478,8569.6005859375,70,0.0109375,0.2,-0.0010758782620541752,-2.276897430419922e-05,0.0001,0.0021842185,19185.35593261719
16,16384,6.76,21542,175.87021280999994,3858.0,0,11,-0.8175411902368068,9791.9599609375,75,0.0189453125,0.2,-0.00038241994334384797,-4.303455352783203e-05,0.0001,0.0034314392,19389.127294921876
17,17408,6.27,22912,167.29594457999997,3858.0,0,11,-0.8471309520304203,8779.177734375,80,0.019921875,0.2,-0.0021735324466135354,-2.2530555725097656e-05,0.0001,0.0016314161,18780.43935546875
18,18432,6.14,24260,183.00556988999998,3674.0,0,11,-0.841290307790041,11298.54296875,85,0.0634765625,0.2,-0.00824780268012546,-1.6570091247558594e-05,0.0001,0.0073318416,20579.61667480469
19,19456,7.2,25675,179.56610695999998,3858.0,0,11,-0.8161583796143532,9336.962890625,90,0.01875,0.2,-0.0032943959755357354,-1.52587890625e-05,0.0001,0.0037353355,19566.682666015626
20,20480,6.77,27010,188.43981421999993,3858.0,0,11,-0.8442026987671852,9560.8447265625,95,0.07578125,0.2,-0.00413079034187831,-1.3947486877441406e-05,0.0001,0.008330626,17023.683178710937
21,21504,7.14,28420,188.19925768999997,3858.0,0,11,-0.8043115757405758,9837.33203125,100,0.036328125,0.2,-0.006847306957934052,-9.298324584960938e-06,0.0001,0.0102718845,18645.677490234375
22,22528,6.21,29720,188.60029497,3858.0,0,11,-0.8556924723088741,7422.2197265625,105,0.1583984375,0.2,-0.00943660488119349,-2.396106719970703e-05,0.0001,0.02296577,15689.707678222656
23,23552,5.89,30957,186.75645674,3858.0,0,11,-0.8860905349254609,8061.74267578125,110,0.022265625,0.2,-0.003349379212886561,-8.702278137207031e-06,0.0001,0.008871944,16660.236328125
24,24576,6.25,32196,186.39560755,3858.0,0,11,-0.8379940167069435,8609.40234375,115,0.03671875,0.2,-0.006983941426733508,-5.0067901611328125e-06,0.0001,0.0045152456,18588.518969726563
25,25600,6.58,33491,203.34993908000004,3674.0,0,11,-0.8223273277282714,7686.88427734375,120,0.0541015625,0.2,-0.009141279885079711,-1.1444091796875e-05,0.0001,0.008940975,17440.394079589845
