time/iterations,time/total_timesteps,time/fps,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/n_updates
1,2048,0,4002.0,-41.896291500000004,12,2361,6.59,,,,,,,,,,
2,4096,0,4002.0,-38.290318320000004,12,4764,6.3,19020.68057914402,0.0001,0.042119565217391304,7670.45703125,0.006562619,0.2,-3.0517578125e-05,-1.2219789857449739,-0.002798498891617941,1
3,6144,0,4314.0,-62.26240982,12,7204,5.72,17111.23251953125,0.0001,0.015625,8170.04638671875,0.0026159363,0.2,0.0005975961685180664,-1.2392706990242004,0.0016632583923637868,2
4,8192,0,4002.0,-38.6253391,12,9659,6.15,17983.41314086914,0.0001,0.11796875,8422.478515625,0.011519708,0.2,0.001268625259399414,-1.2350466407835483,-0.01103713307529688,7
5,10240,0,4146.0,-60.450879119999996,12,12201,6.82,18734.936279296875,0.0001,0.13016183035714285,9139.5869140625,0.0130375475,0.2,0.003564000129699707,-1.220966246511255,-0.009049475521481196,11
6,12288,0,4234.0,-37.41689590000001,12,14725,6.17,17763.09737141927,0.0001,0.09700520833333333,9176.384765625,0.0110880295,0.2,0.0060776472091674805,-1.2552664875984192,-0.0003104203303034107,12
7,14336,0,4002.0,-26.730345200000002,12,17296,7.06,19133.92362060547,0.0001,0.029296875,10339.0078125,0.0061019585,0.2,0.006714344024658203,-1.2268943697214127,-0.004804641404189169,17
8,16384,0,4002.0,-22.898195150000003,12,19915,6.74,20001.929583740235,0.0001,0.03916015625,8252.3271484375,0.0060945004,0.2,0.006028175354003906,-1.180314839631319,-0.005113478697603568,22
9,18432,0,4314.0,-7.95820958,12,22470,6.8,19684.757620675224,0.0001,0.06361607142857142,11026.2158203125,0.010113993,0.2,0.009404778480529785,-1.1629600014005388,9.077957033046655e-05,24
10,20480,0,4146.0,-1.1837079599999993,12,25009,6.71,20375.89532470703,0.0001,0.04521484375,10809.7548828125,0.0036198644,0.2,0.00938713550567627,-1.1790595330297946,-0.0013296739314682781,29
11,22528,0,4146.0,6.432714500000002,12,27563,6.89,21222.849474253144,0.0001,0.021717767295597483,12188.990234375,0.0065127183,0.2,0.008510112762451172,-1.174800656876474,-0.002755477345027264,34
12,24576,0,4002.0,19.175959870000003,12,30027,7.37,19207.475653076173,0.0001,0.0275390625,9995.5625,0.0064974315,0.2,0.007961034774780273,-1.2066596373915672,-0.003275589973782189,39
13,26624,0,4074.0,5.9472666200000015,12,32459,7.12,22116.887741815477,0.0001,0.02699829931972789,10000.203125,0.012285677,0.2,0.008359551429748535,-1.214729141215889,0.0005145912837921356,44
14,28672,0,4074.0,-7.936724139999999,12,34900,8.14,20252.940356445313,0.0001,0.0875,8615.380859375,0.01113103,0.2,0.0018554329872131348,-1.1824714586138725,-0.007334412704221904,49
15,30720,0,4002.0,-16.8771634,12,37256,8.33,18327.652925037204,0.0001,0.06671626984126984,9888.125,0.007946997,0.2,0.004645168781280518,-1.2222953107621934,0.0003568981921980305,53
16,32768,0,4074.0,5.1847402700000025,12,39630,8.71,18116.568725585938,0.0001,0.0419921875,10113.904296875,0.009548649,0.2,0.010841667652130127,-1.2680366039276123,0.0005252527189441025,54
17,34816,0,4234.0,12.67329834,12,42143,7.52,18229.70976163903,0.0001,0.07525510204081633,9965.751953125,0.013435108,0.2,0.007198035717010498,-1.2279149707482786,-0.0004764466869587801,56
18,36864,0,4074.0,21.460189800000002,12,44632,7.27,20863.63458251953,0.0001,0.05361328125,9743.7294921875,0.004853472,0.2,0.012464404106140137,-1.1461736634373665,-0.002648421883350238,61
