time/total_timesteps,time/iterations,custom/current_screen,time/time_elapsed,time/fps,custom/max_height,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/learning_rate,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss
2048,1,12,2533,0,4074.0,17.60856476,7.21,,,,,,,,,,
4096,2,12,5072,0,4314.0,27.98671938,7.8,12333.8994140625,0.0001,69,0.0071980953216552734,0.00935219,0.037760416666666664,0.2,-1.1590465420768374,21616.155180431546,-0.000314197347809871
6144,3,12,7583,0,4002.0,-6.607207250000004,6.86,10026.18359375,0.0001,74,0.011857271194458008,0.004402739,0.03232421875,0.2,-1.188710019737482,19561.389428710936,-0.0012020956724882125
8192,4,12,10102,0,4074.0,40.194690310000006,8.96,10352.494140625,0.0001,79,0.015651822090148926,0.0059321914,0.026953125,0.2,-1.1724529080092907,21217.368420410156,-0.0024632665066746996
10240,5,12,12616,0,4074.0,28.304279050000005,7.73,9382.3798828125,0.0001,80,0.013820469379425049,0.006082864,0.041015625,0.2,-1.174640852957964,20082.36346435547,0.0028163662063889205
12288,6,12,15156,0,4234.0,26.50785049,7.35,10872.744140625,0.0001,85,0.01492774486541748,0.0027522864,0.0287109375,0.2,-1.141261637955904,20646.31025390625,-0.0025710720627103003
14336,7,12,17681,0,4074.0,10.469127539999999,7.45,9302.0908203125,0.0001,90,0.014872610569000244,0.0013291526,0.01201171875,0.2,-1.1435099214315414,20031.95326538086,-0.0015748812758829445
16384,8,12,20262,0,4074.0,22.166667229999998,7.16,10693.01171875,0.0001,95,0.012495279312133789,0.0020919824,0.0033203125,0.2,-1.117901812121272,21403.68087158203,-0.000692402757704258
18432,9,12,22864,0,4146.0,39.06290155,7.48,11393.240234375,0.0001,100,0.011312425136566162,0.0020920099,0.002734375,0.2,-1.0967365600168706,21760.520446777344,-0.003297776449471712
20480,10,12,25425,0,4234.0,26.90932928,7.46,10731.30859375,0.0001,105,0.012742877006530762,0.00067087356,0.0033203125,0.2,-1.1024264972656965,21741.73848876953,-0.000375074110343121
22528,11,12,27967,0,4146.0,27.633074710000002,6.9,10699.921875,0.0001,110,0.011053979396820068,0.005212981,0.02177734375,0.2,-1.0970203198492527,20387.919213867186,-0.0018049188453005626
24576,12,12,30595,0,4146.0,25.448485410000004,7.49,11544.462890625,0.0001,115,0.009198367595672607,0.0035507802,0.01484375,0.2,-1.1016977723687886,21291.040588378906,-0.004904142458690331
