rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,custom/max_height,time/iterations,time/fps,time/total_timesteps,custom/current_screen,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/value_loss,train/learning_rate,train/clip_range,train/entropy_loss,train/explained_variance,train/policy_gradient_loss
9.04,27.412848789999998,2970,4234.0,1,0,2048,12,,,,,,,,,,
8.22,18.370130949999997,5846,4002.0,2,0,4096,12,186,0.010216346153846154,9046.2958984375,0.004904018,19518.48429987981,0.0001,0.2,-1.0453380644321442,0.0035738348960876465,0.0037647406570613384
8.04,-28.995981529999998,8602,4074.0,3,0,6144,12,190,0.015335648148148149,8565.9267578125,0.009406789,17552.64909758391,0.0001,0.2,-1.1107921892846073,0.008132219314575195,8.574059164082562e-05
8.25,-41.20103786,11324,4074.0,4,0,8192,12,195,0.05777877697841727,9687.0712890625,0.021734782,16453.216052158274,0.0001,0.2,-1.245997440900734,-0.0005480051040649414,-0.0015112841434830385
9.46,-16.663802049999997,14081,4074.0,5,0,10240,12,197,0.04137731481481482,6407.02685546875,0.008220957,13112.844274450232,0.0001,0.2,-1.2939612534311082,-0.00469970703125,0.0015177713638102567
7.97,-30.851457429999996,16858,4002.0,6,0,12288,12,199,0.022727272727272728,8061.37158203125,0.008808276,15346.806889204545,0.0001,0.2,-1.2189735976132479,-0.014594197273254395,-0.0025077122094278987
8.28,16.166911130000003,19678,4074.0,7,0,14336,12,200,0.034375,10065.388671875,0.010039233,18449.5328125,0.0001,0.2,-1.14868106842041,0.0030268430709838867,0.008178940787911416
6.99,-12.252972589999999,22614,4074.0,8,0,16384,12,205,0.08193359375,10221.66796875,0.005973707,18499.825549316407,0.0001,0.2,-1.092324674874544,0.010484695434570312,-0.0045355011243373156
7.68,62.603557239999994,25518,4146.0,9,0,18432,12,210,0.025,10507.4033203125,0.0046611642,20142.837615966797,0.0001,0.2,-1.0749049793928862,0.01843130588531494,-0.0006193040782818571
8.76,32.82784127,28199,4074.0,10,0,20480,12,212,0.08998842592592593,11175.8603515625,0.015771713,20650.065321180555,0.0001,0.2,-1.063885102669398,0.01578390598297119,0.002652064000290853
8.45,51.60677459000001,30905,4146.0,11,0,22528,12,213,0.013888888888888888,9487.587890625,0.0047342083,19823.12717013889,0.0001,0.2,-1.1284352276060317,0.014124274253845215,0.009619182700084316
7.17,27.060816960000007,33709,4074.0,12,0,24576,12,214,0.020833333333333332,10230.80859375,0.0053518456,19724.5435546875,0.0001,0.2,-1.136319359143575,0.015038013458251953,0.0007398508489131928
6.98,0.5039829700000001,36441,4002.0,13,0,26624,12,218,0.03590745192307692,11450.271484375,0.016908007,20359.068584735578,0.0001,0.2,-1.0899916526216726,0.014846503734588623,0.00047614554373117594
7.93,67.35954573000001,39119,4074.0,14,0,28672,12,219,0.0421875,10651.8251953125,0.009588906,20035.1810546875,0.0001,0.2,-1.185895311832428,0.02077484130859375,0.006454876903444528
8.08,33.24992118,41880,4074.0,15,0,30720,12,221,0.04654255319148936,10996.392578125,0.014033251,20246.798204787236,0.0001,0.2,-1.111717609649009,0.018502473831176758,0.008499914641551514
