rollout/ep_len_mean,time/iterations,time/fps,custom/max_height,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/approx_kl,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss,train/loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range
11.666666666666666,1,1,4898.0,14,195.29290022988508,1024,872,,,,,,,,,,
11.04,2,1,4898.0,14,205.50784663,2048,1762,0.0056201536,0.0287109375,-0.0026502609252929688,5,0.0001,22621.967895507812,9489.9072265625,-0.007497426710324362,-0.5489119060337544,0.2
11.07,3,1,4986.0,14,201.02660073999996,3072,2642,0.015786884,0.0724609375,0.01652359962463379,10,0.0001,21955.13994140625,10780.333984375,-0.014342042151838541,-0.5439602788537741,0.2
11.01,4,1,4986.0,14,200.51979469999998,4096,3550,0.007223782,0.033984375,0.008366167545318604,15,0.0001,20833.27409667969,10900.5322265625,-0.009606858959887176,-0.5365888234227896,0.2
10.61,5,1,4842.0,14,205.56704552,5120,4470,0.006147655,0.0259765625,0.005047500133514404,20,0.0001,20665.636303710937,9830.2265625,-0.007107392430771142,-0.5363735001534223,0.2
10.28,6,1,4986.0,14,193.31532850000002,6144,5403,0.0025755498,0.0189453125,0.008979201316833496,25,0.0001,20331.4482421875,9680.4892578125,-0.005798492900794372,-0.5160903442651034,0.2
10.26,7,1,4898.0,14,193.42639977,7168,6342,0.0035371883,0.0236328125,0.003666102886199951,30,0.0001,20183.217578125,10078.9619140625,-0.007494883635081351,-0.5134223256260156,0.2
10.23,8,1,4898.0,14,214.24325043000002,8192,7280,0.0045364667,0.03125,0.010965883731842041,35,0.0001,20177.32145996094,9400.1845703125,-0.010471473494544626,-0.5115272115916014,0.2
10.19,9,1,4738.0,14,230.96986095,9216,8224,0.0073875645,0.0541015625,0.00037610530853271484,40,0.0001,19370.69326171875,9668.4560546875,-0.01319011701270938,-0.47954008877277376,0.2
10.31,10,1,4898.0,14,214.33939747999997,10240,9169,0.0056845658,0.038671875,0.0008540153503417969,45,0.0001,19265.108349609374,9507.5537109375,-0.011284829885698854,-0.4526274111121893,0.2
9.85,11,1,4898.0,14,201.67446500999995,11264,10145,0.011509614,0.020285087719298246,0.015869081020355225,49,0.0001,19072.769702576756,9778.5498046875,-0.005429100547508712,-0.455689144239091,0.2
10.49,12,1,4898.0,14,213.96576668,12288,11119,0.012892711,0.04509493670886076,0.01044374704360962,54,0.0001,19155.415842563292,10345.970703125,-0.00674576011981485,-0.4557238692724252,0.2
10.31,13,1,4842.0,14,221.92540989,13312,12082,0.0022789314,0.0146484375,0.0049759745597839355,59,0.0001,17468.414282226564,8347.177734375,-0.004883517525740899,-0.464506408944726,0.2
10.03,14,1,4898.0,14,227.07645650999999,14336,13036,0.00576242,0.048046875,0.009292066097259521,64,0.0001,17822.22783203125,8462.8125,-0.0071545841346960515,-0.45566590391099454,0.2
9.88,15,1,4898.0,14,227.17034552999996,15360,13997,0.0016697508,0.0111328125,0.00018769502639770508,69,0.0001,17118.916540527345,8358.029296875,-0.0027039760898333043,-0.4470249224454165,0.2
10.2,16,1,4986.0,14,230.88380181999997,16384,14955,0.0026813434,0.0251953125,-0.00022912025451660156,74,0.0001,17105.2767578125,8343.421875,-0.007353103888453916,-0.4254185102880001,0.2
9.55,17,1,4898.0,14,210.41056876,17408,15942,0.011254196,0.017769607843137254,0.002960801124572754,78,0.0001,16558.38082107843,7955.59130859375,-0.004550367566373418,-0.41333533268348843,0.2
9.38,18,1,4738.0,14,206.68655046,18432,16928,0.003482275,0.0185546875,0.0057280659675598145,83,0.0001,16734.396435546874,7729.4326171875,-0.005320723756449297,-0.4080874029546976,0.2
9.93,19,1,4898.0,14,218.71944664999998,19456,17908,0.018752817,0.023809523809523808,1.5556812286376953e-05,85,0.0001,16420.248139880954,8749.4208984375,-0.004157838877290487,-0.4140217999617259,0.2
9.98,20,1,4986.0,14,222.52466934,20480,18875,0.0026091526,0.018359375,0.00023555755615234375,90,0.0001,15534.675354003906,7344.70068359375,-0.004306704789632932,-0.3849621511995792,0.2
10.18,21,1,4898.0,14,235.27673154999997,21504,19845,0.0029196823,0.0158203125,2.086162567138672e-06,95,0.0001,15561.045922851563,8203.978515625,-0.0042158991622272875,-0.4077088687568903,0.2
9.59,22,1,4898.0,14,219.08320558000003,22528,20826,0.003019918,0.0208984375,0.0017913579940795898,100,0.0001,14489.69578857422,7171.50341796875,-0.002562448609387502,-0.3988146662712097,0.2
10.24,23,1,4898.0,14,235.17904480999994,23552,21784,0.009478635,0.019166666666666665,1.1205673217773438e-05,105,0.0001,14806.412018229166,7315.6484375,0.0014841949132581552,-0.4210993715127309,0.2
9.6,24,1,4738.0,14,218.63302619,24576,22762,0.0050278166,0.0337890625,0.002472519874572754,110,0.0001,13701.218041992188,6469.861328125,-0.005238200261374004,-0.4114416532218456,0.2
9.77,25,1,4738.0,14,222.94818392000002,25600,23737,0.0054746196,0.0333984375,0.0002097487449645996,115,0.0001,14155.858569335938,7471.72119140625,-0.008177436009282247,-0.40951651223003865,0.2
9.82,26,1,4898.0,14,231.45331364999996,26624,24727,0.009506272,0.01617324561403509,0.00013303756713867188,119,0.0001,13753.429773163378,6498.15625,-0.0018089715342380498,-0.42708809595359,0.2
9.76,27,1,4898.0,14,227.14379071,27648,25699,0.0017221468,0.01796875,0.0014411211013793945,124,0.0001,13105.25723876953,6300.98193359375,-0.0036934721341822297,-0.4079814627766609,0.2
10.11,28,1,4986.0,14,227.14115427000002,28672,26698,0.009918242,0.03022203947368421,0.005454719066619873,129,0.0001,12852.682797080592,6087.01416015625,-0.00450658863777981,-0.40851839984718125,0.2
9.75,29,1,4738.0,14,235.70098635999994,29696,27683,0.0076519325,0.0568359375,5.1915645599365234e-05,134,0.0001,12324.9671875,5697.20361328125,-0.00937883929000236,-0.4031270693987608,0.2
9.53,30,1,4986.0,14,223.48152861999995,30720,28703,0.014046001,0.04349662162162162,0.002259492874145508,139,0.0001,12105.905128272803,6053.23291015625,-0.008681575113253013,-0.39118697111671036,0.2
9.84,31,1,4986.0,14,231.23968837999996,31744,29696,0.0065090535,0.039453125,2.1636486053466797e-05,144,0.0001,12538.055871582032,7053.87353515625,-0.0033154774806462227,-0.418351386487484,0.2
9.85,32,1,4842.0,14,231.35538388999998,32768,30711,0.0039885174,0.058203125,6.520748138427734e-05,149,0.0001,11751.684997558594,5606.748046875,-0.011161068457295188,-0.4054287038743496,0.2
9.09,33,1,4738.0,14,215.40999718999998,33792,31741,0.006517804,0.036328125,8.749961853027344e-05,154,0.0001,11454.907873535156,5309.6943359375,-0.006434336223173886,-0.4039263240993023,0.2
9.0,34,1,4898.0,14,228.04787494999997,34816,32776,0.004296027,0.028515625,8.416175842285156e-05,159,0.0001,11397.21025390625,5097.47314453125,-0.0057102570805000145,-0.40487896986305716,0.2
9.29,35,1,4738.0,14,232.01909646000001,35840,33807,0.0057011377,0.0306640625,4.738569259643555e-05,164,0.0001,11015.83309326172,5832.083984375,-0.006201455788686872,-0.3815642800182104,0.2
9.06,36,1,4898.0,14,231.92033093999999,36864,34839,0.0032088035,0.0224609375,0.0001431107521057129,169,0.0001,10567.911499023438,5827.083984375,-0.0034314270422328265,-0.3785191487520933,0.2
8.67,37,1,4738.0,14,211.81381451999997,37888,35893,0.0024067159,0.0255859375,3.8564205169677734e-05,174,0.0001,10694.319384765626,4860.0322265625,-0.004583982631447725,-0.36755642779171466,0.2
