custom/max_height,time/fps,time/total_timesteps,custom/current_screen,time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/approx_kl,train/n_updates,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/clip_range,train/clip_fraction,train/explained_variance
4898.0,1,2048,14,1,11.41,1806,107.23656559000001,,,,,,,,,,
4898.0,1,4096,14,2,11.06,3613,127.6427568,0.012095225,1,8286.369140625,0.0001,-0.0003203418105840683,15680.6978515625,-0.7619507670402527,0.2,0.01875,0.000572502613067627
4898.0,1,6144,14,3,9.43,5451,113.14525597000002,0.0075775194,2,8695.6875,0.0001,-0.0010886112937615031,18185.415690104168,-0.7517171019599551,0.2,0.026041666666666668,0.0011842846870422363
4898.0,1,8192,14,4,11.07,7305,159.62851400000002,0.0063954275,3,8000.94140625,0.0001,-0.00227987849050098,18744.117513020832,-0.7370087438159518,0.2,0.008680555555555556,0.0027008652687072754
4738.0,1,10240,14,5,10.34,9192,159.94484459,0.006842038,4,8556.19921875,0.0001,-0.006336004046412806,18723.774454752605,-0.7283050641417503,0.2,0.040364583333333336,0.0018382072448730469
4842.0,1,12288,14,6,11.68,11100,185.46511977999998,0.010334072,5,9457.974609375,0.0001,0.000161986036056822,19192.45703125,-0.7227765917778015,0.2,0.029829545454545456,0.0030730366706848145
4898.0,1,14336,14,7,10.83,12977,164.07757749000004,0.010517836,6,8629.470703125,0.0001,-0.002791911629693849,19245.221261160714,-0.7231848665646144,0.2,0.022321428571428572,0.005406677722930908
4738.0,1,16384,14,8,11.13,14832,181.10398064,0.0062362943,7,8601.7255859375,0.0001,-0.0011951169845732775,18723.54900568182,-0.7196062803268433,0.2,0.02130681818181818,0.0035262703895568848
4898.0,1,18432,14,9,11.44,16657,184.19444532,0.006494884,8,10117.4736328125,0.0001,0.010000211319753103,19098.15792410714,-0.7251027226448059,0.2,0.017857142857142856,0.004967629909515381
4738.0,1,20480,14,10,11.39,18527,172.31484796,0.00793273,9,9457.134765625,0.0001,0.016456903871865228,18769.714693509617,-0.7374151349067688,0.2,0.020432692307692308,0.0029663443565368652
4898.0,1,22528,14,11,11.08,20420,187.36617818,0.008873491,10,8732.66796875,0.0001,0.0033762891311198474,18687.5732421875,-0.7202267527580262,0.2,0.01875,0.0030899643898010254
