time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,custom/current_screen,time/iterations,time/total_timesteps,time/fps,custom/max_height,train/n_updates,train/learning_rate,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/explained_variance,train/entropy_loss,train/clip_fraction
1089,-76.79704943,7.49,15,1,1024,0,5138.0,,,,,,,,,,
2109,-26.073241229999994,9.35,15,2,2048,0,5154.0,5,0.0001,0.2,32795.03845214844,0.00724119,-0.016309236886445432,17655.62109375,0.0009073019027709961,-0.7532221339643002,0.07734375
3184,-3.846041769999995,8.76,15,3,3072,0,5154.0,10,0.0001,0.2,30295.215209960938,0.009100143,-0.0159899992053397,14111.1787109375,0.0049896240234375,-0.7282818742096424,0.0873046875
4226,-12.636180079999995,8.93,15,4,4096,0,5330.0,15,0.0001,0.2,29969.9673828125,0.007929163,-0.013497488817665725,14670.8876953125,0.011094927787780762,-0.697122597694397,0.06796875
5188,51.58524542,9.85,15,5,5120,0,5154.0,20,0.0001,0.2,30000.047973632812,0.009725723,-0.011096327495761216,14469.7548828125,0.011475563049316406,-0.6993201792240142,0.08203125
6162,58.13330442,10.18,15,6,6144,0,5154.0,25,0.0001,0.2,27107.272412109374,0.005778095,-0.01185467914910987,12999.330078125,0.02296525239944458,-0.6869986437261104,0.060546875
7153,49.97378320000001,9.8,15,7,7168,1,5154.0,30,0.0001,0.2,26705.341674804688,0.0048347767,-0.007763629499822855,13165.38671875,0.014703989028930664,-0.687321662157774,0.0416015625
8075,80.13417829,10.71,15,8,8192,1,5114.0,35,0.0001,0.2,25258.9927734375,0.0043480946,-0.008188922080444172,13034.6572265625,0.01738119125366211,-0.6926989279687404,0.0373046875
9020,85.81733845999999,10.72,15,9,9216,1,5154.0,40,0.0001,0.2,24640.668994140626,0.0054720277,-0.007638888759538531,11321.9599609375,0.010556578636169434,-0.6690659664571286,0.04453125
9993,43.152719710000014,10.37,15,10,10240,1,5154.0,45,0.0001,0.2,23422.023217773436,0.0045301346,-0.006148000626126304,11795.5205078125,0.005956172943115234,-0.6739136688411236,0.0408203125
10907,99.12089315000001,11.33,15,11,11264,1,5250.0,50,0.0001,0.2,24872.715283203124,0.005200657,-0.0036789394100196658,13497.6748046875,0.0032056570053100586,-0.6638766080141068,0.0470703125
11842,74.51070308,10.91,15,12,12288,1,5330.0,55,0.0001,0.2,20632.681518554688,0.005239413,-0.009429912897758186,10535.1162109375,0.008227884769439697,-0.6655028440058232,0.0654296875
12791,93.31472292000004,10.78,15,13,13312,1,5250.0,60,0.0001,0.2,24825.39716796875,0.0051101693,-0.002084848447702825,12255.419921875,0.0018343925476074219,-0.645963080227375,0.055078125
13744,103.10454124000002,11.08,15,14,14336,1,5114.0,65,0.0001,0.2,22986.057373046875,0.004463979,-0.007856997975613922,12033.1826171875,0.0015375018119812012,-0.6394860923290253,0.05390625
14645,96.26999284000001,11.54,15,15,15360,1,5138.0,70,0.0001,0.2,21432.847900390625,0.0023934322,-0.004252274020109326,11669.2880859375,0.0012657642364501953,-0.6282811746001243,0.022265625
