time/iterations,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,custom/max_height,train/clip_range,train/explained_variance,train/n_updates,train/learning_rate,train/approx_kl,train/loss,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/clip_fraction
1,11.689655172413794,15,121.8752265632184,894,1024,1,5138.0,,,,,,,,,,
2,10.78,15,76.382662,1822,2048,1,5154.0,0.2,0.000886380672454834,80,0.0001,0.0065372773,9598.73046875,-0.620211485773325,18708.9275390625,-0.010226751043228432,0.0640625
3,10.9,15,112.35018729000001,2748,3072,1,5330.0,0.2,0.0004240274429321289,85,0.0001,0.0060879868,10146.9765625,-0.6234914347529411,21123.400744628907,-0.008917364821536466,0.0775390625
4,11.43,15,145.88092062000004,3637,4096,1,5154.0,0.2,0.000636756420135498,90,0.0001,0.0051768487,9474.650390625,-0.5960773825645447,19068.82745361328,-0.007104371068999171,0.0421875
5,11.38,15,104.06252970999999,4581,5120,1,5154.0,0.2,0.0006145238876342773,95,0.0001,0.003248483,7941.10595703125,-0.5993949107825756,17797.064306640626,-0.005441072990652174,0.031640625
6,10.74,15,61.652522919999996,5512,6144,1,5154.0,0.2,0.0005406737327575684,100,0.0001,0.0062789395,8999.7314453125,-0.588442338258028,19667.35625,-0.005233580432832241,0.0474609375
7,11.01,15,102.27693855000001,6463,7168,1,5114.0,0.2,0.0005282759666442871,103,0.0001,0.013630986,10200.7822265625,-0.5877283037977016,23580.487657912236,-0.009447833047585284,0.09242021276595745
8,10.38,15,83.89918441999998,7419,8192,1,5154.0,0.2,0.00249558687210083,108,0.0001,0.0026061768,8259.025390625,-0.5846868626773357,19166.014050292968,-0.005559324857313186,0.0484375
9,11.67,15,154.84101576999998,8313,9216,1,5250.0,0.2,0.0017696022987365723,113,0.0001,0.007765822,9209.5400390625,-0.575660179182887,20105.168225097656,-0.009790925541892648,0.0658203125
10,11.03,15,140.30482615,9254,10240,1,5114.0,0.2,0.0022951364517211914,118,0.0001,0.006743828,7963.8759765625,-0.5626620572060347,15462.080505371094,-0.005661379848606885,0.043359375
11,10.93,15,116.68057366000001,10187,11264,1,5154.0,0.2,0.000983119010925293,123,0.0001,0.0052565364,8628.0849609375,-0.5374736990779638,17759.206433105468,-0.0084195704665035,0.066796875
12,10.91,15,121.63599708000001,11139,12288,1,5154.0,0.2,0.0007143616676330566,128,0.0001,0.0059448476,8598.935546875,-0.5325766447931528,17418.16043701172,-0.005992318037897348,0.0580078125
13,11.65,15,174.05717238999998,12042,13312,1,5154.0,0.2,0.0005040764808654785,133,0.0001,0.0066588107,10572.8056640625,-0.5247752517461777,17568.04892578125,-0.0065487393992953,0.0537109375
14,11.66,15,154.38492636,12985,14336,1,5154.0,0.2,0.0004723668098449707,138,0.0001,0.0078184735,6287.1728515625,-0.5400256294757128,13541.544274902344,-0.00660822915378958,0.0736328125
15,12.24,15,168.56830290000002,13908,15360,1,5250.0,0.2,0.00034183263778686523,143,0.0001,0.0029716422,6930.06787109375,-0.5569977454841137,15150.560217285156,-0.0017503864539321512,0.0326171875
16,11.65,15,136.46878863,14836,16384,1,5330.0,0.2,0.0003052949905395508,148,0.0001,0.006492533,7326.3984375,-0.546678240224719,13624.473876953125,-0.004845187615137548,0.0353515625
17,11.37,15,130.19209149000002,15767,17408,1,5154.0,0.2,0.00012499094009399414,153,0.0001,0.012335574,10756.853515625,-0.5463349483907223,16228.672912597656,-0.008621183491777628,0.1052734375
18,11.62,15,155.23914584000002,16680,18432,1,5250.0,0.2,0.00037682056427001953,158,0.0001,0.0053604227,7552.232421875,-0.5484662037342787,15312.059313964844,-0.008699446666287258,0.063671875
19,12.11,15,155.98829865000002,17572,19456,1,5154.0,0.2,0.00026351213455200195,163,0.0001,0.0067478907,6719.7490234375,-0.5286575485020876,12424.802282714843,-0.00859299764269963,0.053515625
20,11.9,15,144.53581875,18489,20480,1,5250.0,0.2,0.00018459558486938477,166,0.0001,0.013830883,8109.3095703125,-0.5481292364445138,13484.325714760638,-0.005363019500324067,0.0711436170212766
21,12.52,15,187.17693841,19391,21504,1,5250.0,0.2,0.00028568506240844727,171,0.0001,0.0050273016,6803.01416015625,-0.5400069788098335,13327.750915527344,-0.010589866136433557,0.04921875
22,11.69,15,136.32515044,20305,22528,1,5114.0,0.2,0.00019484758377075195,176,0.0001,0.005991962,5772.08203125,-0.5223168402910232,11479.619891357423,-0.006938663043547422,0.060546875
23,11.47,15,141.16710213,21208,23552,1,5138.0,0.2,4.315376281738281e-05,179,0.0001,0.011408284,6127.74169921875,-0.5097296637423495,16700.80254737367,-0.0003461040199754086,0.08111702127659574
24,11.8,15,164.72046665000002,22138,24576,1,5154.0,0.2,6.085634231567383e-05,184,0.0001,0.0069247503,9857.369140625,-0.4974605854600668,14529.894165039062,-0.008394102891907096,0.0724609375
