custom/current_screen,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,custom/max_height,time/total_timesteps,train/learning_rate,train/n_updates,train/explained_variance,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_range
16,3115,-90.79106664000003,0,1,5.42,5530.0,2048,,,,,,,,,,
16,6017,-53.57283697,0,2,6.94,5618.0,4096,0.0001,2,0.001994192600250244,16056.93382230718,0.10871010638297872,8442.734375,-0.01858704553005543,-0.7829925062808585,0.017226936,0.2
16,8664,3.2910792799999977,0,3,8.76,5530.0,6144,0.0001,7,0.03796607255935669,15871.153216552735,0.132421875,7452.11865234375,-0.020394899358507246,-0.7450805634260178,0.011017775,0.2
16,11212,49.266039170000006,0,4,10.28,5722.0,8192,0.0001,12,0.14994949102401733,16028.306811523438,0.11416015625,7922.5703125,-0.01721093023661524,-0.7115548081696034,0.0067706937,0.2
16,13743,38.2364369,0,5,9.5,5618.0,10240,0.0001,17,0.20161080360412598,15651.559997558594,0.0435546875,7767.8359375,-0.013031050324207172,-0.6935802236199379,0.0037413205,0.2
16,16217,45.854424990000005,0,6,9.9,5738.0,12288,0.0001,22,0.20839905738830566,15925.039990234374,0.03974609375,8276.4619140625,-0.011475741886533797,-0.6847117602825165,0.004406886,0.2
16,18690,56.11803364,0,7,10.34,5618.0,14336,0.0001,27,0.21890956163406372,15697.941619873047,0.0263671875,8192.951171875,-0.00823239708552137,-0.6638132005929946,0.0036795256,0.2
16,21146,85.08561377,0,8,10.98,5530.0,16384,0.0001,32,0.20154714584350586,15299.59715576172,0.02275390625,7712.25927734375,-0.008997169134090655,-0.6640674374997616,0.0032191812,0.2
16,23570,100.17701858000001,0,9,11.64,5530.0,18432,0.0001,37,0.2080456018447876,15604.806848144532,0.01708984375,7543.5859375,-0.006690854654880241,-0.6443872656673193,0.0021930682,0.2
16,26147,85.21456599,0,10,10.11,5618.0,20480,0.0001,42,0.15916192531585693,15220.285101318359,0.0205078125,7918.9326171875,-0.006941546604502946,-0.6375994075089693,0.00326253,0.2
16,28602,117.52780354999997,0,11,11.6,5530.0,22528,0.0001,47,0.09805548191070557,15869.53246459961,0.0158203125,7702.82470703125,-0.0066609882313059645,-0.6313925620168448,0.0023876666,0.2
16,31040,121.10459048999999,0,12,11.7,5474.0,24576,0.0001,52,0.1298401951789856,14986.373461914063,0.010546875,6717.220703125,-0.004054159193765372,-0.6119693361222744,0.001871561,0.2
16,33546,98.04052143000001,0,13,10.5,5738.0,26624,0.0001,57,0.06485778093338013,14497.693408203126,0.0134765625,7393.392578125,-0.00299200347653823,-0.6159924168139697,0.0021244232,0.2
16,36015,116.86322926999999,0,14,11.19,5618.0,28672,0.0001,62,0.036599040031433105,14741.398828125,0.029296875,7572.99853515625,-0.0073083420109469445,-0.6135034292936326,0.0028620325,0.2
16,38469,142.51780763000002,0,15,11.78,5602.0,30720,0.0001,67,0.07143497467041016,13893.101867675781,0.015625,6879.958984375,-0.004629735555499792,-0.6104940855875611,0.0017772081,0.2
