rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,custom/max_height,time/time_elapsed,time/iterations,custom/current_screen,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance
4.43,0,48.11707903999999,1024,5474.0,1553,1,16,,,,,,,,,,
3.96,0,20.219707120000002,2048,5530.0,3111,2,16,73753.19404296875,40986.21484375,-0.879802268743515,-0.013010594365186989,0.2,0.008627364,0.0611328125,5,0.0001,0.0025031566619873047
4.96,0,51.39451907000001,3072,5562.0,4595,3,16,62310.48930664062,19001.447265625,-0.8992738626897335,-0.01746417194372043,0.2,0.009641919,0.091796875,10,0.0001,0.011100292205810547
5.25,0,65.48260984000001,4096,5618.0,6026,4,16,64334.008203125,36855.76953125,-0.8921870440244675,-0.014423298311885446,0.2,0.008439214,0.0505859375,15,0.0001,0.01284259557723999
6.28,0,103.91939234,5120,5530.0,7398,5,16,76960.96665039062,32426.3359375,-0.8334998272359371,-0.010737802262883633,0.2,0.004959916,0.0328125,20,0.0001,0.009499549865722656
7.77,0,167.79623558,6144,5562.0,8695,6,16,75580.9904296875,27821.392578125,-0.8312348879873752,-0.0075315326452255246,0.2,0.0041400185,0.0134765625,25,0.0001,0.004124283790588379
8.03,0,175.87571084000004,7168,5474.0,9953,7,16,91813.18154296876,43772.703125,-0.7969244152307511,-0.005747285345569253,0.2,0.0023275728,0.008203125,30,0.0001,0.0022332072257995605
6.4,0,113.49695807,8192,5618.0,11298,8,16,90156.01083984374,37642.36328125,-0.789054948091507,-0.004950965265743434,0.2,0.0027911982,0.0173828125,35,0.0001,0.000926673412322998
6.7,0,142.04212797,9216,5530.0,12633,9,16,84097.09252929688,44819.61328125,-0.799957375228405,-0.00874560996890068,0.2,0.0038989503,0.0181640625,40,0.0001,0.0005877017974853516
8.2,0,168.06289323000001,10240,5474.0,13944,10,16,95770.24462890625,50484.0078125,-0.7914509832859039,-0.006163129000924528,0.2,0.0024781884,0.008203125,45,0.0001,0.00045418739318847656
8.73,0,208.01534372000003,11264,5474.0,15186,11,16,88727.95581054688,46223.24609375,-0.7817050166428089,-0.006391981372144073,0.2,0.0035270564,0.009375,50,0.0001,0.0002912282943725586
8.74,0,210.70119012999996,12288,5530.0,16406,12,16,99036.20673828125,44756.1875,-0.7453890010714531,-0.0037294571695383636,0.2,0.0014406058,0.0078125,55,0.0001,0.00024962425231933594
7.46,0,177.04079939,13312,5530.0,17751,13,16,98155.980078125,51621.44921875,-0.7348085701465606,-0.005498319026082754,0.2,0.0018907934,0.007421875,60,0.0001,0.00022751092910766602
9.36,0,236.13689102,14336,5530.0,18982,14,16,89045.86630859374,39397.82421875,-0.737607479840517,-0.009535160730592906,0.2,0.005257923,0.023046875,65,0.0001,0.00017154216766357422
8.17,0,193.78652752999997,15360,5618.0,20259,15,16,95617.70244140625,51383.95703125,-0.7076108165085315,-0.004365850612521172,0.2,0.0014701511,0.00390625,70,0.0001,0.00013452768325805664
9.06,0,236.63250273999998,16384,5530.0,21521,16,16,89308.53388671875,40109.171875,-0.7016230896115303,-0.006061655445955693,0.2,0.0025499538,0.0138671875,75,0.0001,0.00011563301086425781
8.53,0,220.05341962999998,17408,5562.0,22776,17,16,98270.59638671875,42947.3984375,-0.6634628802537919,-0.007227359467651695,0.2,0.0034750886,0.0177734375,80,0.0001,0.00011217594146728516
9.24,0,229.90640209999998,18432,5562.0,23999,18,16,96814.49560546875,44704.0546875,-0.6517624117434024,-0.006985073839314282,0.2,0.0028468561,0.0189453125,85,0.0001,0.00011330842971801758
9.49,0,256.07516830000003,19456,5530.0,25233,19,16,92209.45869140625,43592.90234375,-0.641734954714775,-0.004980446165427565,0.2,0.0026030084,0.004296875,90,0.0001,0.00010317564010620117
9.09,0,232.08751991000005,20480,5474.0,26502,20,16,96574.3560546875,48440.359375,-0.6369414888322353,-0.003303120331838727,0.2,0.0014502412,0.0068359375,95,0.0001,9.614229202270508e-05
10.57,0,312.68554279999995,21504,5474.0,27706,21,16,96015.68012695313,46463.1640625,-0.6299649544060231,-0.00657067351276055,0.2,0.003003863,0.0171875,100,0.0001,8.791685104370117e-05
10.91,0,318.04870552999995,22528,5722.0,28870,22,16,103821.51279296874,53290.015625,-0.6108443073928356,-0.00519090835005045,0.2,0.0018674588,0.016796875,105,0.0001,8.445978164672852e-05
9.68,0,269.90454186000005,23552,5474.0,30107,23,16,103263.13095703124,53240.23046875,-0.6143795881420374,-0.007833119970746339,0.2,0.005049429,0.03359375,110,0.0001,8.112192153930664e-05
9.06,0,237.67149706,24576,5474.0,31365,24,16,100861.41845703125,52795.71484375,-0.6108964152634144,-0.0035087725584162397,0.2,0.001363578,0.009765625,115,0.0001,6.896257400512695e-05
10.18,0,300.47388594000006,25600,5530.0,32582,25,16,93865.26240234375,49535.23046875,-0.6184120990335942,-0.005053892219439149,0.2,0.0019186931,0.0111328125,120,0.0001,6.246566772460938e-05
9.83,0,297.71408957999995,26624,5530.0,33809,26,16,100712.88671875,51602.40234375,-0.6064901314675808,-0.0025768290448468178,0.2,0.0008520819,0.00703125,125,0.0001,6.127357482910156e-05
