custom/max_height,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,custom/current_screen,train/loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss
5562.0,1024,11.23076923076923,0,1201,26.19514685714286,1,16,,,,,,,,,,
5530.0,2048,11.96,0,2356,50.18419858,2,16,9265.826171875,-0.013440318091306835,0.007642063,5,0.0001,-0.002907872200012207,0.2,0.0662109375,-0.6433712624013423,22821.992578125
5530.0,3072,10.33,0,3618,-2.4852964999999974,3,16,10422.4287109375,-0.013424593373201787,0.0054693203,10,0.0001,0.031024277210235596,0.2,0.0548828125,-0.6504573449492455,20392.188208007814
5738.0,4096,11.5,0,4846,31.397123949999994,4,16,11882.7646484375,-0.012861076684202999,0.00778618,15,0.0001,0.03220009803771973,0.2,0.040625,-0.6688706740736962,22694.98991699219
5530.0,5120,12.32,0,6016,71.05056533999999,5,16,9248.0419921875,-0.011295064259320498,0.0072738966,20,0.0001,0.06609565019607544,0.2,0.075390625,-0.6628321215510369,20980.59245605469
5530.0,6144,12.51,0,7207,89.85796858000002,6,16,9967.146484375,-0.009338618745096028,0.005251266,25,0.0001,0.09136158227920532,0.2,0.0611328125,-0.6580653794109821,19652.86036376953
5618.0,7168,12.21,0,8396,80.21238815,7,16,9344.4755859375,-0.007012677984312177,0.006071618,30,0.0001,0.08491849899291992,0.2,0.04375,-0.6366747617721558,19619.15819091797
5618.0,8192,11.53,0,9606,70.29026939,8,16,10729.193359375,-0.0059783947945106775,0.004825942,35,0.0001,0.07765698432922363,0.2,0.0259765625,-0.6272967450320721,19760.37091064453
5530.0,9216,11.41,0,10804,64.2658175,9,16,9402.6650390625,-0.008332378277555109,0.0036833284,40,0.0001,0.09604966640472412,0.2,0.0265625,-0.622682636231184,19286.938623046874
5618.0,10240,13.27,0,11925,120.82224312,10,16,8927.4912109375,-0.006469493731856346,0.0035169844,45,0.0001,0.10538613796234131,0.2,0.01796875,-0.6234022431075573,18934.989331054687
5722.0,11264,12.88,0,13095,101.93722635000003,11,16,9323.2314453125,-0.006393667729571462,0.0034969603,50,0.0001,0.12435132265090942,0.2,0.01796875,-0.6154501162469387,17420.27373046875
5618.0,12288,12.45,0,14255,93.84257527000001,12,16,9466.2158203125,-0.011131891468539833,0.0068125017,55,0.0001,0.04954648017883301,0.2,0.0400390625,-0.5929494127631187,17674.154248046874
5618.0,13312,12.48,0,15424,98.19176999000001,13,16,7330.13818359375,-0.0073819434794131665,0.003060403,60,0.0001,0.04731649160385132,0.2,0.02265625,-0.5743048146367074,16972.100354003906
5530.0,14336,12.95,0,16576,124.55737872000002,14,16,8227.1513671875,-0.00710158102447167,0.003957674,65,0.0001,0.04458260536193848,0.2,0.0302734375,-0.5787056855857372,17466.506945800782
5530.0,15360,12.96,0,17742,117.54085790000003,15,16,8894.4306640625,-0.0057620129227871075,0.0044044987,70,0.0001,0.056342899799346924,0.2,0.026953125,-0.5584485501050949,16287.253784179688
5530.0,16384,12.47,0,18909,107.564289,16,16,9726.796875,-0.006454280519392341,0.011772564,72,0.0001,0.026159584522247314,0.2,0.0341796875,-0.552984400652349,17029.84844970703
5602.0,17408,12.64,0,20057,126.50566774,17,16,7779.74072265625,-0.008587539236759766,0.004703908,77,0.0001,0.03473716974258423,0.2,0.03125,-0.5152460265904665,17022.078259277343
5618.0,18432,13.52,0,21180,147.37694035,18,16,8302.708984375,-0.00570577813195996,0.0013570935,82,0.0001,0.04596686363220215,0.2,0.012109375,-0.5110112071037293,16547.182543945313
5530.0,19456,13.65,0,22329,156.97082785,19,16,6636.43505859375,-0.005272533418610692,0.0024858208,87,0.0001,0.036539435386657715,0.2,0.012890625,-0.5167969059199095,14937.786584472657
5618.0,20480,13.17,0,23469,139.57821689000002,20,16,6472.37060546875,-0.004871008853660897,0.0031582117,92,0.0001,0.021825075149536133,0.2,0.0203125,-0.5020203325897455,14762.43125
5530.0,21504,13.42,0,24621,147.50028675000001,21,16,7271.40380859375,-0.004870598181150853,0.0022815494,97,0.0001,0.011884450912475586,0.2,0.018359375,-0.5000016018748283,14898.213891601563
5602.0,22528,13.33,0,25786,146.51907153000002,22,16,6213.169921875,-0.006051347689935938,0.0021598455,102,0.0001,0.017230212688446045,0.2,0.010546875,-0.4827662527561188,14546.492028808594
5530.0,23552,13.1,0,26918,139.22456798000002,23,16,6722.34130859375,-0.007405589404515922,0.0025414792,107,0.0001,0.014866888523101807,0.2,0.01484375,-0.4803866419941187,15017.695922851562
5474.0,24576,12.85,0,28083,142.10906326,24,16,6280.92138671875,-0.006354846601607278,0.0030103587,112,0.0001,0.026015400886535645,0.2,0.0181640625,-0.47192815132439137,13527.025231933594
5562.0,25600,12.44,0,29261,128.21012829,25,16,6486.98583984375,-0.006486933666747063,0.0038370483,117,0.0001,0.015484631061553955,0.2,0.02578125,-0.47446479871869085,14283.030078125
5618.0,26624,13.63,0,30398,178.66397697,26,16,6475.95751953125,-0.005473244783934206,0.0017564984,122,0.0001,0.01305001974105835,0.2,0.01796875,-0.48046703785657885,13946.075439453125
5738.0,27648,14.03,0,31529,187.74985661,27,16,6104.96240234375,-0.008293708210112527,0.00449343,127,0.0001,0.01828080415725708,0.2,0.034765625,-0.48002148531377314,11543.22587890625
5530.0,28672,13.43,0,32685,155.98714595,28,16,6401.86865234375,-0.00593175573617612,0.011246462,132,0.0001,0.009901881217956543,0.2,0.04790296052631579,-0.4885737292076412,11222.430201480263
5618.0,29696,12.09,0,33869,116.68325158000002,29,16,7945.07275390625,-0.008714080197387375,0.0059596654,137,0.0001,0.005341231822967529,0.2,0.0541015625,-0.4779130291193724,13570.226586914063
5530.0,30720,12.64,0,35041,134.29508101000002,30,16,6733.6982421875,-0.005632840777980164,0.0012628485,142,0.0001,0.030399203300476074,0.2,0.0078125,-0.48807557076215746,13825.392736816406
5618.0,31744,13.72,0,36187,173.87011613999996,31,16,7492.759765625,-0.0037650210739229805,0.0014518437,147,0.0001,0.023179233074188232,0.2,0.0111328125,-0.4700839210301638,13531.8181640625
5530.0,32768,13.19,0,37333,160.96197854000005,32,16,7126.55224609375,-0.006310350677813404,0.0031484151,152,0.0001,0.031206250190734863,0.2,0.0189453125,-0.4771286990493536,12097.473791503906
