rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,custom/max_height,train/loss,train/value_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/clip_range,train/entropy_loss,train/n_updates
-149.24822439999997,16,3382,1,2048,5.67,0,5530.0,,,,,,,,,,
-133.39447296999995,16,6353,2,4096,6.41,0,5562.0,15455.7001953125,32637.389466366527,0.0141091505,0.08501059322033898,-0.012334872542296425,-0.006399393081665039,0.0001,0.2,-0.6225167644225945,2
-73.64094845000001,16,9096,3,6144,8.09,0,5562.0,13806.4189453125,28350.62265625,0.014153819,0.105,-0.016123511493206025,0.016609489917755127,0.0001,0.2,-0.6430974423885345,4
-0.24368450000000252,16,11609,4,8192,10.55,0,5618.0,12159.0625,24774.132470703124,0.0122925285,0.137890625,-0.026032874721568077,0.046495258808135986,0.0001,0.2,-0.6276503924280405,9
25.63380024,16,14050,5,10240,10.71,0,5474.0,10128.521484375,21540.706689453124,0.006890204,0.08759765625,-0.017799992155050858,0.12805694341659546,0.0001,0.2,-0.607068938948214,14
51.86979997,16,16489,6,12288,11.59,0,5618.0,9782.8603515625,20165.51387939453,0.0049809674,0.06015625,-0.01351351274352055,0.17134511470794678,0.0001,0.2,-0.5924072448164225,19
55.164068369999995,16,18925,7,14336,11.3,0,5530.0,9404.3056640625,19704.22868652344,0.0027725722,0.02587890625,-0.009910015322384424,0.1735495924949646,0.0001,0.2,-0.5860541583970189,24
94.05164029000001,16,21349,8,16384,12.2,0,5530.0,9660.48046875,19814.386572265626,0.004952841,0.03271484375,-0.00931229519774206,0.17949950695037842,0.0001,0.2,-0.5864319574087858,29
76.26649151,16,23773,9,18432,11.55,0,5738.0,9971.4794921875,19155.249926757813,0.0036785828,0.01767578125,-0.005870650170254521,0.17627400159835815,0.0001,0.2,-0.5678906433284283,34
111.52842784000002,16,26117,10,20480,12.8,0,5562.0,8364.6640625,18411.092138671876,0.0034974164,0.03955078125,-0.006966707378160209,0.13179969787597656,0.0001,0.2,-0.568252014927566,39
72.06963234,16,28527,11,22528,11.2,0,5530.0,8612.7470703125,17186.338635253906,0.004171962,0.03359375,-0.005661154323024675,0.08652299642562866,0.0001,0.2,-0.5537556340917945,44
134.39187843000002,16,30936,12,24576,12.42,0,5474.0,8396.7880859375,17888.78609008789,0.0035262406,0.015625,-0.004507612946326844,0.046543240547180176,0.0001,0.2,-0.5488143838942051,49
109.06207399000003,16,33353,13,26624,11.8,0,5474.0,8846.2509765625,17300.898815917968,0.0030024718,0.01787109375,-0.006117815128163784,0.08156794309616089,0.0001,0.2,-0.5326825771480799,54
134.54080751,16,35776,14,28672,12.45,0,5530.0,7818.2705078125,16777.034661865233,0.002596018,0.013671875,-0.0037100818881299347,0.040714383125305176,0.0001,0.2,-0.5291329391300679,59
143.62193699,16,38205,15,30720,12.39,0,5562.0,8905.0400390625,16229.33927001953,0.0038946937,0.022265625,-0.006830830463150051,0.04149961471557617,0.0001,0.2,-0.5319317076355219,64
