rollout/ep_len_mean,custom/current_screen,custom/max_height,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/approx_kl
11.51,16,5618.0,0,2048,117.27800168000002,1,2419,,,,,,,,,,
12.03,16,5474.0,0,4096,135.62137201,2,4836,74,0.01298828125,0.0001,-0.0055387862143106755,-0.5034123549237848,0.023626208305358887,6881.556640625,0.2,16443.60648803711,0.0017829532
11.57,16,5530.0,0,6144,130.28787902000002,3,7305,79,0.018359375,0.0001,-0.002350013027898967,-0.5000579116865993,0.04522806406021118,6828.2548828125,0.2,14718.545611572266,0.0036716405
11.28,16,5530.0,0,8192,125.54104411,4,9780,84,0.0263671875,0.0001,-0.0059069713985081766,-0.47931613866239786,0.017335593700408936,7874.62109375,0.2,14780.407403564453,0.002650918
11.93,16,5530.0,0,10240,147.74997573000002,5,12275,89,0.03359375,0.0001,-0.005935057444730774,-0.464461637288332,0.021945297718048096,5607.9638671875,0.2,13943.575909423827,0.0040524527
11.86,16,5530.0,0,12288,156.81330608000002,6,14749,94,0.0279296875,0.0001,-0.005063360068015754,-0.4470997443422675,0.016354024410247803,7393.388671875,0.2,13348.698486328125,0.0039585074
12.12,16,5618.0,0,14336,165.67926160000002,7,17209,99,0.01884765625,0.0001,-0.005288191745057702,-0.44261857587844133,0.022523880004882812,6929.7021484375,0.2,13555.847290039062,0.0027141687
12.74,16,5474.0,0,16384,192.45643581999997,8,19662,104,0.01904296875,0.0001,-0.003249736978614237,-0.4381212366744876,0.03745239973068237,6309.2666015625,0.2,11884.081546020509,0.0028301636
11.35,16,5530.0,0,18432,142.95936358,9,22164,109,0.03125,0.0001,-0.0036588688250049017,-0.4275735955685377,0.007864713668823242,5432.7236328125,0.2,10576.046600341797,0.00840744
12.04,16,5618.0,0,20480,161.39031039,10,24661,114,0.015234375,0.0001,-0.004815179298748262,-0.43332892172038556,0.005948066711425781,6569.94189453125,0.2,12525.399255371094,0.0015743882
11.81,16,5530.0,0,22528,146.73492241,11,27130,119,0.002734375,0.0001,-0.0012147851171903311,-0.4372385490685701,0.039290010929107666,5823.4521484375,0.2,11862.08388671875,0.0008189067
11.81,16,5530.0,0,24576,165.29022583000003,12,29588,124,0.018359375,0.0001,-0.003984004538506269,-0.4424999736249447,0.040184199810028076,7218.130859375,0.2,11567.081558227539,0.0022786038
12.21,16,5474.0,0,26624,173.78476238000002,13,32019,129,0.0236328125,0.0001,-0.005457254231441766,-0.43063338547945024,0.01692742109298706,5662.41064453125,0.2,10459.327569580078,0.002984166
12.28,16,5722.0,0,28672,184.26622890999997,14,34475,134,0.01884765625,0.0001,-0.005753818151424639,-0.420466217212379,0.04402238130569458,4549.66064453125,0.2,9982.973181152343,0.002267202
