time/total_timesteps,rollout/ep_rew_mean,time/iterations,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/fps,custom/current_screen,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/approx_kl
2048,-82.62272803000002,1,5618.0,5.56,3166,0,16,,,,,,,,,,
4096,-57.6499283,2,5530.0,6.44,6145,0,16,-0.015440328950339024,16219.674824025371,0.10334158415841584,0.0001,4,0.2,-0.0029518604278564453,-0.6677824028647772,7049.5390625,0.020047173
6144,0.685769799999993,3,5618.0,8.28,8871,0,16,-0.020757180586224423,16102.091638183594,0.13720703125,0.0001,9,0.2,0.05828899145126343,-0.6236287590116263,7612.8017578125,0.014065783
8192,19.50960626000001,4,5530.0,8.88,11586,0,16,-0.015842042752774434,16850.016680908204,0.10634765625,0.0001,14,0.2,0.1459108591079712,-0.5827137852087617,8492.9228515625,0.0076458305
10240,24.692363270000005,5,5474.0,9.26,14190,0,16,-0.015155087516177446,16584.641943359376,0.0728515625,0.0001,19,0.2,0.19086670875549316,-0.5577950431033969,7674.68115234375,0.0050368896
12288,78.48184779,6,5530.0,10.63,16681,0,16,-0.017334968503564595,16413.042938232422,0.07373046875,0.0001,24,0.2,0.22586959600448608,-0.5550066271796823,7875.498046875,0.0065055443
14336,72.35672981,7,5474.0,10.66,19147,0,16,-0.010744290211005137,16591.91553955078,0.04111328125,0.0001,29,0.2,0.21982347965240479,-0.5292376138269901,7758.5791015625,0.0039947107
16384,107.27279260999998,8,5530.0,11.26,21619,0,16,-0.009910768517875113,16292.6001953125,0.029296875,0.0001,34,0.2,0.14850586652755737,-0.5184368865564466,7661.0771484375,0.0031632315
18432,131.02188293999998,9,5618.0,12.54,24024,0,16,-0.008756368517060764,15972.567315673828,0.02666015625,0.0001,39,0.2,0.10714119672775269,-0.5151686320081353,8211.2138671875,0.0033411868
20480,110.10800693000003,10,5530.0,11.69,26395,0,16,-0.007657354555703932,14841.992974853516,0.05595703125,0.0001,44,0.2,0.05155438184738159,-0.5059350548312068,7015.7119140625,0.0035803695
22528,156.69119456,11,5530.0,12.95,28750,0,16,-0.00869295081574819,14452.213134765625,0.0455078125,0.0001,49,0.2,0.01982015371322632,-0.4993716195225716,7435.76220703125,0.003780063
24576,163.75021088,12,5530.0,13.0,31113,0,16,-0.004799297895806376,13791.51651611328,0.01962890625,0.0001,54,0.2,0.0352323055267334,-0.4880070215091109,6710.6640625,0.0027874708
26624,149.87914468,13,5474.0,12.37,33522,0,16,-0.0071734384633600715,13230.619061279296,0.03681640625,0.0001,59,0.2,0.011358559131622314,-0.46619201768189666,6401.71826171875,0.005665754
28672,189.69508946999997,14,5530.0,13.1,35923,0,16,-0.006999525125138462,13114.660546875,0.03798828125,0.0001,64,0.2,0.006606101989746094,-0.44873008541762827,7235.439453125,0.004170267
