rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
-90.79106664000004,5.42,2048.0,1.0,0,3115,,,,,,,,,,
-53.57283697,6.94,4096.0,2.0,0,6017,-0.7829925062808585,0.2,2.0,0.0001,8442.734375,16056.93382230718,0.017226936,-0.0185870455300554,0.0019941926002502,0.1087101063829787
3.2910792799999977,8.76,6144.0,3.0,0,8664,-0.7450805634260178,0.2,7.0,0.0001,7452.11865234375,15871.153216552735,0.011017775,-0.0203948993585072,0.0379660725593566,0.132421875
49.266039170000006,10.28,8192.0,4.0,0,11212,-0.7115548081696034,0.2,12.0,0.0001,7922.5703125,16028.306811523438,0.0067706937,-0.0172109302366152,0.1499494910240173,0.11416015625
38.2364369,9.5,10240.0,5.0,0,13743,-0.6935802236199379,0.2,17.0,0.0001,7767.8359375,15651.559997558594,0.0037413205,-0.0130310503242071,0.2016108036041259,0.0435546875
45.854424990000005,9.9,12288.0,6.0,0,16217,-0.6847117602825165,0.2,22.0,0.0001,8276.4619140625,15925.039990234374,0.004406886,-0.0114757418865337,0.2083990573883056,0.03974609375
56.11803364,10.34,14336.0,7.0,0,18690,-0.6638132005929946,0.2,27.0,0.0001,8192.951171875,15697.941619873049,0.0036795256,-0.0082323970855213,0.2189095616340637,0.0263671875
85.08561377,10.98,16384.0,8.0,0,21146,-0.6640674374997616,0.2,32.0,0.0001,7712.25927734375,15299.59715576172,0.0032191812,-0.0089971691340906,0.2015471458435058,0.02275390625
100.17701858,11.64,18432.0,9.0,0,23570,-0.6443872656673193,0.2,37.0,0.0001,7543.5859375,15604.806848144532,0.0021930682,-0.0066908546548802,0.2080456018447876,0.01708984375
85.21456599,10.11,20480.0,10.0,0,26147,-0.6375994075089693,0.2,42.0,0.0001,7918.9326171875,15220.28510131836,0.00326253,-0.0069415466045029,0.1591619253158569,0.0205078125
117.52780354999996,11.6,22528.0,11.0,0,28602,-0.6313925620168448,0.2,47.0,0.0001,7702.82470703125,15869.53246459961,0.0023876666,-0.0066609882313059,0.0980554819107055,0.0158203125
121.10459049,11.7,24576.0,12.0,0,31040,-0.6119693361222744,0.2,52.0,0.0001,6717.220703125,14986.373461914063,0.001871561,-0.0040541591937653,0.1298401951789856,0.010546875
98.04052143,10.5,26624.0,13.0,0,33546,-0.6159924168139697,0.2,57.0,0.0001,7393.392578125,14497.693408203126,0.0021244232,-0.0029920034765382,0.0648577809333801,0.0134765625
116.86322927,11.19,28672.0,14.0,0,36015,-0.6135034292936326,0.2,62.0,0.0001,7572.99853515625,14741.398828125,0.0028620325,-0.0073083420109469,0.0365990400314331,0.029296875
142.51780763000002,11.78,30720.0,15.0,0,38469,-0.6104940855875611,0.2,67.0,0.0001,6879.958984375,13893.10186767578,0.0017772081,-0.0046297355554997,0.0714349746704101,0.015625
119.40048299,10.91,32768.0,16.0,0,2516,,,,,,,,,,
138.90028682,11.67,34816.0,17.0,0,4996,-0.5820047067478299,0.2,144.0,0.0001,7429.0224609375,13188.50016479492,0.003315796,-0.0060025949642295,0.0326249599456787,0.0154296875
123.54697778,10.65,36864.0,18.0,0,2510,,,,,,,,,,
146.30778550000002,11.25,38912.0,19.0,0,5047,-0.5530159024521708,0.2,231.0,0.0001,6150.40966796875,12617.894567871092,0.0018837996,-0.0031063058035215,0.0511980652809143,0.01103515625
128.11394677,10.92,40960.0,20.0,0,7562,-0.5305082511156798,0.2,236.0,0.0001,6606.611328125,12185.064825439453,0.0015363572,-0.0043075245368527,0.0587888360023498,0.01123046875
156.95647765,12.04,43008.0,21.0,0,10031,-0.5271152758970856,0.2,241.0,0.0001,6480.97607421875,11697.361248779296,0.0012341435,-0.0031532453591353,0.0412744879722595,0.01025390625
156.34157885000002,11.35,45056.0,22.0,0,12502,-0.5291249074041844,0.2,246.0,0.0001,4616.89404296875,10731.95516357422,0.004034091,-0.0048895521700615,0.0705270767211914,0.026171875
157.02680702,11.38,47104.0,23.0,0,15061,-0.5143581049516797,0.2,251.0,0.0001,4137.8056640625,9784.453747558591,0.0050874376,-0.006819716078462,0.0151388645172119,0.0404296875
148.72540937,11.52,49152.0,24.0,0,17599,-0.5098129423335195,0.2,256.0,0.0001,5308.0341796875,10281.653131103516,0.0021369145,-0.0046568872501666,0.0074037313461303,0.012890625
141.79541467,11.08,51200.0,25.0,0,20127,-0.522703361324966,0.2,261.0,0.0001,5844.490234375,9897.140582275391,0.0012596115,-0.0024333657027455,0.0756529569625854,0.00888671875
157.74050312,11.48,53248.0,26.0,0,22670,-0.5168687907978893,0.2,266.0,0.0001,3620.4638671875,9458.486254882811,0.0029929895,-0.0053160568233579,0.0382581353187561,0.01416015625
138.70518449,10.88,55296.0,27.0,0,25238,-0.5192332053557038,0.2,271.0,0.0001,4620.255859375,9170.323571777344,0.0009702222,-0.002146238462592,0.0162989497184753,0.00732421875
163.96133461999997,11.67,57344.0,28.0,0,27737,-0.5078522836789489,0.2,276.0,0.0001,4200.4677734375,9550.92658996582,0.0012289311,-0.0039984466158784,0.0466101765632629,0.01025390625
160.74673904,11.42,59392.0,29.0,0,30225,-0.5102299261838198,0.2,281.0,0.0001,2931.750244140625,8181.418664550782,0.0007069841,-0.0022426038973208,0.1318696737289428,0.00771484375
164.09494626,11.99,61440.0,30.0,0,32738,-0.5014554528519511,0.2,286.0,0.0001,2916.755615234375,8087.830950927734,0.0012129504,-0.0018818795331753,0.0635825395584106,0.0078125
