time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,time/fps,time/total_timesteps,custom/current_screen,train/policy_gradient_loss,train/clip_range,train/approx_kl,train/value_loss,train/learning_rate,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_fraction
3354,1,4.66,-108.54337822000005,5618.0,0,2048,16,,,,,,,,,,
6296,2,7.27,-34.540301129999996,5722.0,0,4096,16,-0.014221311925888755,0.2,0.019313734,15579.79449037064,0.0001,-0.7705713642197985,7203.8134765625,-0.0061141252517700195,3,0.12063953488372094
8944,3,8.41,-6.723623380000005,5530.0,0,6144,16,-0.01830369163653813,0.2,0.014135253,16551.91010131836,0.0001,-0.7559558521956206,7552.9619140625,0.04557079076766968,8,0.13271484375
11514,4,9.03,22.263570400000003,5474.0,0,8192,16,-0.022616412647766992,0.2,0.009974398,16206.97752685547,0.0001,-0.7187617406249046,7926.845703125,0.14041560888290405,13,0.126953125
14024,5,10.54,67.10165446,5530.0,0,10240,16,-0.018184718227712438,0.2,0.0069665783,16646.643896484376,0.0001,-0.691155894473195,8270.8232421875,0.19467788934707642,18,0.0763671875
16377,6,12.26,113.6037299,5530.0,0,12288,16,-0.013841090953792445,0.2,0.0032463511,16806.59425048828,0.0001,-0.6626094691455364,8197.5751953125,0.1776655912399292,23,0.0443359375
18830,7,11.47,110.11846437000003,5618.0,0,14336,16,-0.015395223125233315,0.2,0.005725382,16164.291442871094,0.0001,-0.6363632991909981,7904.40380859375,0.16531825065612793,28,0.05556640625
21273,8,11.57,114.19022057999999,5530.0,0,16384,16,-0.011140577617334202,0.2,0.007125653,15858.745025634766,0.0001,-0.6239823136478663,7591.37158203125,0.05771714448928833,33,0.0484375
23761,9,11.07,107.58806778,5474.0,0,18432,16,-0.0073562739533372225,0.2,0.0035026069,15611.67196044922,0.0001,-0.6150589250028133,8442.107421875,0.029180288314819336,38,0.02451171875
26158,10,12.29,156.93659574,5530.0,0,20480,16,-0.010271971015026794,0.2,0.004775515,15324.84701538086,0.0001,-0.5914614245295524,8669.00390625,0.022045910358428955,43,0.0328125
28569,11,12.06,163.74114542,5738.0,0,22528,16,-0.008210087040788494,0.2,0.0028196597,14374.712115478516,0.0001,-0.5633611848577857,6281.37548828125,0.025660812854766846,48,0.0212890625
30989,12,12.8,171.09243035,5474.0,0,24576,16,-0.0068282991385785865,0.2,0.004795609,13768.810595703126,0.0001,-0.5381384670734406,6553.53173828125,0.009824752807617188,53,0.03251953125
33426,13,12.3,155.62110768,5530.0,0,26624,16,-0.006679459470615256,0.2,0.0027665324,12671.586053466797,0.0001,-0.5469927564263344,6277.65283203125,0.004134535789489746,58,0.0322265625
35845,14,12.62,177.29254590999997,5474.0,0,28672,16,-0.009787570325715932,0.2,0.004278101,12569.72348022461,0.0001,-0.524531708471477,6485.5654296875,0.005001842975616455,63,0.03330078125
