custom/max_height,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,custom/current_screen,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/loss,train/policy_gradient_loss
6194.0,1,166.95243638,0,1222,1024,18,7.5,,,,,,,,,,
6346.0,2,219.21708234999997,0,2190,2048,18,9.55,0.002010047435760498,0.0001,26402.65427246094,0.108203125,-0.5287799656391143,0.2,5,0.010618503,12044.1845703125,-0.01312508013797924
6450.0,3,241.63110782999996,0,3142,3072,18,9.97,0.010279178619384766,0.0001,26502.44744318182,0.026988636363636364,-0.5194892544638027,0.2,7,0.012379713,13510.5654296875,-0.0019491720013320446
6282.0,4,200.39354549,0,4215,4096,18,8.57,0.013645529747009277,0.0001,26782.88515625,0.0384765625,-0.5287608306854963,0.2,12,0.004505353,13150.0205078125,-0.0058171043230686335
6194.0,5,215.72776426000001,0,5275,5120,18,8.74,0.014324009418487549,0.0001,25162.394677734374,0.1001953125,-0.5296202942728996,0.2,17,0.012096096,11006.4462890625,-0.014271380368154497
6450.0,6,247.46009180000001,0,6240,6144,18,9.77,0.01385641098022461,0.0001,26568.65886230469,0.0646484375,-0.5093295063823462,0.2,22,0.008419298,13186.4951171875,-0.00778791286284104
6346.0,7,232.68517433,0,7300,7168,18,8.83,0.01768183708190918,0.0001,25098.10177176339,0.037388392857142856,-0.5216533605541501,0.2,24,0.011484675,13860.8642578125,-0.0023009226923542364
6346.0,8,230.51415992000005,0,8385,8192,18,8.43,0.024167001247406006,0.0001,25437.7634765625,0.053125,-0.5171377331018447,0.2,26,0.01311861,12738.501953125,-0.004443324512491623
6346.0,9,257.99730044000006,0,9392,9216,18,9.32,0.023634374141693115,0.0001,25645.876953125,0.015625,-0.5052597026030222,0.2,27,0.0051154736,12497.53515625,-0.003085348755121231
6346.0,10,254.76826843000003,0,10458,10240,18,7.89,0.02220970392227173,0.0001,26051.01579589844,0.07734375,-0.47495779767632484,0.2,32,0.007950491,13078.55859375,-0.010330085025634617
6282.0,11,250.18871477999997,0,11618,11264,18,7.73,0.02298605442047119,0.0001,28050.1259765625,0.049609375,-0.46542300917208196,0.2,37,0.0074741878,13953.2578125,-0.010581482225097716
6450.0,12,231.26425283,0,12749,12288,18,7.53,0.03215914964675903,0.0001,28174.12287597656,0.03515625,-0.46620944552123544,0.2,42,0.006262021,14637.455078125,-0.0050491223402787
