time/iterations,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,time/time_elapsed,time/fps,train/policy_gradient_loss,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/clip_fraction
1,1024,19,201.89893944,8.75,6594.0,934,1,,,,,,,,,,
2,2048,19,192.73591858,9.46,6682.0,1882,1,-0.010869901487603783,15777.9208984375,0.0040884414,0.0021384358406066895,0.2,35,-0.3654256794601679,0.0001,32009.115869140624,0.0548828125
3,3072,19,214.37804802000002,9.39,6594.0,2804,1,-0.0034261344058904796,15666.9921875,0.0018811782,0.008410811424255371,0.2,40,-0.3416088666766882,0.0001,30035.55827636719,0.0203125
4,4096,19,190.90109661000002,8.9,6594.0,3737,1,-0.00041401405663539964,14942.474609375,0.01210756,0.008900105953216553,0.2,42,-0.3469036954144637,0.0001,30540.342692057293,0.02734375
5,5120,19,193.84812505999994,8.7,6682.0,4660,1,-0.006906344415619969,15810.7470703125,0.004356508,0.0069699883460998535,0.2,47,-0.34334171637892724,0.0001,30778.854833984376,0.03359375
6,6144,19,223.66647943,9.51,6682.0,5609,1,-0.0072673158603720365,14878.24609375,0.0018654116,0.007303178310394287,0.2,52,-0.320445341989398,0.0001,30815.546533203124,0.019921875
7,7168,19,246.13623053999999,9.15,6594.0,6534,1,-0.004354293958749622,14663.21875,0.0020255418,0.030952394008636475,0.2,57,-0.30531198941171167,0.0001,28502.95427246094,0.0244140625
8,8192,19,230.82352583000002,8.68,6594.0,7452,1,-0.0009871873867194183,16032.3173828125,0.009400936,0.0015776753425598145,0.2,61,-0.31635678767180836,0.0001,29514.70715932377,0.02459016393442623
9,9216,19,216.79536541,9.16,6682.0,8390,1,-0.0050604712567292156,13601.46484375,0.005489438,0.01262056827545166,0.2,66,-0.31090703383088114,0.0001,29408.0390625,0.0357421875
10,10240,19,240.60869411999997,8.89,6682.0,9305,1,-0.002706504863454029,13468.5498046875,0.0027578133,0.032370805740356445,0.2,71,-0.2921936631202698,0.0001,27824.04865722656,0.0236328125
11,11264,19,249.63188269,8.76,6594.0,10216,1,-0.003989563137292862,13996.201171875,0.0038641873,0.025831758975982666,0.2,76,-0.27795266546308994,0.0001,28029.89345703125,0.0375
12,12288,19,248.39009715000003,8.74,6594.0,11152,1,-0.007493894669460132,14530.6953125,0.0036605855,0.01814979314804077,0.2,81,-0.2664329018443823,0.0001,28212.882080078125,0.038671875
13,13312,19,219.05210962000004,8.45,6778.0,12086,1,-0.0004132611327804625,12870.2783203125,0.0021821943,0.03522086143493652,0.2,86,-0.26002289541065693,0.0001,26938.161694335937,0.0224609375
14,14336,19,223.19392416000002,8.52,6594.0,13020,1,-0.004280858353013173,12833.134765625,0.008540075,0.0005349516868591309,0.2,91,-0.246365237981081,0.0001,27088.400048828124,0.025
15,15360,19,239.27504693999998,8.72,6682.0,13940,1,0.00025666092077027196,13992.419921875,0.007453558,0.020956993103027344,0.2,93,-0.23659831998140915,0.0001,26678.69735054348,0.012907608695652174
16,16384,19,231.78545301999998,8.86,6594.0,14871,1,-0.006402863748371601,11838.65234375,0.005246967,4.6372413635253906e-05,0.2,98,-0.2554136825725436,0.0001,25627.61025390625,0.0349609375
17,17408,19,228.29172107,9.17,6682.0,15819,1,-0.004675060353474691,12877.6337890625,0.0069280043,0.028039395809173584,0.2,103,-0.23687426410615445,0.0001,25375.39826660156,0.0265625
18,18432,19,226.43275487000002,8.7,6594.0,16734,1,-0.0014738881262019276,12421.9814453125,0.003690819,0.06183171272277832,0.2,108,-0.24754763413220643,0.0001,24720.5416015625,0.0306640625
19,19456,19,219.31826736,9.18,6594.0,17655,1,-0.00806852921959944,10922.6865234375,0.005322474,0.0313107967376709,0.2,113,-0.284028653614223,0.0001,24546.088916015626,0.0509765625
20,20480,19,236.21360032000004,8.84,6594.0,18565,1,-0.003975725849159062,12065.580078125,0.002488595,0.04660928249359131,0.2,118,-0.2758275715634227,0.0001,24337.729125976562,0.021484375
21,21504,19,241.57967553999998,8.8,6682.0,19490,1,-0.00271022803799221,10791.23046875,0.022140713,-0.0007680654525756836,0.2,123,-0.2713850276036696,0.0001,23714.598100142044,0.045454545454545456
22,22528,19,217.74783672000004,8.91,6594.0,20444,1,-0.0016463410316242112,12973.4658203125,0.024919588,-0.00014841556549072266,0.2,125,-0.2533956799242232,0.0001,23878.84299045139,0.026909722222222224
23,23552,19,249.74445993,8.64,6594.0,21386,1,-0.0045369243249297145,11744.9091796875,0.0030185108,0.05962061882019043,0.2,130,-0.22643375545740127,0.0001,23655.053491210936,0.0205078125
24,24576,19,240.87397382999998,8.67,6594.0,22309,1,-0.0022659113456029445,10779.2392578125,0.0039511733,0.10322082042694092,0.2,135,-0.22904552537947892,0.0001,22581.139111328124,0.0296875
25,25600,19,245.87883194999995,8.95,6594.0,23245,1,-0.004307808053186711,11487.8408203125,0.019655488,-0.00032830238342285156,0.2,138,-0.23548822849988937,0.0001,22720.121151194853,0.035845588235294115
26,26624,19,239.75380864999997,8.61,6594.0,24171,1,-0.004373980255331844,9997.8173828125,0.0024893703,0.10358965396881104,0.2,143,-0.21905638910830022,0.0001,21823.58088378906,0.022265625
27,27648,19,219.12179949000006,8.85,6594.0,25114,1,-0.005074422897362128,10019.654296875,0.016285662,0.04626864194869995,0.2,146,-0.21841781822646536,0.0001,22566.733088795732,0.026676829268292682
