custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,custom/current_screen,time/time_elapsed,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/loss,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/explained_variance
306.0,1.57,-11.330447039999994,2048,1,0,1,4319,,,,,,,,,,
186.0,1.53,5.65528746,4096,2,0,1,8612,3e-05,0.2,0.0,5571.470867919922,-1.1778252013027668,2331.176025390625,10,0.0,2.956585376523435e-08,0.004332363605499268
306.0,1.47,2.1073633300000014,6144,3,0,1,13081,3e-05,0.2,0.03965583,5324.300856781006,-1.055265924707055,2670.879150390625,20,0.286279296875,-0.044374062831047924,0.06850886344909668
90.0,1.35,20.76451661,8192,4,0,1,17722,3e-05,0.2,0.068310104,5118.74962310791,-0.9566707892343402,2663.92431640625,30,0.18623046875,-0.03776587194442982,0.12069642543792725
186.0,1.38,15.608450500000004,10240,5,0,1,22478,3e-05,0.2,0.026748192,4534.0200855255125,-0.8542390000075102,2618.16162109375,40,0.243896484375,-0.0453679234808078,0.15837401151657104
90.0,1.22,19.297275759999998,12288,6,0,1,27226,3e-05,0.2,0.012909618,3581.789119720459,-0.8057518973946571,1641.2135009765625,50,0.223095703125,-0.031439602718455716,0.1863284707069397
90.0,1.22,11.029451450000002,14336,7,0,1,32013,3e-05,0.2,0.006901332,3360.8569955825806,-0.7158318366855383,613.1846923828125,60,0.161474609375,-0.02554675094143022,0.23443591594696045
306.0,1.07,18.773973590000004,16384,8,0,1,36837,3e-05,0.2,0.005644406,2881.9548725128175,-0.6344472619704902,1140.4853515625,70,0.095751953125,-0.029690903663868083,0.2606855630874634
282.0,1.19,17.17668033,18432,9,0,1,41635,3e-05,0.2,0.0066937516,2366.6701080322264,-0.5650178954936564,1405.6285400390625,80,0.073095703125,-0.022738559320714558,0.30322057008743286
282.0,1.13,11.020055350000002,20480,10,0,1,46469,3e-05,0.2,0.0047551612,2055.7418981552123,-0.5212236114777624,501.37115478515625,90,0.0859375,-0.02315137040641275,0.3227754831314087
186.0,1.07,9.1757271,22528,11,0,1,51316,3e-05,0.2,0.0031824075,1706.8189014196396,-0.4533098412677646,783.1967163085938,100,0.058935546875,-0.020130564508144745,0.3709864020347595
90.0,1.12,13.483609050000002,24576,12,0,1,56135,3e-05,0.2,0.0028960838,1479.8824984788894,-0.3904272295534611,417.9913330078125,110,0.04208984375,-0.01785593967215391,0.4172772169113159
90.0,1.02,1.3000946200000032,26624,13,0,1,60977,3e-05,0.2,0.004242576,981.8542917400598,-0.29483588160946966,963.4472045898438,120,0.05048828125,-0.01605915349937277,0.4718362092971802
186.0,1.09,5.302387940000001,28672,14,0,1,65806,3e-05,0.2,0.007117682,760.3755821183324,-0.21026092350948603,162.94857788085938,130,0.05146484375,-0.015399952018924523,0.5116496682167053
