time/time_elapsed,time/iterations,custom/max_height,rollout/ep_len_mean,rollout/ep_rew_mean,custom/current_screen,time/fps,time/total_timesteps,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/policy_gradient_loss
125,1,442.0,10.666666666666666,-40.08131316666667,2,1,128,,,,,,,,,,
263,2,490.0,10.91304347826087,-51.55546773913044,2,0,256,0.0,4307.02734375,0.0,5,0.0001,-0.8661068260669709,-0.003177165985107422,0.2,9790.59404296875,-1.1613592505455017e-07
403,3,650.0,11.333333333333334,-15.639478000000002,2,0,384,0.0,3768.67529296875,0.0,10,0.0001,-0.9382246792316437,-0.005444645881652832,0.2,7097.649267578125,-1.2107193470001221e-09
554,4,650.0,12.073170731707316,-14.33746604878049,2,0,512,0.011512104,7397.48291015625,0.034375,15,0.0001,-0.9166452288627625,0.00330275297164917,0.2,14514.3607421875,-0.014937333762645721
695,5,522.0,12.254901960784315,-5.627415666666666,2,0,640,0.002563457,3777.587646484375,0.009375,20,0.0001,-0.9973069727420807,0.001117408275604248,0.2,7602.137158203125,-0.010497732274234294
831,6,442.0,12.766666666666667,-13.056636650000002,2,0,768,0.0027923426,5445.330078125,0.00625,25,0.0001,-0.9165412485599518,0.0032790303230285645,0.2,11264.49541015625,-0.006167020089924336
968,7,538.0,13.348484848484848,-5.90628537878788,2,0,896,0.001511652,3204.0283203125,0.00625,30,0.0001,-0.9462942481040955,-9.810924530029297e-05,0.2,6720.93408203125,-0.006092271953821182
1102,8,626.0,12.974358974358974,0.26174360256410506,2,0,1024,0.0021784953,3746.2646484375,0.0078125,35,0.0001,-0.9462043344974518,0.012586414813995361,0.2,8115.29794921875,-0.005559980683028698
1244,9,538.0,13.011363636363637,15.324389000000002,2,0,1152,0.0053888266,6760.5498046875,0.015625,40,0.0001,-0.8327626347541809,0.00796496868133545,0.2,14321.6603515625,-0.00725715197622776
1394,10,442.0,13.040816326530612,23.827634051020414,2,0,1280,0.0035849013,8481.5380859375,0.0109375,45,0.0001,-0.9280096650123596,0.014911532402038574,0.2,16859.781640625,-0.006110169924795628
1528,11,490.0,13.09,31.24461486000001,2,0,1408,0.0032120408,7301.9814453125,0.0171875,50,0.0001,-0.9197564244270324,0.015887558460235596,0.2,14722.75107421875,-0.0042768316343426704
1666,12,522.0,13.49,44.982195940000004,2,0,1536,0.0009828857,6587.3251953125,0.0046875,55,0.0001,-0.8363427996635437,0.007326245307922363,0.2,12618.0599609375,-0.006371949799358845
1806,13,522.0,13.53,42.49897894000001,2,0,1664,0.0005989224,6842.66162109375,0.0,60,0.0001,-0.9384641766548156,0.01761108636856079,0.2,12223.134375,-0.002633927296847105
1944,14,490.0,13.58,37.016217039999994,2,0,1792,0.0018150867,3307.771484375,0.0046875,65,0.0001,-0.9323550403118134,0.017949402332305908,0.2,7718.590380859375,-0.010006602294743061
2084,15,650.0,13.15,52.89688813000001,2,0,1920,0.0037652059,5548.75146484375,0.0125,70,0.0001,-0.8727583825588227,0.014306247234344482,0.2,10298.0392578125,-0.009109908528625966
2213,16,442.0,12.18,51.2184812,2,0,2048,0.00058054226,9707.5498046875,0.0,75,0.0001,-0.8340643048286438,0.00940018892288208,0.2,19494.0216796875,-0.002922970801591873
2349,17,650.0,12.21,47.50438781999999,2,0,2176,0.0005241111,5149.62939453125,0.0015625,80,0.0001,-0.7732118308544159,-0.0029927492141723633,0.2,10770.39970703125,-0.002911484893411398
2489,18,442.0,12.37,49.8783799,2,0,2304,0.00076141674,4391.58935546875,0.0,85,0.0001,-0.9488921403884888,0.034533798694610596,0.2,7839.847509765625,-0.004942226316779852
2638,19,490.0,12.47,43.73004224,2,0,2432,0.00097028585,7716.4814453125,0.0109375,90,0.0001,-0.8909070193767548,0.012879133224487305,0.2,16213.531640625,-0.0052684002555906774
2782,20,442.0,12.12,46.89453676000001,2,0,2560,0.0013843174,5727.23095703125,0.0,95,0.0001,-0.9503380835056305,0.026916444301605225,0.2,12986.7693359375,-0.007386600691825151
2912,21,442.0,12.05,53.043546129999996,2,0,2688,0.0012385156,7947.00732421875,0.003125,100,0.0001,-0.8180675745010376,0.01262122392654419,0.2,17217.78623046875,-0.006151935923844576
3057,22,626.0,11.93,57.23324888,2,0,2816,0.0020948523,8724.8349609375,0.00625,105,0.0001,-0.8839909851551055,0.014892995357513428,0.2,17299.2205078125,-0.009819526318460703
3214,23,442.0,12.12,65.95429071000001,2,0,2944,0.0024136533,7306.99072265625,0.003125,110,0.0001,-0.8340472877025604,0.014197826385498047,0.2,12757.286328125,-0.007366978935897351
3366,24,442.0,12.24,69.21374613,2,0,3072,0.0017823968,7340.326171875,0.0,115,0.0001,-0.9053369522094726,0.01444387435913086,0.2,14550.63759765625,-0.004203743580728769
3514,25,538.0,12.45,70.48429868,2,0,3200,0.0019825734,7699.6494140625,0.0046875,120,0.0001,-0.9202728688716888,0.053951144218444824,0.2,16556.8818359375,-0.0051532980985939504
3658,26,442.0,12.06,79.18003560999999,2,0,3328,0.0043400484,6821.15771484375,0.0125,125,0.0001,-0.838330352306366,-0.013565778732299805,0.2,13585.00166015625,-0.005292806774377823
3796,27,650.0,11.73,70.16767051,2,0,3456,0.0013690847,9802.384765625,0.0078125,130,0.0001,-0.7618894815444947,0.007150471210479736,0.2,17264.9634765625,-0.004430067725479603
3938,28,442.0,11.58,70.02412,2,0,3584,0.023537092,3520.99951171875,0.0234375,135,0.0001,-0.8340456068515778,0.015637636184692383,0.2,6765.463232421875,-0.01423925831913948
4085,29,490.0,11.57,66.68939243,2,0,3712,0.0094976965,7366.955078125,0.0171875,140,0.0001,-0.7615407705307007,0.014006555080413818,0.2,15391.130859375,-0.01281612105667591
4231,30,650.0,11.05,57.886592719999996,2,0,3840,0.0009797295,7498.55224609375,0.0015625,145,0.0001,-0.7233999729156494,0.015868723392486572,0.2,15418.28271484375,-0.004318348970264197
4381,31,538.0,11.07,70.50639358,2,0,3968,0.004314894,7624.46337890625,0.0140625,150,0.0001,-0.6853529512882233,0.0009136199951171875,0.2,14617.948828125,-0.012153965048491954
4530,32,490.0,10.96,61.83687309999999,2,0,4096,0.0016680742,8138.05126953125,0.009375,155,0.0001,-0.7313656330108642,0.012721478939056396,0.2,16285.461328125,-0.002781352587044239
4672,33,442.0,10.75,61.313408009999996,2,0,4224,0.00086768344,6844.30224609375,0.003125,160,0.0001,-0.7931337237358094,0.03430819511413574,0.2,11551.37333984375,-0.00465341592207551
