time/iterations,rollout/ep_len_mean,custom/current_screen,rollout/ep_rew_mean,custom/max_height,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/explained_variance
1,9.75,21,232.12264158000002,7322.0,1024,0,1028,,,,,,,,,,
2,9.16,21,179.33225308000002,7394.0,2048,0,2104,17216.42578125,0.0001,5,-0.005055887267815989,36659.631239853894,-0.34224967948802104,0.01137196,0.016639610389610388,0.2,-0.0005843639373779297
3,9.23,21,239.99400545,7354.0,3072,0,3153,16895.814453125,0.0001,10,-0.0050076005165465174,34353.52666015625,-0.3595165777951479,0.0019546787,0.0162109375,0.2,0.0009611845016479492
4,9.32,21,219.97923913,7354.0,4096,0,4218,16535.115234375,0.0001,15,-0.0023770980071276425,35205.57099609375,-0.3190487688407302,0.0009708639,0.0056640625,0.2,0.0009924769401550293
5,9.5,21,216.80794644000002,7394.0,5120,0,5267,18843.9296875,0.0001,20,-0.003818575874902308,34930.06889648437,-0.33734463304281237,0.0018923653,0.0173828125,0.2,0.0003072023391723633
6,9.35,21,217.34115362,7354.0,6144,0,6336,17175.9375,0.0001,25,-0.004640135541558265,33414.872827148436,-0.36807505525648593,0.0026906,0.01953125,0.2,0.0012304186820983887
7,8.97,21,226.32557213999996,7266.0,7168,0,7414,16555.689453125,0.0001,30,-0.003531385527458042,33365.9275390625,-0.3460030950605869,0.0013534022,0.021484375,0.2,0.00034052133560180664
8,9.01,21,195.73212918,7482.0,8192,0,8495,16902.908203125,0.0001,35,-0.001829952176194638,33593.629077148435,-0.3282439820468426,0.0027124868,0.0134765625,0.2,-0.00014197826385498047
9,9.51,21,210.53486677,7482.0,9216,0,9572,15856.7666015625,0.0001,40,-0.0026266906526871024,32105.02431640625,-0.3489508666098118,0.0016821483,0.0107421875,0.2,0.00018447637557983398
10,9.25,21,217.50138793000005,7266.0,10240,0,10641,15906.390625,0.0001,45,-0.0034096590476110577,31330.135961914064,-0.36428602822124956,0.0020700856,0.007421875,0.2,0.0001170039176940918
11,8.95,21,259.07732020000003,7330.0,11264,0,11722,15861.931640625,0.0001,50,-0.005854864395223558,31694.26533203125,-0.3515400916337967,0.00785337,0.055078125,0.2,4.756450653076172e-05
12,9.29,21,241.56513346,7266.0,12288,0,12799,15691.0712890625,0.0001,55,-0.0008402273990213871,31295.9283203125,-0.34974622502923014,0.0006248338,0.0021484375,0.2,6.973743438720703e-05
13,9.07,21,236.34274003,7330.0,13312,0,13872,14796.9365234375,0.0001,60,-0.004679627018049359,30365.35029296875,-0.3760548435151577,0.0014878666,0.0083984375,0.2,0.00028330087661743164
14,9.08,21,214.94117405000006,7266.0,14336,0,14958,14884.494140625,0.0001,65,-0.0061413689400069416,30015.985913085937,-0.35699188597500325,0.0039943117,0.021875,0.2,6.026029586791992e-05
15,8.99,21,201.84609435999994,7354.0,15360,0,16051,14174.4931640625,0.0001,70,-0.0037715580954682084,29562.19833984375,-0.35736933909356594,0.0016937389,0.010546875,0.2,0.0001310110092163086
16,8.98,21,212.39647361,7266.0,16384,0,17138,15646.326171875,0.0001,75,-0.005770593893248588,30297.3978515625,-0.34973670803010465,0.0014393505,0.0123046875,0.2,1.8596649169921875e-05
17,8.61,21,195.49643591,7266.0,17408,0,18252,14460.3740234375,0.0001,80,-0.008751743321772665,29320.6484375,-0.3443774748593569,0.0048312903,0.0439453125,0.2,8.755922317504883e-05
