custom/current_screen,custom/max_height,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/fps,train/learning_rate,train/clip_fraction,train/n_updates,train/loss,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/approx_kl,train/entropy_loss
22,7778.0,1024,2.5,2149,-107.06710190000001,1,0,,,,,,,,,,
22,7626.0,2048,3.13,4146,-82.30889882999998,2,0,0.0001,0.0740234375,5,17822.166015625,0.2,-0.012447746784891934,0.00022107362747192383,34905.16735839844,0.011807403,-0.8647160403430462
22,7778.0,3072,2.8,6200,-105.30922445999998,3,0,0.0001,0.0833984375,10,17988.267578125,0.2,-0.013030931912362575,0.0035967230796813965,35005.802001953125,0.01089705,-0.8605500012636185
22,7626.0,4096,2.94,8189,-82.66080067000001,4,0,0.0001,0.076953125,15,15721.1611328125,0.2,-0.010332532273605467,0.008558392524719238,35455.62880859375,0.010782087,-0.7756644941866397
22,7746.0,5120,2.91,10124,-91.86959551000001,5,0,0.0001,0.0939453125,20,18466.09375,0.2,-0.011347984732128679,0.016160547733306885,35208.7951171875,0.011952988,-0.7745343416929245
22,7626.0,6144,3.01,12153,-81.21278808999999,6,0,0.0001,0.0291015625,25,17951.890625,0.2,-0.0037907618563622235,0.025062739849090576,36057.29521484375,0.005609221,-0.775766146928072
22,7626.0,7168,3.08,14110,-63.231423299999996,7,0,0.0001,0.022265625,30,16218.3681640625,0.2,-0.003925363102462142,0.035943448543548584,33739.25490722656,0.0018965064,-0.7840658873319626
22,7722.0,8192,2.95,16062,-85.73457730999999,8,0,0.0001,0.038671875,35,17198.064453125,0.2,-0.005297559953760356,0.04072672128677368,36027.2759765625,0.002450185,-0.753038865327835
22,7626.0,9216,3.06,17945,-76.98507813,9,0,0.0001,0.026171875,40,15805.39453125,0.2,-0.0045001251390203835,0.05499088764190674,34168.17814941406,0.0044042165,-0.7408799715340137
22,7778.0,10240,3.1,19899,-108.37819819,10,0,0.0001,0.053515625,45,17143.064453125,0.2,-0.005159633199218661,0.06612962484359741,34918.75788574219,0.0072752377,-0.7184028096497059
22,7722.0,11264,3.22,21758,-45.950775140000005,11,0,0.0001,0.050390625,50,16148.8515625,0.2,-0.006955746561288834,0.07202613353729248,33412.03425292969,0.0051732725,-0.7259585238993168
22,7722.0,12288,3.32,23609,-66.30716889,12,0,0.0001,0.012109375,55,17612.646484375,0.2,-0.0015474135521799325,0.0857844352722168,35912.6115234375,0.002641893,-0.6976766511797905
22,7722.0,13312,3.31,25508,-62.07687523,13,0,0.0001,0.0166015625,60,16319.1376953125,0.2,-0.0020011330023407938,0.08358359336853027,33347.99108886719,0.0076732496,-0.7153011843562126
22,7778.0,14336,3.26,27396,-72.55075364,14,0,0.0001,0.04453125,65,15334.259765625,0.2,-0.00473765468923375,0.09111332893371582,32861.820068359375,0.0056676073,-0.7012157827615738
22,7746.0,15360,3.39,29276,-53.549729670000005,15,0,0.0001,0.0255859375,70,17014.42578125,0.2,-0.003223835106473416,0.09543395042419434,32407.95341796875,0.008089721,-0.6862598247826099
22,7722.0,16384,3.22,31213,-62.97834579000001,16,0,0.0001,0.0046875,75,17742.734375,0.2,-0.004971185594331473,0.11194592714309692,34131.52839355469,0.006250901,-0.6482065260410309
22,7746.0,17408,2.97,33189,-106.97725268999999,17,0,0.0001,0.0048828125,80,16993.734375,0.2,-0.0006922956556081772,0.11025291681289673,33261.391015625,0.0009091826,-0.674450334906578
22,7746.0,18432,3.44,35060,-46.80255143,18,0,0.0001,0.0201171875,85,14452.056640625,0.2,-0.002402317279484123,0.10908794403076172,31805.924536132814,0.0037379432,-0.6655389733612538
22,7746.0,19456,3.14,37001,-66.43124282,19,0,0.0001,0.0857421875,90,15223.8984375,0.2,-0.009429799322970212,0.11614936590194702,32844.22126464844,0.008560935,-0.6458994038403034
22,7626.0,20480,2.98,38979,-97.14439616000001,20,0,0.0001,0.015625,95,15936.638671875,0.2,-0.0013019632431678474,0.13160687685012817,31501.705786132814,0.0017613322,-0.6244632810354233
22,7626.0,21504,3.06,40897,-66.84099169000001,21,0,0.0001,0.0107421875,100,15583.95703125,0.2,-0.0007154526188969612,0.13496911525726318,30682.760522460936,0.0069472836,-0.6420378223061561
22,7746.0,22528,3.25,42853,-57.49146278000001,22,0,0.0001,0.0330078125,105,15554.5244140625,0.2,-0.001580772642046213,0.14792519807815552,31789.221923828125,0.008288919,-0.638200405985117
22,7746.0,23552,3.27,44719,-52.95603708000001,23,0,0.0001,0.120703125,110,15054.96484375,0.2,-0.00969510111026466,0.14207762479782104,31306.76669921875,0.011774594,-0.6519733235239983
22,7626.0,24576,3.01,46572,-97.73253964,24,0,0.0001,0.015234375,115,11746.119140625,0.2,-0.0015156007837504148,0.1516638994216919,31944.070556640625,0.0011873684,-0.6599517360329628
22,7778.0,25600,3.41,48402,-61.27981005000001,25,0,0.0001,0.0326171875,120,15077.302734375,0.2,-0.0029285016818903385,0.15346139669418335,32204.97282714844,0.006925124,-0.66677500680089
22,7722.0,26624,3.36,50293,-40.398554190000006,26,0,0.0001,0.1234375,125,13171.685546875,0.2,-0.011404081305954605,0.15985101461410522,30749.12287597656,0.009738664,-0.6772181659936904
22,7882.0,27648,3.41,52106,-56.28687073000001,27,0,0.0001,0.0515625,130,14539.5234375,0.2,-0.00566047066822648,0.17051154375076294,32247.43935546875,0.0063961707,-0.6576952986419201
