time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,custom/max_height,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/learning_rate
1024,24,37.1495341,0,1047,1,6.83,8362.0,,,,,,,,,,
2048,24,49.25109829,0,2068,2,6.93,8442.0,30480.08681640625,-0.02010348434560001,-0.5561589200049639,0.2,13,14954.603515625,0.087109375,0.008049739,0.026670455932617188,0.0001
3072,24,75.68211843,1,3066,3,8.23,8442.0,30470.56735839844,-0.023306299676187338,-0.5275037799030542,0.2,18,14948.15234375,0.07109375,0.0066594705,0.020432472229003906,0.0001
4096,24,160.16510663,1,4007,4,9.38,8578.0,29515.316650390625,-0.011072568816598505,-0.49826909564435484,0.2,23,15467.2119140625,0.0361328125,0.0041544195,0.0032065510749816895,0.0001
5120,24,169.46639212,1,4942,5,9.49,8362.0,29288.804760742187,-0.008062286651693285,-0.4737600401043892,0.2,28,15902.5673828125,0.033984375,0.004541614,0.000756382942199707,0.0001
6144,24,139.61530445,1,5915,6,9.12,8362.0,28510.037475585938,-0.009756779670715332,-0.4602572746574879,0.2,33,13667.1611328125,0.02734375,0.0034790155,-0.0006525516510009766,0.0001
7168,24,172.3949522,1,6853,7,9.78,8362.0,28929.81669921875,-0.015455714426934719,-0.4598423231393099,0.2,38,12905.99609375,0.06796875,0.008048936,-0.00048673152923583984,0.0001
8192,24,151.2098218,1,7794,8,9.38,8578.0,26865.70197753906,-0.014015834976453334,-0.43567978888750075,0.2,43,13201.7509765625,0.0654296875,0.006246589,-0.0005413293838500977,0.0001
9216,24,193.11769398000004,1,8723,9,9.87,8442.0,27549.77277832031,-0.010608269483782351,-0.4278256963938475,0.2,48,15103.8466796875,0.0859375,0.0072918944,-0.00036585330963134766,0.0001
10240,24,221.51914099999993,1,9627,10,10.65,8442.0,26636.59616699219,-0.009201872604899108,-0.4344590812921524,0.2,53,12973.443359375,0.04609375,0.0059605353,7.450580596923828e-06,0.0001
11264,24,184.41632518999995,1,10553,11,10.01,8442.0,25796.829370117186,-0.008136152767110615,-0.42236388437449934,0.2,58,12946.994140625,0.0408203125,0.006261515,-1.3709068298339844e-05,0.0001
12288,24,219.65570811,1,11466,12,10.46,8442.0,25819.81904296875,-0.008798929548356682,-0.4074863288551569,0.2,63,12171.126953125,0.033203125,0.0054756496,2.6285648345947266e-05,0.0001
13312,24,221.23660179,1,12397,13,10.12,8442.0,25072.269653320312,-0.00358069704961963,-0.39929481148719786,0.2,68,12726.4453125,0.025390625,0.0023059372,-2.4557113647460938e-05,0.0001
14336,24,211.69998861,1,13307,14,10.51,8578.0,25548.569897460937,-0.0046455406001769005,-0.4030859209597111,0.2,73,13581.48828125,0.0603515625,0.0077204555,-8.225440979003906e-06,0.0001
15360,24,187.29032303,1,14227,15,10.31,8442.0,24425.402270507813,-0.005826719233300537,-0.41255552098155024,0.2,78,11711.1875,0.026171875,0.0035873707,-2.9206275939941406e-05,0.0001
16384,24,219.78109180000007,1,15120,16,10.63,8610.0,24644.391845703125,-0.004495767364278436,-0.4242878843098879,0.2,83,11998.0390625,0.054296875,0.0047923704,-1.8715858459472656e-05,0.0001
17408,24,212.39544413,1,16030,17,10.52,8442.0,22434.292431640624,-0.006726897379849106,-0.42192929424345493,0.2,88,10818.2666015625,0.0392578125,0.0060824933,-4.1961669921875e-05,0.0001
18432,24,191.91300006999995,1,16951,18,9.86,8442.0,23242.015356445314,-0.002910626778611913,-0.4223408058285713,0.2,93,12355.943359375,0.0201171875,0.003808741,-1.537799835205078e-05,0.0001
19456,24,214.84285516000003,1,17851,19,10.67,8442.0,22544.707861328126,-0.0054611544765066355,-0.4242240820080042,0.2,98,11387.4130859375,0.032421875,0.0041185208,-9.417533874511719e-06,0.0001
20480,24,228.12971621999998,1,18746,20,10.73,8610.0,22338.39169921875,-0.005487447889754549,-0.42152614146471024,0.2,103,10011.708984375,0.01953125,0.0024269582,-1.71661376953125e-05,0.0001
21504,24,223.10115774999997,1,19648,21,10.63,8578.0,21308.73701171875,-0.000423945696093142,-0.42748103365302087,0.2,108,10021.544921875,0.02421875,0.0035639475,-2.777576446533203e-05,0.0001
22528,24,230.44655353000002,1,20552,22,10.61,8434.0,21401.102001953124,-0.002773241198156029,-0.4308373034000397,0.2,113,9553.1357421875,0.016015625,0.002168877,-2.205371856689453e-05,0.0001
23552,24,232.01957014999996,1,21431,23,10.98,8442.0,20708.312426757813,-0.007741951267234981,-0.4236026119440794,0.2,118,9497.556640625,0.1072265625,0.008626172,-8.58306884765625e-06,0.0001
24576,24,238.10478706,1,22319,24,11.11,8610.0,20017.30877130682,-0.005280830740154564,-0.43238236532582863,0.2,123,9656.57421875,0.022321428571428572,0.008004487,-2.0742416381835938e-05,0.0001
25600,24,208.50295932,1,23207,25,10.88,8442.0,19170.005908203126,-0.003811663604574278,-0.4191528122872114,0.2,128,9345.8125,0.0298828125,0.0055955164,-1.4543533325195312e-05,0.0001
26624,24,214.18058415,1,24101,26,10.58,8442.0,20326.58005371094,-0.006731240358203649,-0.4453593671321869,0.2,133,10585.1103515625,0.0525390625,0.010087861,-1.1205673217773438e-05,0.0001
27648,24,221.85822773000004,1,25000,27,10.56,8442.0,19501.873974609374,-0.0066155431908555325,-0.4244949743151665,0.2,138,9991.8828125,0.0298828125,0.0058321254,-9.298324584960938e-06,0.0001
28672,24,221.86197258,1,25904,28,10.65,8434.0,19158.120874023436,-0.0050845203397329895,-0.40887434855103494,0.2,143,10073.841796875,0.011328125,0.0018772964,-1.609325408935547e-05,0.0001
29696,24,210.58679178999998,1,26814,29,10.37,8442.0,19279.790100097656,-0.004803686356171966,-0.402311185002327,0.2,148,10251.2138671875,0.0236328125,0.004206589,-1.0967254638671875e-05,0.0001
30720,24,227.12435121000001,1,27717,30,10.54,8434.0,19125.0934375,-0.0041005747765302655,-0.41013380885124207,0.2,150,9966.6650390625,0.03,0.0149654485,-1.1324882507324219e-05,0.0001
31744,24,193.9265729,1,28623,31,10.48,8442.0,18636.949182128905,0.0010629069292917848,-0.4015059761703014,0.2,155,8672.3095703125,0.0482421875,0.0060827117,-1.633167266845703e-05,0.0001
32768,24,254.96747241,1,29507,32,10.97,8442.0,19990.410913085936,-0.005774015962379054,-0.4038623996078968,0.2,160,9370.0068359375,0.024609375,0.004573395,-7.152557373046875e-06,0.0001
33792,24,206.29914279999997,1,30420,33,10.15,8442.0,16453.951470269098,-0.001523257252605011,-0.39971570008330876,0.2,163,7531.072265625,0.014322916666666666,0.012623568,-2.086162567138672e-05,0.0001
34816,24,208.09602295000002,1,31305,34,10.46,8442.0,18397.600154728083,-0.01107441395666305,-0.4060633871462438,0.2,168,11135.3671875,0.14752435064935066,0.013802795,-3.5762786865234375e-06,0.0001
35840,24,202.94658497000003,1,32213,35,10.22,8442.0,16885.429296875,-0.011799785506445915,-0.4059385798871517,0.2,173,7784.35302734375,0.0390625,0.005650901,-3.5762786865234375e-06,0.0001
