time/time_elapsed,custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/learning_rate,train/entropy_loss,train/clip_range
1416,8714.0,-408.8550000000001,25,1,2048,1,16.74,,,,,,,,,,
2779,8714.0,-398.23196296000003,25,2,4096,1,18.55,0.0138671875,-0.006179402476118412,0.0040709134,70869.15729980469,0.004281163215637207,38162.0625,5,0.0001,-0.7272451341152191,0.2
4185,8714.0,-407.432,25,3,6144,1,16.78,0.007421875,-0.004868857635301538,0.0018649998,66294.713671875,-0.001057267189025879,29516.853515625,10,0.0001,-0.7312881868332625,0.2
5596,8714.0,-407.612,25,4,8192,1,16.75,0.0234375,-0.0075826490501640365,0.0046483306,65404.29506835937,-0.0013780593872070312,35781.109375,15,0.0001,-0.7146034270524979,0.2
6916,8714.0,-407.96700000000004,25,5,10240,1,19.16,0.0251953125,-0.009092859394149855,0.0064352546,63808.157885742185,-0.0005224943161010742,33399.46875,20,0.0001,-0.7202769212424756,0.2
8198,8730.0,-407.27600000000007,25,6,12288,1,19.89,0.03505859375,-0.009721436546533369,0.0060755434,59600.09389648437,-0.00032317638397216797,29361.15625,25,0.0001,-0.7266819249838591,0.2
9381,8714.0,-395.9837234000001,25,7,14336,1,21.76,0.05068359375,-0.012330122169805691,0.012174774,56698.52380371094,-0.0002281665802001953,28217.8984375,30,0.0001,-0.7280394334346056,0.2
10528,8714.0,-406.2380000000001,25,8,16384,1,23.1,0.0369140625,-0.009410114370984957,0.0075430297,52988.74248046875,0.0020423531532287598,25438.58984375,35,0.0001,-0.7265113472938538,0.2
11590,8714.0,-391.23376923,25,9,18432,1,25.55,0.051953125,-0.009221699519548565,0.01024829,49457.70593261719,-0.0001722574234008789,29706.21484375,40,0.0001,-0.7172924630343914,0.2
12672,8714.0,-374.0792618600001,25,10,20480,1,26.45,0.07236328125,-0.011980458507605363,0.008101931,43909.351391601565,0.004283428192138672,18772.326171875,45,0.0001,-0.7270128112286329,0.2
13707,8714.0,-337.16611652000006,25,11,22528,1,27.95,0.02958984375,-0.007869856321485713,0.004482684,46517.50961914063,0.006754875183105469,25431.06640625,50,0.0001,-0.7469902601093054,0.2
14668,8714.0,-348.8485174500001,25,12,24576,1,32.38,0.03427734375,-0.009003593790112063,0.0039869025,42972.94572753906,0.014992117881774902,21239.259765625,55,0.0001,-0.7433858521282672,0.2
15612,8714.0,-344.15210887,25,13,26624,1,37.47,0.035546875,-0.00970834402833134,0.0044551888,31337.693774414063,0.012687742710113525,11301.1826171875,60,0.0001,-0.7353024750947952,0.2
16477,8730.0,-321.66988371,25,14,28672,1,45.39,0.0306640625,-0.008801761010545306,0.0056942333,32566.1765625,0.05170685052871704,15283.9306640625,65,0.0001,-0.7379088908433914,0.2
17359,8714.0,-320.3515906,25,15,30720,1,53.2,0.0751953125,-0.010799829446477815,0.007824578,20928.264208984376,0.056224048137664795,9699.931640625,70,0.0001,-0.7346063323318959,0.2
18211,8714.0,-270.38167333000007,25,16,32768,1,57.66,0.0298828125,-0.006527252154774033,0.0049295193,24164.790545654298,0.05655783414840698,13877.2978515625,75,0.0001,-0.730493713915348,0.2
