time/iterations,custom/current_screen,time/fps,custom/max_height,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/loss,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates
1,25,1,8714.0,1253,-265.22382100000004,2048,29.582089552238806,,,,,,,,,,
2,25,1,8714.0,2464,-176.57931648000002,4096,31.7,0.10099208354949951,0.0001,0.2,-0.005041010354761966,-1.253773318976164,17569.400390625,0.004145846,41666.81872558594,0.01591796875,165
3,25,1,8714.0,3841,-217.79453407000005,6144,27.12,0.13734519481658936,0.0001,0.2,-0.004162236391857732,-1.2598399460315703,24724.12109375,0.0047036703,49407.85081787109,0.017578125,170
4,25,1,8714.0,5222,-272.98191040000006,8192,23.05,0.15672045946121216,0.0001,0.2,-0.0016284588520647958,-1.2544325143098831,42823.078125,0.000733093,52334.83161621094,0.00322265625,175
5,25,1,8714.0,6660,-239.60522522000002,10240,20.34,0.13194119930267334,0.0001,0.2,-0.002419391123112291,-1.2738720811903477,31631.201171875,0.0023288713,50025.93082275391,0.01201171875,180
6,25,1,8714.0,8019,-208.76802926000005,12288,24.68,0.14307647943496704,0.0001,0.2,-0.002878621080890298,-1.280927660316229,34586.97265625,0.0048716282,58785.28515625,0.01611328125,185
7,25,1,8714.0,9450,-320.15585694000004,14336,22.21,0.11188822984695435,0.0001,0.2,-0.003015482271439396,-1.2949596397578715,29502.111328125,0.0070637176,54475.06138916015,0.04609375,190
8,25,1,8714.0,10682,-185.31400176000002,16384,30.37,0.130557119846344,0.0001,0.2,-0.002731455405591987,-1.3083080381155014,19302.88671875,0.002107617,41287.00200195312,0.0080078125,195
9,25,1,8714.0,12085,-229.69031624000002,18432,26.68,0.14485132694244385,0.0001,0.2,-0.0021507959550945087,-1.2903390154242516,35238.15625,0.0012492473,58564.275610351564,0.008203125,200
10,25,1,8714.0,13511,-262.8750092100001,20480,22.27,0.1810862421989441,0.0001,0.2,-0.0018053515501378569,-1.2968092687427997,23848.0,0.001008416,48800.998547363284,0.005078125,205
11,25,1,8714.0,14927,-250.00044373,22528,23.21,0.11804252862930298,0.0001,0.2,-0.0023036594619043173,-1.320473051071167,32651.73828125,0.0037787252,52752.140588378905,0.027734375,210
12,25,1,8930.0,16351,-253.63323553,24576,23.03,0.16599047183990479,0.0001,0.2,-0.003563369152834639,-1.299983687698841,32752.447265625,0.001230881,50447.48077392578,0.003515625,215
13,25,1,8714.0,17847,-261.80897465000004,26624,20.48,0.14902770519256592,0.0001,0.2,-0.00203064457164146,-1.3190094031393529,28643.9453125,0.0015959002,54345.066088867185,0.0091796875,220
14,25,1,8714.0,19318,-236.41074586000002,28672,20.32,0.16159498691558838,0.0001,0.2,-0.001352260194835253,-1.3319914668798447,24481.98046875,0.003448272,52814.82377929687,0.01298828125,225
15,25,1,8730.0,20754,-284.86724304,30720,20.24,0.06175166368484497,0.0001,0.2,-0.0019675436182296836,-1.345506137609482,36457.9296875,0.0017071791,59848.83649902344,0.00732421875,230
16,25,1,8834.0,22210,-225.94157962999998,32768,21.21,0.178949773311615,0.0001,0.2,-0.0017935743555426598,-1.338727355003357,24432.98828125,0.0033127395,45352.97254638672,0.01025390625,235
17,25,1,8714.0,23696,-262.18566705000006,34816,20.91,0.11492902040481567,0.0001,0.2,-0.001459686434827745,-1.3287738256156445,25196.443359375,0.0002261088,60266.85657958985,0.000390625,240
18,25,1,8730.0,25196,-272.83363651,36864,19.37,0.10390269756317139,0.0001,0.2,-0.0014944879832910374,-1.3540657252073287,25862.900390625,0.002339814,53757.80155029297,0.00859375,245
19,25,1,8714.0,26727,-239.42859654,38912,18.15,0.1195683479309082,0.0001,0.2,-0.0010343028377974405,-1.3518736027181149,31244.287109375,0.00036163063,51507.73728027344,0.00048828125,250
20,25,1,8714.0,28343,-271.5986818100001,40960,15.19,0.09895753860473633,0.0001,0.2,-0.0008112969982903451,-1.3432893827557564,28520.705078125,0.00019823361,58392.1953125,0.0,255
21,25,1,8714.0,29873,-239.83124655000006,43008,17.39,0.14656484127044678,0.0001,0.2,-0.0029995153352501804,-1.3493125215172768,27147.501953125,0.0014612551,60855.735131835936,0.0041015625,260
22,25,1,8714.0,31375,-198.71085288000003,45056,19.4,0.09617984294891357,0.0001,0.2,-0.0002532858881750144,-1.360603042691946,39753.6953125,0.006300605,65132.03801269531,0.0322265625,265
23,25,1,8714.0,32869,-251.23482473,47104,18.5,0.20169603824615479,0.0001,0.2,-0.0027132059185532853,-1.375768918544054,38004.6640625,0.004809779,62373.755078125,0.03154296875,270
24,25,1,8730.0,34426,-272.21775861000003,49152,19.67,0.1715671420097351,0.0001,0.2,-0.0016157078425749205,-1.3728863045573234,40233.7734375,0.00037374793,60575.46728515625,0.0015625,275
25,25,1,8834.0,35980,-272.38950708,51200,16.88,0.073433518409729,0.0001,0.2,-0.002557974969386123,-1.3806183807551862,27215.6640625,0.00071378844,53150.20603027344,0.0013671875,280
26,25,1,8834.0,37478,-240.7213817,53248,19.57,0.1282138228416443,0.0001,0.2,-0.001712106665945612,-1.3719608671963215,23525.455078125,0.0005563391,51939.93819580078,0.0025390625,285
