custom/max_height,time/iterations,custom/current_screen,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/loss,train/value_loss,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance
8714.0,1,25,2,-390.9764705882353,1024,382,59.529411764705884,,,,,,,,,,
8714.0,2,25,2,-387.05833333333334,2048,798,56.30555555555556,-0.7920066066086292,0.0013883691,0.0001,0.0041015625,4203.50537109375,14294.81162109375,0.2,-0.0023524179123342037,65,-8.034706115722656e-05
8714.0,3,25,2,-390.00185185185177,3072,1197,56.851851851851855,-0.842758584022522,0.0039462084,0.0001,0.0412109375,9041.775390625,17032.363513183594,0.2,-0.0029342375812120734,70,-5.9604644775390625e-05
8714.0,4,25,2,-393.5767123287671,4096,1621,55.945205479452056,-0.8445993892848491,0.001512303,0.0001,0.005859375,8177.0986328125,15415.1083984375,0.2,-0.0030523618217557667,75,-0.00031566619873046875
8714.0,5,25,2,-394.55408163265304,5120,2055,52.16326530612245,-0.8855473957955837,0.0007411565,0.0001,0.00078125,8494.181640625,16581.098931884764,0.2,-0.00045244614011608064,80,-6.723403930664062e-05
8714.0,6,25,2,-391.966,6144,2467,50.58,-0.9070399679243565,0.0038443385,0.0001,0.00703125,11115.16796875,20590.92156982422,0.2,-0.0009697457193396985,85,-0.0003204345703125
8730.0,7,25,2,-392.288,7168,2881,48.83,-0.9649630129337311,0.0061655287,0.0001,0.0751953125,10494.478515625,15090.248107910156,0.2,-0.0049641361169051375,90,-3.981590270996094e-05
8714.0,8,25,2,-389.73699999999997,8192,3279,50.42,-0.9904268175363541,0.005179557,0.0001,0.02890625,5883.41357421875,13143.172943115234,0.2,-0.005014582950389012,95,-4.315376281738281e-05
8730.0,9,25,2,-381.783,9216,3667,51.47,-0.9811015814542771,0.005938462,0.0001,0.0216796875,5340.04833984375,10277.37322692871,0.2,-0.004663780599366873,100,-1.5497207641601562e-05
8714.0,10,25,2,-383.38895999999994,10240,4098,55.13,-1.013729988783598,0.0049995864,0.0001,0.0447265625,3361.79296875,7745.087054443359,0.2,-0.0026533296215347944,105,-8.106231689453125e-06
