time/time_elapsed,custom/max_height,time/fps,time/iterations,rollout/ep_len_mean,time/total_timesteps,custom/current_screen,rollout/ep_rew_mean,train/entropy_loss,train/explained_variance,train/clip_range,train/value_loss,train/clip_fraction,train/learning_rate,train/approx_kl,train/policy_gradient_loss,train/loss,train/n_updates
893,8730.0,2,1,60.42424242424242,2048,25,-313.72682369696975,,,,,,,,,,
1944,8714.0,2,2,49.28915662650602,4096,25,-260.2797389638554,-0.5364361218292347,-0.00016927719116210938,0.2,26561.849901630932,0.08006386861313869,0.0001,0.029942406,0.0043917108653453146,13174.310546875,5
2957,8714.0,2,3,46.31,6144,25,-206.95202105999996,-0.6867666956037283,0.00903618335723877,0.2,44492.06527099609,0.09931640625,0.0001,0.016222015,0.00013076580362394452,21179.1484375,10
4017,8730.0,2,4,46.88,8192,25,-135.55312149,-0.7906354546546936,0.023307383060455322,0.2,33126.94815673828,0.14228515625,0.0001,0.016004948,0.005715375617728569,18831.69921875,15
5167,8730.0,1,5,40.23,10240,25,-68.89934248000002,-0.903863285564714,0.045156240463256836,0.2,33641.29600016276,0.1919487847222222,0.0001,0.03263767,-0.002665164872370143,14529.3828125,20
6374,8714.0,1,6,35.65,12288,25,-54.72786741000001,-0.9756760902702808,0.052511513233184814,0.2,34734.85562744141,0.1064453125,0.0001,0.011955758,0.0006992176407948136,21573.0234375,25
7595,8714.0,1,7,34.87,14336,25,-98.68095599,-1.0051964022219182,0.05783343315124512,0.2,39406.65894775391,0.08916015625,0.0001,0.007301177,-0.00581762716465164,20411.669921875,30
8796,8714.0,1,8,35.55,16384,25,-125.92283905000001,-1.0288055617362262,0.06618112325668335,0.2,34791.88028564453,0.063671875,0.0001,0.008146666,-0.003461996300029568,14237.724609375,35
10077,8714.0,1,9,33.38,18432,25,-54.01115046000001,-1.0951333120465279,0.06189018487930298,0.2,22675.43800048828,0.145703125,0.0001,0.017242398,0.0004790742321347352,13163.326171875,40
11338,8714.0,1,10,32.05,20480,25,-70.28618537,-1.1375092446804047,0.1064995527267456,0.2,33527.69370117188,0.08603515625,0.0001,0.008630118,-0.000976152224757243,24558.384765625,45
12668,8714.0,1,11,32.58,22528,25,-73.40661847999999,-1.1195248007774352,0.09747517108917236,0.2,23242.57892456055,0.08974609375,0.0001,0.010762673,-0.007143635604006704,11338.25,50
13939,8730.0,1,12,30.77,24576,25,-35.94473902000001,-1.180447956174612,0.0787820816040039,0.2,46244.28366699219,0.02412109375,0.0001,0.005659397,-0.0012094853474991397,23313.05859375,55
15277,8714.0,1,13,30.28,26624,25,-78.39559138,-1.1883740670979024,0.09966135025024414,0.2,33897.64548339844,0.07021484375,0.0001,0.008693315,-0.002854118394316174,22005.521484375,60
16624,8714.0,1,14,29.53,28672,25,-33.13595927,-1.178333555907011,0.08462005853652954,0.2,46294.88990478516,0.06416015625,0.0001,0.009029461,-0.0016775124095147476,27188.203125,65
17982,8714.0,1,15,28.68,30720,25,-48.054195690000014,-1.2315418303012848,0.11665397882461548,0.2,44804.11921386719,0.07822265625,0.0001,0.006318994,0.000833040420548059,16165.880859375,70
19393,8714.0,1,16,27.97,32768,25,-94.72410397999998,-1.230432803183794,0.11054497957229614,0.2,42157.656494140625,0.04404296875,0.0001,0.0047271024,-0.0033262313227169216,19861.583984375,75
20745,8714.0,1,17,26.09,34816,25,-70.80127029,-1.239381404966116,0.101570725440979,0.2,50995.54392089844,0.00302734375,0.0001,0.0015713425,-0.0009043489815667271,21938.6953125,80
22135,8714.0,1,18,27.15,36864,25,-49.39585407000001,-1.2463120222091675,0.10846030712127686,0.2,46534.178540039065,0.0408203125,0.0001,0.005698478,-0.0005994601146085188,30727.705078125,85
