time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,custom/max_height,time/iterations,custom/current_screen,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,train/value_loss,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss
2048,-26.283005938775506,2,864,41.183673469387756,9074.0,1,26,,,,,,,,,,
4096,46.957899591397855,2,1698,43.473118279569896,9074.0,2,26,0.01044921875,5,0.00077535753,0.2,60199.87551269531,0.0001,-1.4066696166992188e-05,-0.09506264145020396,-0.00022830511443316936,27379.029296875
6144,78.48692916999998,2,2601,41.58,9074.0,3,26,0.00595703125,10,0.0012353038,0.2,60332.49309082031,0.0001,0.010271430015563965,-0.09080145298503339,-4.83714829897508e-05,24374.5234375
8192,42.28574272000001,2,3473,39.36,9074.0,4,26,0.01201171875,15,0.0013794838,0.2,68369.13928222656,0.0001,0.013320207595825195,-0.09053063329774887,-0.0014852085078018717,26320.46875
10240,40.082498500000014,2,4314,41.39,9074.0,5,26,0.00869140625,20,0.0005136693,0.2,58711.14619140625,0.0001,0.01689833402633667,-0.08804230568930507,-0.0011455547850346194,24512.099609375
12288,108.42715081,2,5157,43.43,9074.0,6,26,0.0060546875,25,0.00084833975,0.2,64967.10078125,0.0001,0.02028369903564453,-0.08638666162732989,-0.0013627545384224504,28211.03515625
14336,187.39187440999999,2,5988,43.79,9234.0,7,26,0.00185546875,30,0.00028480752,0.2,61615.04099121094,0.0001,0.033985912799835205,-0.08093325153458863,-0.0017897024896228685,33691.1796875
16384,162.35642223000002,2,6852,41.09,9074.0,8,26,0.00087890625,35,0.00030664203,0.2,67334.78720703124,0.0001,0.027967631816864014,-0.08305737634655089,-0.0009233908698661253,33802.30078125
18432,95.95388186999999,2,7660,43.26,9074.0,9,26,0.0037109375,40,0.0005042119,0.2,68233.50300292969,0.0001,0.01369553804397583,-0.08364491076208651,-0.0015496992418775335,23946.88671875
20480,101.04475196000001,2,8484,45.67,9074.0,10,26,0.00107421875,45,0.00044188218,0.2,61957.14099121094,0.0001,0.01714789867401123,-0.09030255526304246,0.00015689104911871256,36593.359375
22528,124.15899143000003,2,9324,40.92,9074.0,11,26,0.00771484375,50,0.00071045465,0.2,66568.51293945312,0.0001,0.02485501766204834,-0.08748619153629988,-0.0016925067728152498,31028.134765625
