time/iterations,time/fps,custom/current_screen,time/total_timesteps,custom/max_height,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/loss,train/value_loss,train/clip_fraction,train/entropy_loss,train/explained_variance,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
1,2,26,2048,9074.0,798,-343.9136508,58.4,,,,,,,,,,
2,2,26,4096,9074.0,1652,-320.89163356338037,57.40845070422535,0.0035860995,15034.453125,24786.41957397461,0.028515625,-0.19290617490187287,0.0002579689025878906,0.0001,0.2,32,0.0010234802757622674
3,2,26,6144,9074.0,2391,-357.4072955789474,64.0421052631579,0.00034085536,9552.2626953125,21564.80684814453,0.0046875,-0.15674407994374634,0.00019031763076782227,0.0001,0.2,37,-9.45189007325098e-05
4,2,26,8192,9074.0,3150,-340.75115493000004,67.56,0.0059485016,30849.283203125,36697.21984863281,0.028515625,-0.18852438912726938,0.0001983046531677246,0.0001,0.2,42,0.0014917763910489157
5,2,26,10240,9074.0,3972,-299.65594129,62.69,0.016563283,16912.158203125,29124.766530890214,0.03700657894736842,-0.19022897831899555,0.00017881393432617188,0.0001,0.2,47,0.005716689836270617
6,2,26,12288,9218.0,4950,-258.47424777,38.59,0.023313172,19144.158203125,34019.635698198195,0.043637387387387386,-0.2125613497452693,-0.0002766847610473633,0.0001,0.2,51,0.004566141043428902
7,2,26,14336,9074.0,5909,-283.13367337,37.72,0.0021272039,18117.126953125,34336.18203125,0.01591796875,-0.24756553610786797,-0.00022673606872558594,0.0001,0.2,56,0.0017040621329215354
8,2,26,16384,9218.0,6911,-310.72015136000005,38.7,0.0053404793,11589.193359375,23464.594091796876,0.0431640625,-0.2613513385877013,-0.00012087821960449219,0.0001,0.2,61,0.0008743607148062437
9,2,26,18432,9074.0,7860,-328.98670085,39.5,0.0016217302,16179.4697265625,27267.004833984374,0.01162109375,-0.24573595058172942,-8.296966552734375e-05,0.0001,0.2,66,-0.003147763351444155
10,2,26,20480,9074.0,8843,-323.79011940000004,39.5,0.003274755,11818.548828125,26047.67080078125,0.0302734375,-0.2530044156126678,-6.079673767089844e-05,0.0001,0.2,71,0.0001301457901718095
11,2,26,22528,9074.0,9793,-336.50675679000005,36.6,0.0019903493,19071.390625,33551.85697631836,0.0205078125,-0.26411700984463093,-2.384185791015625e-07,0.0001,0.2,76,-0.0015024838619865477
12,2,26,24576,9218.0,10845,-348.0416904800001,28.15,0.004185167,12194.1787109375,27257.699713134767,0.02861328125,-0.2704652610234916,-7.56978988647461e-05,0.0001,0.2,81,0.0038260809145867825
13,2,26,26624,9074.0,11860,-260.09834407000005,30.57,0.0014968339,15659.0458984375,32337.731176757814,0.00927734375,-0.2748080462217331,1.633167266845703e-05,0.0001,0.2,86,-0.001997851487249136
14,2,26,28672,9074.0,12991,-228.36062695000004,24.91,0.006829525,17652.79296875,43480.004296875,0.06123046875,-0.28787904642522333,-6.210803985595703e-05,0.0001,0.2,91,0.00153746816504281
15,2,26,30720,9218.0,14464,-306.01868524,13.77,0.015242994,25761.291015625,51722.96484375,0.11002604166666667,-0.35252276125053567,-4.553794860839844e-05,0.0001,0.2,92,0.023917466945325334
16,2,26,32768,9346.0,15895,-326.77338588,14.37,0.0007552337,30640.5234375,58886.57412109375,0.0091796875,-0.3559309594333172,-4.112720489501953e-05,0.0001,0.2,97,0.002445759745023679
17,2,26,34816,9074.0,17363,-327.88063492000003,13.19,0.00071152183,37703.703125,57431.1685546875,0.000390625,-0.3546535877510905,-3.5762786865234375e-05,0.0001,0.2,102,-0.0014345832023536786
18,1,26,36864,9074.0,18734,-349.75570102000006,14.63,0.000640155,23971.5625,50236.33552246094,0.0,-0.36237494107335805,-2.9921531677246094e-05,0.0001,0.2,107,-0.0023095290671335533
19,1,26,38912,9346.0,20018,-299.72979854000005,18.82,0.001159725,24740.318359375,45952.41683349609,0.00146484375,-0.3539313447661698,-2.562999725341797e-05,0.0001,0.2,112,-0.0036745261750184
20,1,26,40960,9074.0,21367,-289.7002272000001,17.3,0.0008530984,26305.646484375,50453.05776367187,0.0009765625,-0.35678654704242946,-3.0517578125e-05,0.0001,0.2,117,-0.0012118168000597508
21,1,26,43008,9074.0,22709,-302.54705512000004,17.71,0.0014337099,26347.115234375,51992.41704101562,0.00361328125,-0.3593504786491394,-2.6702880859375e-05,0.0001,0.2,122,0.0002037402882706374
22,1,26,45056,9074.0,24106,-316.29178304000004,13.98,0.0024490203,22560.521484375,47954.18331298828,0.0099609375,-0.3714028723537922,-1.990795135498047e-05,0.0001,0.2,127,0.0010475320770638064
23,1,26,47104,9074.0,25520,-271.3017168900001,15.14,0.0017622784,26875.5859375,57101.344458007814,0.005078125,-0.40323646515607836,-2.0265579223632812e-05,0.0001,0.2,132,0.0004757063259603456
24,1,26,49152,9346.0,27055,-315.1700883500001,13.66,0.010167477,33273.1171875,62242.85458984375,0.03203125,-0.4187164125964046,-2.181529998779297e-05,0.0001,0.2,137,0.003566213676822372
25,1,26,51200,9074.0,28739,-329.8969903700001,9.84,0.0024787954,25195.94140625,51565.3869140625,0.010546875,-0.47234395183622835,-1.3589859008789062e-05,0.0001,0.2,142,-0.0006130495137767866
26,1,26,53248,9074.0,30408,-378.14968421,10.08,0.0011948664,30539.7109375,59019.384106445315,0.006640625,-0.498775577172637,-1.1682510375976562e-05,0.0001,0.2,147,-0.0006993943767156452
27,1,26,55296,9074.0,32109,-341.61465623000004,10.65,0.0023047468,23480.98046875,50133.19526367188,0.01748046875,-0.5251327976584435,-1.1324882507324219e-05,0.0001,0.2,152,0.0007584289327496663
28,1,26,57344,9218.0,33930,-364.96150427,9.85,0.0038509264,26277.673828125,48892.74876708984,0.02392578125,-0.5593702895566821,-1.2159347534179688e-05,0.0001,0.2,157,-5.429361190181226e-05
29,1,26,59392,9074.0,35645,-348.23169048000005,11.58,0.0026147624,21522.59765625,42807.65964355469,0.01845703125,-0.5621199375018477,-1.2755393981933594e-05,0.0001,0.2,162,-0.0026959208305925133
30,1,26,61440,9074.0,37274,-354.58347979999996,11.08,0.0024111532,28259.5546875,45192.799047851564,0.0087890625,-0.5731914969161153,-1.0728836059570312e-05,0.0001,0.2,167,0.0006530220140120946
31,1,26,63488,9074.0,38928,-330.38140154,11.44,0.0016760842,16042.2666015625,38050.48303222656,0.00234375,-0.5893896870315075,-7.62939453125e-06,0.0001,0.2,172,0.0008397283585509285
32,1,26,65536,9234.0,40556,-315.4896613,12.39,0.0023912936,25948.1015625,51208.704626464845,0.00986328125,-0.6176693968474865,-1.0013580322265625e-05,0.0001,0.2,177,-0.0011675627349177376
33,1,26,67584,9074.0,42371,-345.37276057,8.46,0.0054522464,17670.228515625,44786.85374755859,0.03359375,-0.6365982629358768,-8.940696716308594e-06,0.0001,0.2,182,0.0007585486688185483
34,1,26,69632,9074.0,44240,-363.97973110000004,8.95,0.002086014,28968.337890625,44191.74835205078,0.00234375,-0.6688045848160982,-8.940696716308594e-06,0.0001,0.2,187,0.0006003502028761431
35,1,26,71680,9346.0,45948,-350.56993761000007,11.44,0.0014335164,25048.484375,38636.77645263672,0.00029296875,-0.6612063962966204,-8.940696716308594e-06,0.0001,0.2,192,-0.003489630113472231
