time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,custom/max_height,time/fps,custom/current_screen,time/total_timesteps,train/loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl
884,-274.2941063018867,38.35849056603774,1,9074.0,2,26,2048,,,,,,,,,,
1698,-277.85955772448983,41.316326530612244,2,9074.0,2,26,4096,14687.154296875,0.0130859375,-0.11444303067401052,0.2,0.0001,9.119510650634766e-06,-0.001535997079918161,5,31222.372631835937,0.002241517
2608,-279.52454767000006,44.98,3,9074.0,2,26,6144,16924.48046875,0.01552734375,-0.11498605764936656,0.2,0.0001,0.0047762393951416016,0.0008455439383396879,10,29847.586804199218,0.0016563197
3480,-291.13883396,42.26,4,9346.0,2,26,8192,21097.986328125,0.0138671875,-0.13867866105865687,0.2,0.0001,0.0007658004760742188,0.0008226259757066146,15,31354.16078491211,0.001191485
4205,-320.72465450000004,49.04,5,9074.0,2,26,10240,10552.927734375,0.0294921875,-0.1541836774442345,0.2,0.0001,-0.00020444393157958984,-0.0002489306061761454,20,29806.67479248047,0.002614087
5011,-336.64446571,57.51,6,9074.0,2,26,12288,18846.146484375,0.0322265625,-0.1470607677474618,0.2,0.0001,-0.0008240938186645508,-0.0004904706656816415,25,35648.12289428711,0.003762079
5808,-363.0862978900001,64.38,7,9346.0,2,26,14336,11109.875,0.0095703125,-0.13194544934667646,0.2,0.0001,-0.0003452301025390625,0.0004951113849529065,30,34937.929235839845,0.0014963676
6584,-331.4192232,61.68,8,9074.0,2,26,16384,14662.525390625,0.02958984375,-0.13969672308303416,0.2,0.0001,0.0002636909484863281,0.0006057188438717276,35,29117.93475341797,0.008418435
7300,-338.65860782000004,67.24,9,9074.0,2,26,18432,9351.3720703125,0.02990107913669065,-0.16017439763108604,0.2,0.0001,0.0006766915321350098,0.001565644869299458,40,24075.26283582509,0.011872077
7991,-355.73775508,74.66,10,9218.0,2,26,20480,11640.15625,0.03564453125,-0.15598296117968857,0.2,0.0001,-0.0004551410675048828,-0.0002233801656984724,45,15830.292639160156,0.0052214484
8706,-375.15270073,78.93,11,9074.0,2,26,22528,3323.16943359375,0.03154296875,-0.17032251399941742,0.2,0.0001,0.0009521245956420898,0.0022189439710928126,50,15985.738284301759,0.012476693
9433,-418.12800000000004,80.3,12,9218.0,2,26,24576,7151.41748046875,0.01376953125,-0.14832994709722697,0.2,0.0001,9.328126907348633e-05,0.00030077039555180817,55,17917.752279663087,0.0010117557
10101,-428.216,81.67,13,9074.0,2,26,26624,10295.3251953125,0.01142578125,-0.1393035259563476,0.2,0.0001,0.00011658668518066406,-0.001478440352366306,60,21773.130102539064,0.0007774001
10757,-420.14399999999995,76.66,14,9074.0,2,26,28672,12130.5185546875,0.02568359375,-0.14007002678699793,0.2,0.0001,0.0004380941390991211,0.0029682375490665434,65,22986.063098144532,0.0030020191
11435,-409.39652174,78.09,15,9074.0,2,26,30720,6174.83935546875,0.02822265625,-0.15336117702536284,0.2,0.0001,0.000680387020111084,0.002562537943595089,70,13076.552487182616,0.0070419284
12109,-399.87105726000004,81.77,16,9074.0,2,26,32768,7512.369140625,0.05007102272727273,-0.17607096658850258,0.2,0.0001,1.7523765563964844e-05,0.00017840000906620514,73,16420.263566450638,0.013170441
12782,-388.31905726000014,82.61,17,9074.0,2,26,34816,11519.6328125,0.05009765625,-0.19868865418247877,0.2,0.0001,-3.5762786865234375e-06,0.005720211888547056,78,19350.347982788087,0.008355346
13476,-387.6390572600001,86.52,18,9346.0,2,26,36864,11386.6162109375,0.03569380733944954,-0.18348861786477064,0.2,0.0001,0.00014418363571166992,0.0022305076121600397,82,13247.8992931121,0.016757138
14144,-385.99398851000007,86.75,19,9074.0,2,26,38912,3936.581298828125,0.0138671875,-0.17720294524915517,0.2,0.0001,9.196996688842773e-05,0.0013460390182444826,87,9990.511907958984,0.0005271386
14787,-384.35145299000004,86.21,20,9074.0,2,26,40960,12827.4052734375,0.0236328125,-0.17293025134131312,0.2,0.0001,8.934736251831055e-05,0.001109979131433647,92,16517.833322143553,0.0025021057
15441,-385.27145299000006,84.44,21,9074.0,2,26,43008,4037.161376953125,0.022265625,-0.1865779023617506,0.2,0.0001,8.207559585571289e-05,0.0024792409589281307,97,9441.394143676758,0.00207534
16066,-386.49545299,88.22,22,9074.0,2,26,45056,4448.24609375,0.0333984375,-0.21739940848201514,0.2,0.0001,0.00014019012451171875,0.003381576869287528,102,13022.527590942384,0.0028589503
16743,-393.624,83.21,23,9074.0,2,26,47104,3877.25244140625,0.01650390625,-0.20009255390614272,0.2,0.0001,0.00010925531387329102,0.003987069230061024,107,8041.516940307617,0.003852712
17421,-400.76,78.12,24,9074.0,2,26,49152,4331.48388671875,0.014453125,-0.20993915759027004,0.2,0.0001,9.047985076904297e-05,0.0016823084792122246,112,10917.586502075195,0.0013216126
18135,-395.80000000000007,63.2,25,9074.0,2,26,51200,4866.8330078125,0.018359375,-0.21404932299628854,0.2,0.0001,4.488229751586914e-05,0.0027804959565401076,117,13982.183218383789,0.0024106235
