time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,custom/current_screen,custom/max_height,time/total_timesteps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss
640,1,82.83333333333333,3,27,9434.0,2048,597.5643400833333,,,,,,,,,,
1294,2,80.27450980392157,3,27,9466.0,4096,582.186344745098,3.272294998168945e-05,-0.05357124157599173,0.2,0.0001,-0.0015504844370298088,5,0.000594822,24706.9453125,0.00615234375,46652.8802734375
1951,3,79.42857142857143,3,27,9466.0,6144,537.1387045844157,0.006738483905792236,-0.0592448708601296,0.2,0.0001,-0.0001597815629793331,10,0.00031947414,22934.13671875,0.00146484375,50020.664123535156
2611,4,78.22,3,27,9466.0,8192,518.3878021400001,0.0016407370567321777,-0.05821553053101525,0.2,0.0001,-0.0009285140666179359,15,0.000356216,20454.546875,0.00302734375,43595.65396728516
3262,5,77.2,3,27,9434.0,10240,496.97546363000004,-6.592273712158203e-05,-0.05686276044289116,0.2,0.0001,-0.0005051390413427726,20,0.00027891685,22633.482421875,0.001953125,47533.95859375
3922,6,77.44,3,27,9466.0,12288,486.90328050000005,-0.00028777122497558594,-0.05560357123031281,0.2,0.0001,-0.0003249621979193762,25,0.00017335243,20702.5234375,0.00087890625,45392.63060302734
4575,7,77.06,3,27,9466.0,14336,507.7794617300001,-0.00019025802612304688,-0.05756589570082724,0.2,0.0001,-0.0013685455545783044,30,0.00030481044,16714.37109375,0.005859375,43544.93807373047
5235,8,74.96,3,27,9434.0,16384,484.8030990000001,-0.00011110305786132812,-0.061315162677783516,0.2,0.0001,-0.0018301096803043037,35,0.00076819665,18378.080078125,0.0052734375,45792.71879882812
5887,9,74.76,3,27,9434.0,18432,451.53668068,-0.00029909610748291016,-0.05304283133591525,0.2,0.0001,-0.00048111359647009524,40,0.0002240056,21318.6015625,0.0037109375,46889.948901367185
6534,10,74.84,3,27,9626.0,20480,472.1627959100001,-0.00018155574798583984,-0.052155693498207256,0.2,0.0001,-0.0009579988603945821,45,0.0005693489,24247.189453125,0.0048828125,42643.92503662109
7187,11,75.67,3,27,9626.0,22528,472.9345033500001,-0.00012254714965820312,-0.05832738895551302,0.2,0.0001,-0.0006378253980074078,50,0.00029530848,20178.759765625,0.0013671875,42786.45390625
7838,12,79.34,3,27,9466.0,24576,548.8214571400001,-7.76052474975586e-05,-0.06306498889462091,0.2,0.0001,-0.000363682143506594,55,0.00029236524,23092.7890625,0.0009765625,40738.98828125
8482,13,81.25,3,27,9466.0,26624,603.2387378600001,-0.00011157989501953125,-0.0583013603289146,0.2,0.0001,-0.000535463576670736,60,0.00031271108,23446.83984375,0.00166015625,42625.343322753906
9130,14,81.64,3,27,9466.0,28672,625.0057050200002,-8.416175842285156e-05,-0.060524423996685076,0.2,0.0001,-0.0018932088278234005,65,0.0006550656,17956.173828125,0.0080078125,41034.98306884766
9781,15,80.91,3,27,9466.0,30720,613.1493934800002,-7.224082946777344e-05,-0.0658697494189255,0.2,0.0001,-0.0003263006510678679,70,0.0002922404,25763.8984375,0.00166015625,42072.79617919922
10430,16,81.68,3,27,9434.0,32768,635.8732462600001,-6.80685043334961e-05,-0.06117138721747324,0.2,0.0001,-0.001843235216801986,75,0.000647658,19119.4375,0.00595703125,41238.08540039063
