rollout/ep_len_mean,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates
26.532467532467532,29,10130.0,395.6943270909091,2,1,998,2048,,,,,,,,,,
25.52,29,10130.0,527.1631274200001,2,2,2039,4096,-0.0014486777479760348,0.2,-0.00015747547149658203,-0.23213579785078764,65235.21484375,137314.39140625,0.0038930755,0.0001,0.035546875,5
25.0,29,10130.0,502.7381777300001,1,3,3101,6144,-0.0017640170699451119,0.2,0.005179464817047119,-0.24283120715990664,72662.7890625,156685.64750976564,0.005075956,0.0001,0.03349609375,10
24.62,29,10130.0,546.1861613,1,4,4186,8192,-0.0014231139692128636,0.2,0.004391372203826904,-0.25429648216813805,77620.9765625,152571.96743164063,0.0027122167,0.0001,0.0197265625,15
24.03,29,10242.0,546.9324907900001,1,5,5301,10240,-0.001683311542728916,0.2,0.002432405948638916,-0.2635761513374746,84275.265625,153766.13588867188,0.0038344655,0.0001,0.0265625,20
23.72,29,10130.0,468.7244629300001,1,6,6433,12288,-0.0008868212957167998,0.2,0.0013613700866699219,-0.2685249431990087,64574.4375,155363.59453125,0.0020553505,0.0001,0.0087890625,25
22.55,29,10130.0,380.09891976000006,1,7,7591,14336,-0.0003736230632057413,0.2,0.0008318424224853516,-0.2749936904758215,77206.453125,151050.7775390625,0.0023224617,0.0001,0.01162109375,30
23.48,29,10130.0,478.80177913000006,1,8,8731,16384,-0.0007907610503025353,0.2,0.000526130199432373,-0.2781726854853332,66072.6015625,144262.56767578126,0.0005419372,0.0001,0.00224609375,35
23.06,29,10242.0,467.5581877800001,1,9,9883,18432,8.440336969215423e-05,0.2,0.0004246830940246582,-0.2935978975147009,73235.921875,150130.97456054686,0.0010424965,0.0001,0.0044921875,40
22.91,29,10130.0,415.41784271999995,1,10,11049,20480,-0.0010932697710813954,0.2,0.00030362606048583984,-0.3005288546904922,80249.40625,147686.6326171875,0.001983332,0.0001,0.0087890625,45
22.55,29,10130.0,445.12947160000004,1,11,12228,22528,-0.0016548852145206183,0.2,0.00019061565399169922,-0.3019409324042499,71595.078125,141882.7855957031,0.0016446516,0.0001,0.01318359375,50
22.54,29,10130.0,401.08084782000003,1,12,13399,24576,-8.21829162305221e-05,0.2,0.00019502639770507812,-0.3100116025656462,72196.1015625,148541.1765625,0.00029570927,0.0001,0.00048828125,55
22.34,29,10130.0,421.98446628000005,1,13,14581,26624,-0.0002908012756961398,0.2,0.00013458728790283203,-0.31503738593310116,71752.765625,141192.9609375,0.0011588957,0.0001,0.00546875,60
21.92,29,10130.0,558.5458423300001,1,14,15805,28672,-0.0007897707298980094,0.2,0.0001163482666015625,-0.3288265760987997,74769.2890625,142738.05166015626,0.0016292636,0.0001,0.009375,65
22.48,29,10130.0,547.16739613,1,15,16995,30720,-0.0009381095311255194,0.2,9.310245513916016e-05,-0.35091698057949544,69407.4296875,152809.13642578124,0.0033473172,0.0001,0.01201171875,70
23.58,29,10242.0,443.7023454900001,1,16,18121,32768,-0.00045607664796989413,0.2,6.93202018737793e-05,-0.36588182393461466,79405.4453125,147931.9829589844,0.0005687098,0.0001,0.0009765625,75
22.6,29,10242.0,401.6393812600001,1,17,19310,34816,-0.0004316279402701184,0.2,6.723403930664062e-05,-0.3660574847832322,67793.546875,133836.9263183594,0.0028878015,0.0001,0.00888671875,80
22.44,29,10130.0,502.87842264,1,18,20503,36864,-0.0019067595014348627,0.2,5.27501106262207e-05,-0.3687236906029284,61624.82421875,136205.83090820312,0.0026896312,0.0001,0.01318359375,85
21.84,29,10130.0,447.97884137999995,1,19,21722,38912,-0.0025794949324335903,0.2,4.00543212890625e-05,-0.4023913528770208,70586.5234375,142925.07626953124,0.0033954938,0.0001,0.0169921875,90
22.22,29,10130.0,436.74853434000005,1,20,22923,40960,0.00015433044172823428,0.2,3.3915042877197266e-05,-0.4017080456018448,75846.78125,139853.23759765626,0.0005365251,0.0001,0.00263671875,95
21.99,29,10130.0,410.83004742,1,21,24145,43008,-0.0006726772408001125,0.2,3.159046173095703e-05,-0.4039619732648134,74961.1953125,134833.27416992188,0.0015090554,0.0001,0.0107421875,100
22.07,29,10130.0,445.21530344000007,1,22,25360,45056,-0.00013570816372521222,0.2,3.1828880310058594e-05,-0.4159857198596001,63251.26171875,137638.66928710937,0.0029402073,0.0001,0.01279296875,105
22.3,29,10130.0,488.92636177,1,23,26566,47104,-0.0004773049309733324,0.2,2.491474151611328e-05,-0.4384201245382428,65673.0234375,137382.45673828124,0.0006898206,0.0001,0.00361328125,110
22.37,29,10370.0,480.30347955,1,24,27772,49152,0.0005906048332690262,0.2,2.485513687133789e-05,-0.45071179922670124,66833.9921875,135767.77744140624,0.00026444995,0.0001,0.0013671875,115
21.7,29,10130.0,415.6686664499999,1,25,29005,51200,-0.0012605275886016897,0.2,1.5079975128173828e-05,-0.45538747012615205,64771.58984375,132539.58598632814,0.0025819833,0.0001,0.01162109375,120
21.58,29,10130.0,536.76065831,1,26,30245,53248,-6.281770765781403e-08,0.2,1.5437602996826172e-05,-0.45618647914379834,70747.171875,132426.0681640625,0.0021552932,0.0001,0.00205078125,125
20.07,29,10130.0,449.5965496200001,1,27,31526,55296,-0.0012815100737498142,0.2,9.238719940185547e-06,-0.4867686599493027,71512.96875,136720.92749023438,0.002782245,0.0001,0.0171875,130
21.59,29,10130.0,450.1551371,1,28,32760,57344,-0.0016457033882034012,0.2,1.0967254638671875e-05,-0.49382930863648655,74615.9375,135624.72119140625,0.002534108,0.0001,0.001953125,135
