rollout/ep_len_mean,rollout/ep_rew_mean,custom/max_height,time/iterations,custom/current_screen,time/total_timesteps,time/fps,time/time_elapsed,train/approx_kl,train/value_loss,train/learning_rate,train/loss,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss
11.12,208.33979188000004,490.0,1,2,2048,0,2386,,,,,,,,,,
9.38,215.67071091000003,490.0,2,2,4096,0,4926,0.0139028,2505.179653406143,0.0001,1290.4866943359375,0.14091796875,-0.024125668569467962,400,0.2,0.009891748428344727,-0.3319098792504519
9.31,226.04082822000007,650.0,3,2,6144,0,7473,0.014081879,1391.549459683895,0.0001,36.405059814453125,0.042138671875,-0.00988364063523477,410,0.2,0.11892861127853394,-0.19248306290246547
9.82,22.889010080000002,626.0,4,2,8192,0,9900,0.085011885,201.84308863915504,0.0001,756.13525390625,0.14462890625,-0.027476318551634904,420,0.2,0.3408101797103882,-0.19700803365558386
9.95,73.13569693000001,442.0,5,2,10240,0,12317,0.0038608364,29107.908462524414,0.0001,8411.5546875,0.121484375,-0.02280216730723623,430,0.2,0.04518115520477295,-0.2870757047086954
9.86,79.18258580999999,538.0,6,2,12288,0,14777,0.0045378227,15317.575607299805,0.0001,7620.74658203125,0.117626953125,-0.021701761352596806,440,0.2,0.006162047386169434,-0.2750746891833842
9.58,173.10600656,650.0,7,2,14336,0,17238,0.014185937,14776.355865478516,0.0001,7474.42919921875,0.11044921875,-0.023456484489724972,450,0.2,0.01983410120010376,-0.2510186939034611
9.42,200.87867671,442.0,8,2,16384,0,19737,0.016916148,10906.127601623535,0.0001,4306.880859375,0.078076171875,-0.01932656945718918,460,0.2,-0.010280966758728027,-0.2056726565118879
9.58,226.23536213000003,442.0,9,2,18432,0,22257,0.005593609,4127.422649669647,0.0001,1511.8851318359375,0.04296875,-0.008846732002712087,470,0.2,0.005006074905395508,-0.17889302894473075
9.27,220.03048478999997,650.0,10,2,20480,0,24779,0.007335252,1866.3828908443452,0.0001,1160.2293701171875,0.041748046875,-0.006056774587341352,480,0.2,0.05572056770324707,-0.15752058257348836
9.44,223.2720341300001,442.0,11,2,22528,0,27292,0.003728579,1102.5464425802231,0.0001,11.865267753601074,0.03447265625,-0.005893651357109775,490,0.2,0.08142173290252686,-0.12379791440907865
9.39,226.47525635000002,490.0,12,2,24576,0,29816,0.03328103,2102.205781197548,0.0001,1858.1651611328125,0.0880859375,-0.0024332463086466304,500,0.2,-0.009797930717468262,-0.18373328507877887
9.24,218.40728710000002,442.0,13,2,26624,0,32362,0.029774863,677.3878197610378,0.0001,3.381324529647827,0.054052734375,-0.007123734282504302,510,0.2,0.13298535346984863,-0.12214640639722348
9.45,120.2245392,650.0,14,2,28672,0,34854,0.015525586,1100.145865392685,0.0001,3.203339099884033,0.118603515625,-0.008418511036143172,520,0.2,0.08737719058990479,-0.16615789772477002
9.38,141.74404035999996,442.0,15,2,30720,0,37395,0.0085275695,19015.694137573242,0.0001,7699.08349609375,0.095751953125,-0.01936468202038668,530,0.2,0.03350627422332764,-0.19913004080299287
9.5,226.09997642000002,538.0,16,2,32768,0,39937,0.027261136,11489.598942565917,0.0001,5377.1669921875,0.0728515625,-0.021080889369477517,540,0.2,0.012031137943267822,-0.15319038899615406
9.05,223.36828277000006,650.0,17,2,34816,0,42487,0.0255343,1956.2546328186988,0.0001,459.3221130371094,0.02158203125,-0.00125103435566416,550,0.2,-0.04023623466491699,-0.1451007803203538
9.36,-55.946161620000005,626.0,18,2,36864,0,44934,0.20946492,287.57227863445877,0.0001,2.2275290489196777,0.06201171875,-0.006225906083273003,560,0.2,0.24843305349349976,-0.10690931737190112
9.52,-48.35153536,442.0,19,2,38912,0,47394,0.010353586,40798.56564331055,0.0001,11852.4970703125,0.088037109375,-0.01272935502929613,570,0.2,0.08667129278182983,-0.1702243669424206
9.64,7.152929280000002,442.0,20,2,40960,0,49876,0.0057212235,15313.404440307617,0.0001,4472.80224609375,0.105859375,-0.020244746137177572,580,0.2,0.07267260551452637,-0.17503541917540133
9.49,40.878727250000004,650.0,21,2,43008,0,52399,0.004309601,13907.703079223633,0.0001,7148.236328125,0.13046875,-0.02546058343432378,590,0.2,0.015243589878082275,-0.16836616434156895
9.47,122.86693429999997,626.0,22,2,45056,0,54943,0.006018173,15597.634518432616,0.0001,6846.65380859375,0.13759765625,-0.028159394877729938,600,0.2,0.00861978530883789,-0.15447549414820969
9.08,188.50696965,626.0,23,2,47104,0,57492,0.013253456,14659.413525390624,0.0001,6203.5869140625,0.125048828125,-0.027860502860858106,610,0.2,0.0023209452629089355,-0.1287871499080211
9.12,226.70588882000004,538.0,24,2,49152,0,60065,0.015524091,9127.984043884277,0.0001,5215.6630859375,0.025830078125,-0.015012619912158697,620,0.2,0.003628551959991455,-0.09261568036163226
9.3,223.16109474000004,490.0,25,2,51200,0,62628,0.004909532,2473.8746145248415,0.0001,731.3082885742188,0.01181640625,-0.005088081523717846,630,0.2,0.020782053470611572,-0.07040517285931855
9.26,195.41881812000003,442.0,26,2,53248,0,65186,0.02331774,914.3808306843042,0.0001,980.9876708984375,0.033203125,0.0057646828834549526,640,0.2,0.1014404296875,-0.08119128267280758
