time/iterations,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/fps,train/learning_rate,train/value_loss,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/loss
1,2048,11.14,1693,3,1034.0,97.15452954999996,1,,,,,,,,,,
2,4096,11.2,3379,3,1034.0,65.34031939999998,1,0.0001,17085.201440429686,0.0,0.2,-0.5144958348944784,0.0,5,2.317829057574272e-08,-0.0005939006805419922,8516.6220703125
3,6144,11.1,5062,3,890.0,86.54584564000001,1,0.0001,16082.688006591798,0.0,0.2,-0.5184074318036437,0.0,10,8.249189704656601e-08,0.0018873214721679688,8203.7890625
4,8192,12.11,6721,3,890.0,114.42678286999998,1,0.0001,16529.133882068454,0.05282738095238095,0.2,-0.5298468059017545,0.008407794,11,-0.0036458207649134452,0.0002544522285461426,9084.4521484375
5,10240,11.73,8408,3,890.0,128.45250385,1,0.0001,16303.725756835938,0.0572265625,0.2,-0.5033918565139175,0.0054139197,16,-0.011389534879708663,0.00016021728515625,7366.6025390625
6,12288,11.56,10078,3,890.0,110.34669167999999,1,0.0001,16837.628717041014,0.06640625,0.2,-0.4913676826283336,0.008801405,21,-0.009146570158554823,5.841255187988281e-05,7677.5830078125
7,14336,12.44,11779,3,890.0,168.64246617,1,0.0001,16255.666864809782,0.022418478260869564,0.2,-0.48112442441608594,0.0064541777,22,-0.00138266253001664,3.421306610107422e-05,8740.1552734375
8,16384,12.7,13451,3,786.0,186.62512779,1,0.0001,16312.516986083985,0.07265625,0.2,-0.4655372679233551,0.008772306,27,-0.008101538152550347,0.005670607089996338,7678.2119140625
9,18432,12.73,15128,3,786.0,168.83587187,1,0.0001,15760.931693412162,0.02153716216216216,0.2,-0.46131259525144425,0.014959526,29,-0.002946657921514801,0.015134334564208984,8810.9541015625
10,20480,12.29,16802,3,1034.0,153.55957722,1,0.0001,15605.595037841797,0.05263671875,0.2,-0.4635310972109437,0.0058194296,34,-0.005552129415445961,0.012116074562072754,7704.1669921875
11,22528,12.88,18473,3,1034.0,196.74875491999995,1,0.0001,15550.812282986111,0.014756944444444444,0.2,-0.4483247051636378,0.008064134,35,0.0009249148683415519,-5.960464477539062e-07,8299.58203125
12,24576,12.78,20152,3,890.0,192.23005512,1,0.0001,15008.333680555555,0.05381944444444445,0.2,-0.45455458097987705,0.011723351,37,-0.001973242498934269,4.1484832763671875e-05,7375.404296875
13,26624,13.39,21804,3,786.0,193.73010434999998,1,0.0001,14262.537841796875,0.013671875,0.2,-0.4573679529130459,0.008425691,38,0.0035065729171037674,-2.384185791015625e-06,7129.5029296875
14,28672,12.94,23451,3,1034.0,184.86321439,1,0.0001,14387.4521484375,0.0078125,0.2,-0.4537161856889725,0.006601772,39,-0.0015861420426517725,8.165836334228516e-06,7258.1015625
15,30720,13.56,25107,3,1034.0,216.53298294000004,1,0.0001,13780.131323242187,0.02109375,0.2,-0.44229445420205593,0.0043456615,44,-0.003991508149192668,6.735324859619141e-06,6180.02587890625
16,32768,12.9,26775,3,786.0,191.75448912000004,1,0.0001,13228.772943115235,0.04794921875,0.2,-0.4323297366499901,0.005536835,49,-0.003691230736149009,1.633167266845703e-05,5821.32275390625
17,34816,13.71,28414,3,890.0,210.53952578,1,0.0001,13559.315595518869,0.036851415094339625,0.2,-0.43113034457530613,0.0056290007,51,-0.0027208919724765815,1.3470649719238281e-05,6711.18359375
18,36864,12.86,30075,3,786.0,188.76711401000003,1,0.0001,12504.351116943359,0.07548828125,0.2,-0.4095398299396038,0.008818883,56,-0.007035354859544896,2.4139881134033203e-05,5545.2763671875
19,38912,12.56,31764,3,786.0,197.16790182,1,0.0001,13050.218048095703,0.039794921875,0.2,-0.40966909821145236,0.007267815,60,-0.005079724025563337,1.0788440704345703e-05,7650.9384765625
20,40960,12.83,33454,3,786.0,215.52345446000004,1,0.0001,12565.382777622768,0.01953125,0.2,-0.4030311086348125,0.0034996483,61,-0.0004419539722480944,1.0967254638671875e-05,6799.13037109375
21,43008,12.41,35168,3,890.0,202.62158293000002,1,0.0001,12041.252815755208,0.05130208333333333,0.2,-0.3918354079127312,0.011363854,63,-0.0021706233887622754,1.6391277313232422e-05,7314.076171875
22,45056,12.73,36868,3,890.0,186.81990746000002,1,0.0001,11966.335815429688,0.0078125,0.2,-0.40748000890016556,0.010703615,64,0.043568198452703655,6.854534149169922e-06,6078.46484375
23,47104,12.5,38562,3,786.0,197.13658134999997,1,0.0001,12630.001284950658,0.027138157894736843,0.2,-0.38461659299699885,0.0066862656,65,-0.001415729032535302,1.3649463653564453e-05,7820.67529296875
24,49152,12.67,40263,3,890.0,207.07588882000005,1,0.0001,11690.486403245191,0.03445512820512821,0.2,-0.3940946467411824,0.010902418,67,-0.001441967816880116,7.331371307373047e-06,5364.65185546875
25,51200,12.17,41993,3,786.0,200.26836142000005,1,0.0001,11012.558410644531,0.053989955357142856,0.2,-0.37461832032672,0.008054076,71,-0.004865299926937691,2.3543834686279297e-05,5477.68408203125
26,53248,12.68,43693,3,786.0,205.68851912000002,1,0.0001,11242.198669433594,0.01171875,0.2,-0.36908624693751335,0.005631099,72,-0.00019707309547811747,7.68899917602539e-06,6049.35205078125
27,55296,12.3,45415,3,786.0,205.24489866,1,0.0001,11075.141616821289,0.0732421875,0.2,-0.3787976533640176,0.011488125,76,-0.004108328856091248,4.76837158203125e-06,5605.27197265625
