time/total_timesteps,rollout/ep_len_mean,time/iterations,custom/max_height,time/time_elapsed,rollout/ep_rew_mean,time/fps,custom/current_screen,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss
1024,12.493827160493828,1,1034.0,774,128.52705275308642,1,3,,,,,,,,,,
2048,12.41,2,890.0,1557,133.45441216000003,1,3,-2.752058207988739e-08,0.0,0.2,0.0,5,10561.7548828125,0.00017005205154418945,-0.6173474922776222,0.0001,23847.035009765626
3072,12.47,3,786.0,2334,138.23412217000003,1,3,-8.119968697428703e-09,0.0,0.2,0.0,10,11456.1416015625,0.001612246036529541,-0.6123178869485855,0.0001,21820.032470703125
4096,12.45,4,786.0,3121,172.32387734,1,3,-0.006439110264182091,0.009968168,0.2,0.06850961538461539,11,10027.921875,0.0006597042083740234,-0.5978302313731267,0.0001,21571.95177283654
5120,12.28,5,890.0,3910,185.14382472999998,1,3,-0.00951158576644957,0.015085926,0.2,0.06458333333333334,13,11044.990234375,0.0006425976753234863,-0.5971506436665853,0.0001,21413.465950520833
6144,12.22,6,786.0,4694,178.06859445,1,3,-0.013850753562292085,0.007696885,0.2,0.1033203125,18,10025.2998046875,0.0002041459083557129,-0.5842418562620878,0.0001,21026.41555175781
7168,12.4,7,786.0,5489,191.6817395,1,3,-0.012158742791507393,0.009187187,0.2,0.0810546875,23,10500.3037109375,0.0001239180564880371,-0.5914936512708664,0.0001,20487.08251953125
8192,12.48,8,890.0,6278,206.056205,1,3,0.001151932558665673,0.031048317,0.2,0.021701388888888888,25,9605.8310546875,1.9729137420654297e-05,-0.5721165935198466,0.0001,19739.73611111111
9216,11.74,9,786.0,7087,183.02266722999997,1,3,-0.006217690749326721,0.0070338435,0.2,0.0501953125,30,10533.087890625,1.0251998901367188e-05,-0.5729295127093792,0.0001,19958.961059570312
10240,12.36,10,786.0,7876,200.86307318,1,3,-0.00414200703962706,0.0057388004,0.2,0.0439453125,35,9892.44140625,-1.4185905456542969e-05,-0.5702669121325016,0.0001,19610.58889160156
11264,12.3,11,890.0,8675,189.39365212,1,3,-0.0055814847641158846,0.008567443,0.2,0.084765625,40,9246.7529296875,-3.3020973205566406e-05,-0.5672989562153816,0.0001,18857.29560546875
12288,12.59,12,890.0,9460,219.57223888000001,1,3,-0.010282456036657095,0.012869062,0.2,0.1248046875,45,9514.13671875,1.1146068572998047e-05,-0.5854742955416441,0.0001,18975.217028808594
