rollout/ep_len_mean,time/iterations,custom/max_height,time/fps,time/total_timesteps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,train/clip_fraction,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/clip_range,train/policy_gradient_loss
17.23,1,11202.0,0,2048,2676,32,-8.519284060000002,,,,,,,,,,
17.92,2,11218.0,0,4096,5352,32,12.931617450000001,0.005208333333333333,0.004275908,0.0001,0.0002893209457397461,1,3372.49169921875,-1.1591932773590088,5804.790299479167,0.2,-0.004733711822579304
16.05,3,11490.0,0,6144,8157,32,59.35754509,0.046875,0.006402381,0.0001,0.0006780624389648438,2,3369.360107421875,-1.1096334549096913,6255.822368915265,0.2,-0.00807382114446507
13.65,4,11202.0,0,8192,11099,32,39.56739765,0.1021484375,0.007365452,0.0001,-0.00012135505676269531,7,4876.46337890625,-1.0209133047610521,8694.78214111328,0.2,-0.015401693497551605
14.15,5,11234.0,0,10240,14105,32,117.83004828000001,0.13662109375,0.013623032,0.0001,0.0017303824424743652,12,4941.97802734375,-0.922735370695591,9254.455654907226,0.2,-0.01375471240025945
15.11,6,11202.0,0,12288,17187,32,122.9530177,0.07158203125,0.0066815754,0.0001,0.0013523101806640625,17,5897.76123046875,-0.8585168950259685,11923.704132080078,0.2,-0.010329691637889483
12.32,7,11218.0,0,14336,20336,32,134.71548750000002,0.045703125,0.0051660053,0.0001,0.0001977682113647461,22,6171.564453125,-0.766027356684208,11512.580352783203,0.2,-0.008161925355670974
13.29,8,11234.0,0,16384,23555,32,142.21651202000004,0.0326171875,0.004493059,0.0001,0.00013011693954467773,27,6047.73388671875,-0.69702393040061,12550.115728759765,0.2,-0.005584731628187001
13.16,9,11234.0,0,18432,26741,32,147.74072009000002,0.005208333333333333,0.00373952,0.0001,2.6941299438476562e-05,28,6466.919921875,-0.6650518907441033,12851.877658420139,0.2,-0.000977773322827286
13.35,10,11202.0,0,20480,29962,32,159.35205614,0.003125,0.010953696,0.0001,9.191036224365234e-05,29,6822.36962890625,-0.6563023924827576,11896.0537109375,0.2,-0.0013622086495161056
14.24,11,11426.0,0,22528,33183,32,155.65612270000003,0.020833333333333332,0.020961843,0.0001,7.492303848266602e-05,30,6284.7421875,-0.6954462130864462,12539.765625,0.2,0.009917485217253367
12.83,12,11202.0,0,24576,36431,32,152.74223841,0.010416666666666666,0.018984819,0.0001,-3.0994415283203125e-06,31,6196.2294921875,-0.6287413636843363,12367.107421875,0.2,0.0034216263641913733
13.13,13,11426.0,0,26624,39679,32,171.26993495999994,0.001201923076923077,0.00243697,0.0001,0.00010633468627929688,32,7500.71142578125,-0.6350835332503686,13369.492638221154,0.2,-0.0012396275997161865
