time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,custom/max_height,custom/current_screen,rollout/ep_rew_mean,time/total_timesteps,train/value_loss,train/clip_range,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss
0,14.194444444444445,1024,1,11242.0,32,89.47244459722222,1024,,,,,,,,,,
0,13.92,2076,2,11226.0,32,115.35316023,2048,18634.403918457032,0.2,0.0006151199340820312,5,0.0047402997,-1.0173106424510479,-0.006859859026735649,0.0001,0.0232421875,7727.91455078125
0,13.79,3155,3,11218.0,32,114.80899982000001,3072,18696.168200683594,0.2,0.010481297969818115,10,0.0034075505,-1.0086693927645682,-0.006856704771053046,0.0001,0.0177734375,8614.4345703125
0,13.77,4252,4,11330.0,32,144.98490761,4096,18354.823864746093,0.2,0.014320731163024902,15,0.0036521866,-0.9870257042348385,-0.007664241996826604,0.0001,0.0142578125,8781.755859375
0,12.99,5361,5,11394.0,32,116.10311070000002,5120,17910.70977783203,0.2,0.009099602699279785,20,0.0056607304,-0.9566267907619477,-0.008259556617122143,0.0001,0.03125,8858.85546875
0,15.06,6448,6,11202.0,32,153.47748472000004,6144,18099.390380859375,0.2,0.006616771221160889,25,0.0060920455,-1.0075563386082649,-0.012249184999382124,0.0001,0.0423828125,7787.708984375
0,15.47,7507,7,11226.0,32,173.46985006999995,7168,16743.57321777344,0.2,0.017348647117614746,30,0.0019034368,-1.008823922276497,-0.005638789781369269,0.0001,0.0025390625,8441.25390625
0,14.12,8556,8,11426.0,32,155.16812697,8192,15862.615905761719,0.2,0.01720672845840454,35,0.0057017915,-0.9978292033076286,-0.008118405588902533,0.0001,0.0259765625,7037.873046875
0,15.25,9720,9,11202.0,32,178.01774526999998,9216,17168.28690185547,0.2,0.009231328964233398,40,0.008903971,-0.988530944287777,-0.016270164237357675,0.0001,0.0578125,8835.2353515625
0,15.14,10841,10,11394.0,32,165.81380685,10240,15957.788439941407,0.2,0.022875726222991943,45,0.0014784585,-1.0026659309864043,-0.005164569098269567,0.0001,0.0005859375,7762.91064453125
0,14.93,11957,11,11202.0,32,182.36821634999995,11264,15780.61953125,0.2,0.020572662353515625,50,0.0024509965,-0.987055741995573,-0.008104274666402489,0.0001,0.0107421875,8344.5732421875
0,15.24,13061,12,11234.0,32,188.33499649,12288,16003.163427734375,0.2,0.028270244598388672,55,0.0058756894,-0.9469385407865047,-0.01025646593188867,0.0001,0.016796875,8335.4111328125
0,14.15,14204,13,11218.0,32,178.24446204,13312,14935.191589355469,0.2,0.029557764530181885,60,0.0056400583,-0.9823080100119114,-0.011580048949690535,0.0001,0.035546875,7834.4560546875
0,14.4,15326,14,11234.0,32,178.18973715999996,14336,16282.029443359375,0.2,0.044282615184783936,65,0.0018082068,-0.930458740144968,-0.008541236008750275,0.0001,0.00625,7774.90234375
0,14.96,16467,15,11234.0,32,194.71370258,15360,15157.6478515625,0.2,0.036679983139038086,70,0.0016254887,-0.9533828012645245,-0.00446851275046356,0.0001,0.0009765625,7326.42724609375
0,14.34,17605,16,11426.0,32,190.32064691,16384,15057.539904785157,0.2,0.025017619132995605,75,0.0049391957,-0.9289970442652702,-0.009652418724726886,0.0001,0.0337890625,7673.4775390625
0,14.52,18765,17,11490.0,32,207.4636929,17408,14247.396789550781,0.2,0.040203630924224854,80,0.0028137274,-0.9302573375403881,-0.0069388048141263425,0.0001,0.010546875,7549.638671875
0,15.96,19934,18,11234.0,32,206.87750286000002,18432,14506.759533691406,0.2,0.0063285231590271,85,0.003612693,-0.8605724968016147,-0.00598502658540383,0.0001,0.0095703125,7544.25341796875
0,14.98,21127,19,11274.0,32,181.63583434999998,19456,13447.479467773437,0.2,0.08254808187484741,90,0.0037166376,-0.9310581274330616,-0.007606108824256807,0.0001,0.0240234375,7109.8115234375
0,14.53,22339,20,11202.0,32,194.68768995,20480,13912.379565429688,0.2,0.08999478816986084,95,0.002106804,-0.9347939744591713,-0.005968453979585319,0.0001,0.0025390625,6334.2861328125
