time/total_timesteps,time/fps,custom/current_screen,custom/max_height,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/clip_range,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/approx_kl,train/loss,train/explained_variance
1024,1,32,11218.0,865,17.551724137931036,125.18373451724139,1,,,,,,,,,,
2048,1,32,11226.0,1861,17.36,148.30894308,2,0.2,-0.9543709345161915,5,0.0001,-0.011940384656190873,16630.36083984375,0.043359375,0.01085861,8449.505859375,-0.0003286600112915039
3072,1,32,11330.0,2874,16.41,187.74755947999998,3,0.2,-0.9385601677000522,10,0.0001,-0.006218316755257547,16849.036999511718,0.016796875,0.0038364343,8586.6103515625,0.009701848030090332
4096,1,32,11202.0,3890,16.08,183.70198011999997,4,0.2,-0.916584026813507,15,0.0001,-0.01040505911805667,17506.786535644533,0.0380859375,0.004244569,9282.638671875,0.003696262836456299
5120,1,32,11394.0,4967,15.08,182.09200317,5,0.2,-0.9238173440098763,20,0.0001,-0.0069401345739606764,17353.086022949217,0.009765625,0.0021918584,8761.865234375,0.0049013495445251465
6144,1,32,11226.0,6051,14.34,180.41837898999998,6,0.2,-0.8599213384091854,25,0.0001,-0.009727671009022743,17573.043188476564,0.0158203125,0.004323804,8066.6484375,0.0064580440521240234
7168,1,32,11330.0,7121,14.92,186.99136516,7,0.2,-0.8514747872948647,30,0.0001,-0.006975012359907851,17443.6078125,0.006640625,0.0021082251,7842.49072265625,0.003247559070587158
8192,0,32,11490.0,8224,15.31,207.28719153999998,8,0.2,-0.8559280775487423,35,0.0001,-0.013295785512309522,16475.138903808594,0.058203125,0.008623056,7323.1748046875,0.0006310343742370605
9216,0,32,11218.0,9320,14.11,207.25814215999995,9,0.2,-0.8187800884246826,40,0.0001,-0.007028780566179194,17099.465295410155,0.0048828125,0.0024769106,8886.5146484375,0.002658069133758545
10240,0,32,11202.0,10424,14.19,203.15895959000002,10,0.2,-0.812276940047741,45,0.0001,-0.007087853911798447,18003.710827636718,0.0234375,0.0035834596,8890.7314453125,0.001207113265991211
11264,0,32,11426.0,11545,15.2,240.43691668,11,0.2,-0.7796884432435036,50,0.0001,-0.010191127844154834,16913.90184326172,0.0224609375,0.0043681553,7937.47412109375,0.0018072128295898438
12288,0,32,11226.0,12653,14.61,215.56398348999994,12,0.2,-0.7572365641593933,55,0.0001,-0.0034379659162368627,16717.996960449218,0.007421875,0.0017255377,8926.916015625,0.001842796802520752
13312,0,32,11426.0,13835,14.1,207.44933713999995,13,0.2,-0.7557588621973992,60,0.0001,-0.007329570990987122,15727.10018310547,0.0185546875,0.003500178,8569.544921875,0.0011283159255981445
14336,0,32,11242.0,14990,13.96,215.98765501999995,14,0.2,-0.7313140355050564,65,0.0001,-0.0074359052116051315,16347.93946533203,0.0138671875,0.0029709283,8370.24609375,0.0011843442916870117
