custom/max_height,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/current_screen,time/time_elapsed,time/iterations,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/approx_kl
12018.0,0,1024,171.09253974,6.32,34,1445,1,,,,,,,,,,
11922.0,0,2048,166.54284135,6.24,34,2861,2,-0.44485234543681146,15924.5322265625,-0.0007978677749633789,33059.77932128906,0.0310546875,0.0001,5,-0.014319106028415263,0.2,0.0020614904
12018.0,0,3072,176.17268262000005,6.2,34,4320,3,-0.435951953753829,15332.6865234375,0.0014424324035644531,30857.492822265624,0.0287109375,0.0001,10,-0.012146976770600304,0.2,0.0036502308
12098.0,0,4096,171.36696828000007,6.51,34,5746,4,-0.418710508197546,14659.4833984375,0.0011847615242004395,29775.74807128906,0.012890625,0.0001,15,-0.011706905905157328,0.2,0.0016962783
11922.0,0,5120,197.78911121000004,6.26,34,7217,5,-0.4202690713107586,14401.4677734375,0.0005285739898681641,28738.593334960937,0.02734375,0.0001,20,-0.011812918621581047,0.2,0.0022170045
11922.0,0,6144,189.34229007999994,6.41,34,8657,6,-0.37778544947505,14386.7236328125,0.0003515481948852539,28928.40119628906,0.0125,0.0001,25,-0.01042811234947294,0.2,0.0017817187
12194.0,0,7168,220.89174613000006,6.16,34,10146,7,-0.36853043995797635,13732.4765625,0.00013148784637451172,27484.84482421875,0.0107421875,0.0001,30,-0.011571118095889687,0.2,0.001737908
11922.0,0,8192,220.78176205000003,6.3,34,11624,8,-0.3349212821573019,13225.4697265625,0.0001308917999267578,27464.03420410156,0.001953125,0.0001,35,-0.007623825460905209,0.2,0.0012013719
12098.0,0,9216,229.12780965000002,6.33,34,13119,9,-0.32028558794409034,13616.87109375,0.00012868642807006836,27220.3638671875,0.0228515625,0.0001,40,-0.00828147107968107,0.2,0.0024196026
11922.0,0,10240,220.66204777000007,6.1,34,14636,10,-0.30289907604455946,13842.7646484375,0.00013124942779541016,26349.798828125,0.0013671875,0.0001,45,-0.006178198193083517,0.2,0.0011119351
11922.0,0,11264,234.19033349000006,6.07,34,16180,11,-0.2741702036932111,12339.546875,2.2411346435546875e-05,26304.476684570312,0.0052734375,0.0001,50,-0.008993834521970712,0.2,0.0010410531
12194.0,0,12288,221.39449228,5.95,34,17711,12,-0.24885550569742917,12731.7587890625,6.783008575439453e-05,26040.5462890625,0.001171875,0.0001,55,-0.00549033930292353,0.2,0.0007087496
11922.0,0,13312,234.3792224,6.29,34,19227,13,-0.22810344099998475,12111.775390625,1.722574234008789e-05,25037.622827148436,0.00703125,0.0001,60,-0.006203929785988294,0.2,0.0008567558
11922.0,0,14336,216.58285731000004,5.94,34,20752,14,-0.23167326506227254,12117.29296875,0.00039392709732055664,24572.158471679686,0.01171875,0.0001,65,-0.007254118000855669,0.2,0.0014782189
12098.0,0,15360,220.15395259000002,6.06,34,22294,15,-0.23072316795587539,12498.435546875,0.0004979968070983887,24396.226513671874,0.00859375,0.0001,70,-0.009617802494904026,0.2,0.0016012632
11922.0,0,16384,225.33671445,5.98,34,23842,16,-0.19693394005298615,11769.3505859375,3.8623809814453125e-05,23784.846240234376,0.010546875,0.0001,75,-0.0067654555547051135,0.2,0.0012189945
12194.0,0,17408,234.35144468000001,6.01,34,25398,17,-0.17751821503043175,11335.681640625,-8.106231689453125e-06,22983.13376464844,0.00703125,0.0001,80,-0.004450055409688502,0.2,0.0011624573
12018.0,0,18432,239.03095262000002,5.92,34,26959,18,-0.1648823586292565,11453.89453125,0.0003705620765686035,22182.97102050781,0.0001953125,0.0001,85,-0.0028680489340331405,0.2,0.00030499935
12018.0,0,19456,239.05357163000005,5.92,34,28519,19,-0.1467272687703371,10777.625,4.547834396362305e-05,22090.59658203125,0.00234375,0.0001,90,-0.004105476790573448,0.2,0.00035976397
11922.0,0,20480,225.94185736000003,5.91,34,30088,20,-0.13753716284409165,10568.880859375,-6.520748138427734e-05,21283.087329101563,0.001171875,0.0001,95,-0.0026300758006982507,0.2,0.00035415066
12162.0,0,21504,234.51933356000006,5.91,34,31650,21,-0.13625256177037953,10360.8173828125,5.614757537841797e-05,20839.85939941406,0.00078125,0.0001,100,-0.002808427286799997,0.2,0.00017593388
11922.0,0,22528,230.08495264000004,5.88,34,33217,22,-0.12469179136678576,9864.59375,-2.777576446533203e-05,20169.3251953125,0.0046875,0.0001,105,-0.005013510625576601,0.2,0.000777867
12098.0,0,23552,230.01352405,5.88,34,34782,23,-0.11840655328705907,9672.6552734375,-1.2755393981933594e-05,19977.54362792969,0.0001953125,0.0001,110,-0.0010638576932251453,0.2,0.00010757736
12018.0,0,24576,234.63838551000003,5.92,34,36359,24,-0.11298012714833021,9408.232421875,-2.300739288330078e-05,19316.24931640625,0.0015625,0.0001,115,-0.002529784670332447,0.2,0.00034636148
