rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,custom/current_screen,rollout/ep_rew_mean,custom/max_height,train/n_updates,train/entropy_loss,train/explained_variance,train/value_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/policy_gradient_loss,train/loss,train/approx_kl
11.065217391304348,1024,732,1,1,35,186.79790840217393,12282.0,,,,,,,,,,
10.08,2048,1523,2,1,35,167.03048866,12282.0,5,-0.43361288461929715,0.0010083317756652832,29026.49799679487,0.2,0.10837339743589744,0.0001,-0.006473708718728561,13570.98828125,0.0151263755
10.06,3072,2309,3,1,35,177.50884655000002,12378.0,10,-0.46471117064356804,-0.002068161964416504,29743.786694335937,0.2,0.0365234375,0.0001,-0.005095309519674629,15799.923828125,0.0066736983
9.89,4096,3113,4,1,35,177.70814725,12282.0,15,-0.4806955002248287,-0.002001047134399414,28370.171875,0.2,0.0833984375,0.0001,-0.005776495957979933,13292.333984375,0.009351494
9.43,5120,3940,5,1,35,191.93291292,12282.0,20,-0.49027551226317884,-0.0009216070175170898,28219.663525390624,0.2,0.0982421875,0.0001,-0.00856787824886851,15222.9072265625,0.011280341
9.65,6144,4755,6,1,35,211.24782821999995,12282.0,25,-0.4858143739402294,-0.001752018928527832,27804.88786621094,0.2,0.0060546875,0.0001,-0.0005309636646416039,12725.86328125,0.0014733996
9.48,7168,5593,7,1,35,206.54155749999998,12282.0,30,-0.4894635580480099,-0.0026084184646606445,26505.168676757814,0.2,0.0927734375,0.0001,-0.0074785742268431935,13433.181640625,0.0073318556
9.3,8192,6431,8,1,35,201.88498984,12282.0,35,-0.4850656185299158,-0.001259922981262207,26596.340234375,0.2,0.0083984375,0.0001,-0.003041523357387632,13594.7939453125,0.0024471218
9.03,9216,7297,9,1,35,198.25947469,12514.0,40,-0.4816985514014959,-0.0008323192596435547,26421.861279296874,0.2,0.049609375,0.0001,-0.007148395880358293,13001.384765625,0.0060520777
8.94,10240,8170,10,1,35,207.21552519,12282.0,45,-0.45568902008235457,-0.0011327266693115234,26205.030981445314,0.2,0.0708984375,0.0001,-0.00980116346036084,12277.236328125,0.007490321
8.69,11264,9052,11,1,35,217.20311106,12282.0,50,-0.43070934489369395,-0.00034034252166748047,26472.394970703124,0.2,0.0353515625,0.0001,-0.00965399321867153,12776.197265625,0.0043787137
8.51,12288,9959,12,1,35,185.75183833,12282.0,55,-0.4025483526289463,-0.0018267631530761719,25342.2671875,0.2,0.017578125,0.0001,-0.004594963963609189,12594.2421875,0.0045743324
8.51,13312,10855,13,1,35,197.84081813999998,12282.0,60,-0.40536486990749837,-0.0006538629531860352,25961.21823730469,0.2,0.000390625,0.0001,-0.0013806641509290785,11868.2822265625,0.0008964186
8.7,14336,11740,14,1,35,207.59439387999998,12282.0,65,-0.4279909495264292,-0.00036716461181640625,25525.07521972656,0.2,0.04921875,0.0001,0.00023684927728027106,12325.390625,0.0061900914
8.59,15360,12626,15,1,35,202.62690904000002,12378.0,70,-0.4269340928643942,-0.0007625818252563477,24338.765185546876,0.2,0.00390625,0.0001,-0.002586370543576777,12641.7900390625,0.0013721955
