time/iterations,custom/current_screen,custom/max_height,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/loss,train/clip_range
1,36,12658.0,8.73,1475,0,-95.86041999999999,1024,,,,,,,,,,
2,36,12786.0,10.16,2859,0,-79.0376,2048,0.1171875,25,-1.031184408813715,0.009075161,22634.425366210937,0.000630497932434082,-0.01890509619843215,0.0001,15714.5322265625,0.2
3,36,12722.0,11.41,4230,0,-108.03006,3072,0.097265625,30,-0.9976921416819096,0.012105182,27049.054931640625,-0.000362396240234375,-0.014294157997937873,0.0001,10538.6201171875,0.2
4,36,12890.0,10.16,5693,0,-76.43252000000001,4096,0.02265625,35,-1.0091931089758872,0.002378934,42773.46333007813,8.207559585571289e-05,-0.0031742646126076577,0.0001,24393.46875,0.2
5,36,12658.0,10.95,7070,0,-70.08636,5120,0.0654296875,40,-0.9897604048252105,0.008193664,27076.885119628907,3.2961368560791016e-05,-0.009739272511797025,0.0001,10309.8876953125,0.2
6,36,12714.0,12.0,8342,0,-73.2603,6144,0.059765625,45,-0.9582854613661766,0.005788208,22144.9466796875,-7.772445678710938e-05,-0.00982312776031904,0.0001,9680.4443359375,0.2
7,36,12786.0,11.8,9777,0,-63.09798000000001,7168,0.08828125,50,-0.9829777657985688,0.011140467,26634.409814453124,-0.0001875162124633789,-0.012475984892807901,0.0001,12267.0703125,0.2
8,36,12786.0,13.19,11082,0,-94.22095999999998,8192,0.0677734375,55,-0.945738673210144,0.006782351,28477.41534423828,7.659196853637695e-05,-0.006783022714080289,0.0001,17097.4765625,0.2
9,36,12890.0,13.45,12381,0,-76.47024000000002,9216,0.0625,60,-0.9709097124636173,0.0075785406,33418.657421875,-8.14199447631836e-05,-0.009238867013482376,0.0001,21361.333984375,0.2
10,36,12658.0,12.71,13739,0,-71.52994,10240,0.07421875,65,-0.9752094358205795,0.008960475,29109.880895996095,6.198883056640625e-06,-0.00768037837697193,0.0001,17730.828125,0.2
11,36,12786.0,12.45,15104,0,-64.94715999999998,11264,0.0357421875,70,-0.9569892637431622,0.005453718,32795.63826904297,-0.00020265579223632812,-0.005935658974340186,0.0001,21155.123046875,0.2
12,36,12714.0,12.0,16460,0,-72.27978,12288,0.0419921875,75,-0.9440900765359401,0.00783178,23914.359912109376,-0.0004576444625854492,-0.009439331677276641,0.0001,12082.4609375,0.2
13,36,12890.0,13.7,17743,0,-98.83293999999998,13312,0.0501953125,80,-0.9346557468175888,0.007309493,28834.544006347656,6.4373016357421875e-06,-0.002557360922219232,0.0001,17740.625,0.2
14,36,12890.0,12.03,19060,0,-63.49452,14336,0.0283203125,85,-0.9634283676743507,0.0032663716,48137.29287109375,5.4955482482910156e-05,-0.0038538689783308654,0.0001,21178.447265625,0.2
15,36,12714.0,11.42,20457,0,-89.57411999999998,15360,0.0513671875,90,-0.9800182715058326,0.006919192,27141.449938964844,6.0677528381347656e-05,-0.006897770619252697,0.0001,13678.4677734375,0.2
16,36,12890.0,11.94,21812,0,-68.28748,16384,0.0625,95,-0.9742524564266205,0.008520316,20085.10627441406,-4.470348358154297e-05,-0.010049474262632429,0.0001,5501.3291015625,0.2
17,36,12786.0,12.36,23097,0,-73.02617999999998,17408,0.11953125,100,-0.960722380131483,0.009745173,22854.57520751953,4.416704177856445e-05,-0.014157851441996171,0.0001,10687.0498046875,0.2
18,36,12786.0,12.63,24424,0,-58.77206,18432,0.1140625,105,-1.0013682849705219,0.013741044,23828.213024902343,9.733438491821289e-05,-0.009230242174817249,0.0001,7947.00244140625,0.2
19,36,12786.0,12.95,25694,0,-51.58006000000001,19456,0.08359375,110,-0.9902149915695191,0.008244749,22322.259509277344,-1.2874603271484375e-05,-0.010265708016231657,0.0001,13000.796875,0.2
20,36,12658.0,12.42,26988,0,-56.403960000000005,20480,0.0490234375,115,-0.9950528278946876,0.0068372646,23479.185913085938,-2.5153160095214844e-05,-0.008559454861097038,0.0001,5323.4462890625,0.2
21,36,12722.0,11.7,28246,0,-62.81284000000001,21504,0.0294921875,120,-0.9740027360618114,0.0057165427,30071.03779296875,0.0009326338768005371,-0.004133363236906007,0.0001,15037.51171875,0.2
22,36,12714.0,11.7,29559,0,-70.64387999999998,22528,0.0654296875,125,-0.9833293102681637,0.0071716346,17461.069177246092,0.005111038684844971,-0.008816215343540535,0.0001,5901.5546875,0.2
23,36,12786.0,11.39,30933,0,-51.64078000000001,23552,0.015625,130,-0.948025518655777,0.003082872,29281.462890625,0.010530233383178711,-0.0028058336290996523,0.0001,22988.576171875,0.2
24,36,12890.0,11.9,32256,0,-61.771440000000005,24576,0.0630859375,135,-0.9892385303974152,0.007871915,17219.748919677735,0.014043092727661133,-0.009266847933758982,0.0001,13236.7099609375,0.2
25,36,12786.0,10.37,33635,0,-63.83476,25600,0.030859375,140,-0.9778369680047035,0.004695802,34249.7210571289,0.02246767282485962,-0.006036424939520657,0.0001,23304.728515625,0.2
