rollout/ep_rew_mean,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,custom/max_height,time/time_elapsed,custom/current_screen,train/value_loss,train/clip_fraction,train/clip_range,train/loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/entropy_loss
-51.26770454545454,1024,1,11.488636363636363,0,12890.0,1260,36,,,,,,,,,,
-49.494519999999994,2048,2,14.16,0,12882.0,2412,36,16851.971575927735,0.0662109375,0.2,10942.16015625,0.0064921933,0.0001,-0.010441236797487364,150,0.02788466215133667,-0.9451192364096641
-45.782740000000004,3072,3,14.11,0,12786.0,3651,36,30467.428442382814,0.0806640625,0.2,16950.640625,0.008575773,0.0001,-0.010863930697087198,155,0.024582087993621826,-0.9520540259778499
-83.59866,4096,4,13.07,0,12786.0,4813,36,21458.552648925783,0.058203125,0.2,10180.37890625,0.0050562485,0.0001,-0.006376899435417726,160,0.04442483186721802,-0.9679110012948513
-60.54588,5120,5,12.76,0,12786.0,6084,36,33074.454418945315,0.051953125,0.2,17584.14453125,0.0060119387,0.0001,-0.00523803160758689,165,0.04004722833633423,-0.9667403876781464
-64.5561,6144,6,11.84,0,12786.0,7304,36,20947.854431152344,0.021484375,0.2,10805.69140625,0.0037486264,0.0001,-0.0043485139380209144,170,0.03657776117324829,-0.948533260077238
-26.055480000000003,7168,7,11.84,0,12786.0,8595,36,24039.700817871093,0.0708984375,0.2,22081.9765625,0.0047273054,0.0001,-0.00763422510935925,175,0.03558868169784546,-0.9721355967223644
-19.981,8192,8,11.79,0,12786.0,9848,36,15734.615325927734,0.00859375,0.2,7083.294921875,0.0038988085,0.0001,-0.00491714546806179,180,0.055191993713378906,-0.9455890901386738
-22.356580000000005,9216,9,10.48,0,12786.0,11176,36,15872.071966552734,0.0224609375,0.2,10181.0908203125,0.0028906434,0.0001,-0.004350495908875018,185,0.07199090719223022,-0.9501953147351742
-53.82881999999999,10240,10,12.28,0,12714.0,12417,36,15587.18773803711,0.0646484375,0.2,5174.7548828125,0.004971425,0.0001,-0.008105880441144108,190,0.07878679037094116,-0.9279572509229184
-38.30126,11264,11,11.76,0,12786.0,13679,36,26277.06044921875,0.0078125,0.2,14099.25390625,0.00316926,0.0001,-0.004711530049098656,195,0.05658376216888428,-0.9437174946069717
-51.56208000000001,12288,12,13.07,0,12890.0,14827,36,16267.595056152344,0.025,0.2,9442.5126953125,0.005271475,0.0001,-0.0048410080256871876,200,0.07639777660369873,-0.9511536337435246
-84.75548,13312,13,13.2,0,12658.0,15992,36,29366.047973632812,0.006640625,0.2,15176.212890625,0.0054145353,0.0001,-0.007003849686589092,205,0.046607017517089844,-0.9631514981389045
-37.10672,14336,14,11.73,0,12714.0,17272,36,24176.125891113283,0.0162109375,0.2,6270.54736328125,0.0014417757,0.0001,-0.0033403806388378142,210,0.04750031232833862,-0.9813221834599972
-52.006640000000004,15360,15,12.52,0,12714.0,18420,36,17025.209851074218,0.01484375,0.2,8697.6015625,0.004005627,0.0001,-0.005481962987687439,215,0.05727916955947876,-0.9445997834205627
-68.97588,16384,16,9.91,0,12786.0,19795,36,23039.548107910156,0.0947265625,0.2,7684.26220703125,0.010594237,0.0001,-0.011876098101492972,220,0.058965861797332764,-0.9760505296289921
-67.34447999999999,17408,17,12.7,0,12786.0,20987,36,21283.836346435546,0.0052734375,0.2,16830.49609375,0.002162151,0.0001,-0.004790763009805232,225,0.04329121112823486,-0.9305341027677059
