time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,custom/current_screen,rollout/ep_rew_mean,custom/max_height,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/loss,train/policy_gradient_loss
2127,0,13.66,2048,1,36,424.2298541,12882.0,,,,,,,,,,
4133,0,12.63,4096,2,36,374.76067089000003,12786.0,0.005887517,0.0001,0.0035279393196105957,125,0.048828125,-0.7691255379468203,49609.49074707031,0.2,25341.8203125,-0.00987224858836271
6154,0,13.7,6144,3,36,430.47348747999996,12714.0,0.0055210246,0.0001,0.00029164552688598633,130,0.04521484375,-0.7596529651433229,48901.305395507814,0.2,22644.08203125,-0.008509881119243801
8245,0,12.8,8192,4,36,383.77590073,12658.0,0.0044238735,0.0001,0.0007724165916442871,135,0.03720703125,-0.7606786716729402,49315.243823242185,0.2,24079.521484375,-0.008775797105045058
10281,0,14.04,10240,5,36,466.65336961,12722.0,0.0066677816,0.0001,0.0012179017066955566,140,0.04921875,-0.7506931960582733,47077.17028808594,0.2,20190.78515625,-0.009265130944550037
12405,0,12.93,12288,6,36,370.31512964000007,12715.32,0.0066150967,0.0001,0.0016794204711914062,145,0.04453125,-0.7683879252523184,44011.34802246094,0.2,22069.021484375,-0.008803539210930467
14378,0,13.47,14336,7,36,434.0280106100001,12722.0,0.0059151873,0.0001,0.00173187255859375,150,0.0412109375,-0.7498198695480823,44428.03374023437,0.2,22381.416015625,-0.007783877960173413
16425,0,13.74,16384,8,36,474.94766708,12882.0,0.004548399,0.0001,0.0017895698547363281,155,0.0283203125,-0.7372619967907668,44613.70234375,0.2,23570.314453125,-0.007427376572741196
18511,0,13.96,18432,9,36,493.06285649000006,12882.0,0.010051878,0.0001,0.0001799464225769043,160,0.058318661971830985,-0.7572062103681161,43785.96352332747,0.2,22201.119140625,-0.01193633735586535
20665,0,12.84,20480,10,36,315.05409765,12658.0,0.006991646,0.0001,0.0035596489906311035,165,0.04755859375,-0.7765811964869499,39743.50552978516,0.2,18567.0546875,-0.00759627469960833
22687,0,13.42,22528,11,36,400.0958317700001,12658.0,0.0068329843,0.0001,0.0015529394149780273,166,0.056107954545454544,-0.7733851427381689,42468.20108309659,0.2,23209.814453125,-0.0036647703329270535
24639,0,13.08,24576,12,36,435.1400799499999,12890.0,0.008818418,0.0001,0.0016170740127563477,171,0.0529296875,-0.7560374639928341,39435.02305908203,0.2,19608.380859375,-0.007864556348067708
26707,0,13.38,26624,13,36,364.67869712,12714.0,0.011378548,0.0001,0.003031909465789795,176,0.0732421875,-0.7856322456151247,40074.397705078125,0.2,21238.109375,-0.01087088535859948
28825,0,13.0,28672,14,36,365.0756350600001,12715.32,0.007130208,0.0001,0.004384756088256836,181,0.07333984375,-0.7841361455619336,41504.702856445314,0.2,22492.99609375,-0.012138435579254292
30793,0,13.37,30720,15,36,432.0685314600001,12717.88,0.0077675236,0.0001,0.001910567283630371,186,0.059765625,-0.7933474786579608,39414.08542480469,0.2,15793.0361328125,-0.008289854833856225
32718,1,12.8,32768,16,36,384.38831856,12882.0,0.008187576,0.0001,0.005242526531219482,191,0.07109375,-0.770065626874566,41376.51762695312,0.2,19863.291015625,-0.015617999629466795
34743,1,13.6,34816,17,36,424.68380704,12714.0,0.006551548,0.0001,0.0024649500846862793,196,0.054296875,-0.7502224963158369,37957.32310791015,0.2,20101.115234375,-0.00999144845700357
36697,1,13.11,36864,18,36,388.39455290999996,12722.0,0.0056847814,0.0001,0.0016425251960754395,201,0.05205078125,-0.7623255319893361,39659.81334228515,0.2,21268.76953125,-0.00969286389881745
