time/iterations,time/fps,custom/current_screen,rollout/ep_len_mean,custom/max_height,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/explained_variance,train/loss,train/approx_kl
1,1,37,9.807692307692308,13058.0,13.181833615384615,492,512,,,,,,,,,,
2,1,37,10.448979591836734,13026.0,34.01516659183673,939,1024,-0.6108131246133284,-0.006979418749159033,43247.92116477273,2,0.08096590909090909,0.2,0.0001,0.0001347064971923828,19715.42578125,0.0275688
3,1,37,12.06,13258.0,60.234100789999985,1357,1536,-0.6173739820718765,-0.015541723486967385,42643.03681640625,7,0.06875,0.2,0.0001,0.0002142190933227539,21855.5703125,0.01096724
4,1,37,11.7,13058.0,98.86580774000002,1820,2048,-0.6216193759763563,-0.01196464042909242,75514.60008445945,12,0.07347972972972973,0.2,0.0001,-0.0007010698318481445,43353.2421875,0.017223343
5,1,37,11.82,13058.0,138.64907626000002,2285,2560,-0.6241964206099511,-0.01712408633902669,46283.16962890625,17,0.07734375,0.2,0.0001,0.0006944537162780762,24960.802734375,0.009953069
6,1,37,12.32,13058.0,166.28981914,2725,3072,-0.608636454532021,-0.00935293508595542,57911.13301809211,20,0.04276315789473684,0.2,0.0001,0.00013142824172973633,25970.521484375,0.019281162
7,1,37,11.67,13202.0,102.82909203999999,3198,3584,-0.6221075788140297,-0.012715864880010485,53644.563671875,25,0.092578125,0.2,0.0001,1.0013580322265625e-05,25347.935546875,0.011969348
8,1,37,12.19,13282.0,154.78634902,3630,4096,-0.6167772948741913,-0.01866206987760961,44811.9755859375,30,0.1328125,0.2,0.0001,-0.00021457672119140625,21965.37890625,0.010838768
9,1,37,11.32,13058.0,220.19103793,4138,4608,-0.6084677174687385,-0.00638846808578819,58622.07841796875,35,0.03203125,0.2,0.0001,0.0001709461212158203,35649.08984375,0.006027248
10,1,37,10.93,13058.0,233.78595038999995,4597,5120,-0.6038840487599373,-0.006125788693316281,58719.728515625,40,0.01015625,0.2,0.0001,2.181529998779297e-05,31716.638671875,0.0026960657
11,1,37,11.52,13258.0,218.69040394999996,5071,5632,-0.5955342382192612,-0.005808841018006205,46776.21923828125,45,0.026953125,0.2,0.0001,-5.7220458984375e-05,24288.12890625,0.0038527884
12,1,37,12.49,13202.0,242.34555859,5509,6144,-0.5816808216273784,-0.005126725207082928,52062.65732421875,50,0.013671875,0.2,0.0001,1.9073486328125e-06,24174.341796875,0.0031984057
13,1,37,13.16,13058.0,287.66877931,5948,6656,-0.5596781991422176,-0.014842117228545249,49680.08369140625,55,0.071875,0.2,0.0001,5.185604095458984e-06,26332.017578125,0.009496388
