time/time_elapsed,rollout/ep_rew_mean,custom/max_height,rollout/ep_len_mean,custom/current_screen,time/iterations,time/total_timesteps,time/fps,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss
2107,-89.45054400999997,13058.0,10.29,37,1,2048,0,,,,,,,,,,
3962,-66.44013768,13058.0,11.44,37,2,4096,1,0.10400390625,0.00914056,57,0.0023173093795776367,0.0001,22424.739221191405,-0.00981466137454845,11240.931640625,0.2,-0.8785453051328659
5905,-74.02985799,13282.0,10.41,37,3,6144,1,0.09814453125,0.008728765,62,0.011656463146209717,0.0001,25638.686975097655,-0.014190376439364627,12928.39453125,0.2,-0.8289298176765442
7806,-11.997939429999997,13258.0,11.05,37,4,8192,1,0.03505859375,0.004898634,67,0.018318116664886475,0.0001,35703.91080322266,-0.007330023968825117,20400.66796875,0.2,-0.8175560448318719
9780,-27.82119982,13058.0,10.77,37,5,10240,1,0.034375,0.0036264719,72,0.03054630756378174,0.0001,29565.1595703125,-0.007792718613927718,12971.6142578125,0.2,-0.7482486933469772
11695,-79.00881207000002,13026.0,10.07,37,6,12288,1,0.01552734375,0.004205672,77,0.028820037841796875,0.0001,30632.12625732422,-0.004729228702490218,14023.0419921875,0.2,-0.7296092111617327
13407,33.94180831999999,13026.0,12.46,37,7,14336,1,0.005078125,0.0028392668,82,0.03632795810699463,0.0001,29561.0923828125,-0.0033930886987945997,16217.0322265625,0.2,-0.783988120406866
15267,-29.82684332,13058.0,13.45,37,8,16384,1,0.0021484375,0.00096918497,87,0.03080350160598755,0.0001,37743.31131591797,-0.0020412408368429167,17710.576171875,0.2,-0.7543597664684057
16917,13.605357269999999,13258.0,13.58,37,9,18432,1,0.00361328125,0.0020251642,92,0.02690809965133667,0.0001,36391.06748046875,-0.0029778776253806425,17776.212890625,0.2,-0.7585755780339241
18569,-6.511831279999995,13058.0,15.84,37,10,20480,1,0.004296875,0.0022298698,97,0.03521549701690674,0.0001,33911.470227050784,-0.004980389928095974,14534.3203125,0.2,-0.7368062857538462
20330,-7.150946610000003,13058.0,12.41,37,11,22528,1,0.002734375,0.0009624602,102,0.013557493686676025,0.0001,36192.59182128906,-0.0025755543378181756,23711.76953125,0.2,-0.7123460888862609
22161,-12.659583059999997,13026.0,11.96,37,12,24576,1,0.00595703125,0.0021805956,107,0.027990520000457764,0.0001,32650.631481933593,-0.0025318779371446,15649.59765625,0.2,-0.7054239317774773
23946,33.09774606999999,13058.0,14.57,37,13,26624,1,0.0015625,0.00089668785,112,0.01363605260848999,0.0001,34493.168139648435,-0.0016756484488723799,19341.51953125,0.2,-0.7155074708163738
25639,13.159431500000013,13058.0,14.44,37,14,28672,1,0.0091796875,0.0025018342,117,0.04871261119842529,0.0001,31415.3154296875,-0.003919235043576918,20611.33203125,0.2,-0.7155070293694734
27368,22.47318612000001,13258.0,12.69,37,15,30720,1,0.00146484375,0.00080595026,122,0.023064494132995605,0.0001,38343.058374023436,-0.0020786105953447985,18961.0390625,0.2,-0.719318494386971
