time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,custom/max_height,custom/current_screen,time/time_elapsed,time/fps,train/explained_variance,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/loss
1,2048,-123.84048665999997,6.43,13058.0,37,2534,0,,,,,,,,,,
2,4096,-114.71452285999996,7.97,13026.0,37,4903,0,0.0001533031463623047,20437.818145751953,47,0.0001,0.0681640625,0.2,-0.849401606246829,0.0062982277,-0.010264684444700833,12109.0341796875
3,6144,-88.52223242999997,7.83,13058.0,37,7247,0,4.589557647705078e-05,26475.93829956055,52,0.0001,0.03662109375,0.2,-0.8270799908787012,0.005550177,-0.007519952868460677,19327.947265625
4,8192,-71.16888445,8.95,13026.0,37,9507,0,2.7954578399658203e-05,22759.085711669923,57,0.0001,0.12919921875,0.2,-0.7900409817695617,0.012749487,-0.005154158821096644,10407.783203125
5,10240,-107.07781670999996,7.79,13058.0,37,11690,0,0.00026553869247436523,21857.895422363283,62,0.0001,0.0775390625,0.2,-0.7759190831333399,0.012256583,-0.00441284106054809,10126.76171875
6,12288,-74.27451107,8.99,13026.0,37,13864,0,0.0006143450736999512,20261.53822631836,67,0.0001,0.0814453125,0.2,-0.7792662177234888,0.0069709327,-0.007096539760823362,10910.4716796875
7,14336,-70.12702468,9.99,13026.0,37,15912,0,0.00017076730728149414,24780.628097306435,72,0.0001,0.08115671641791045,0.2,-0.7610635935370602,0.013997038,-0.005500211576764375,14091.6572265625
8,16384,-78.77446885,9.16,13026.0,37,18100,0,0.0008289813995361328,23724.428118896485,77,0.0001,0.02734375,0.2,-0.7985908575356007,0.0042484277,-0.004284611807088367,10291.6123046875
9,18432,-46.605157479999995,8.9,13026.0,37,20401,0,0.0007194280624389648,27356.747668457032,82,0.0001,0.06337890625,0.2,-0.8344908937811851,0.008201328,-0.0054066415090346705,9341.599609375
10,20480,-58.257546530000006,10.37,13026.0,37,22392,0,0.001211404800415039,30978.411041259766,87,0.0001,0.019921875,0.2,-0.7874318499118089,0.004426902,-0.0038013741868780926,11129.486328125
11,22528,-80.99016697,9.99,13058.0,37,24552,0,0.0018603801727294922,26399.659674072267,92,0.0001,0.0115234375,0.2,-0.787821888923645,0.0032301792,-0.004056786929140799,14624.4248046875
12,24576,-82.69192097,8.43,13026.0,37,26868,0,0.007898271083831787,23858.05143432617,97,0.0001,0.01953125,0.2,-0.819075395539403,0.0041915295,-0.0036337327619548887,12080.3251953125
13,26624,-49.82230328,10.98,13026.0,37,28851,0,0.005868792533874512,22036.93203125,102,0.0001,0.0298828125,0.2,-0.7558430392295122,0.006028223,-0.0070657751173712315,9687.2578125
14,28672,-69.86007596,8.53,13026.0,37,30931,0,0.00572580099105835,25616.977935791016,107,0.0001,0.05107421875,0.2,-0.8158166065812111,0.004393763,-0.007296031070291064,9078.697265625
15,30720,-31.563679280000006,10.83,13058.0,37,32872,0,0.004576563835144043,26368.226916503907,112,0.0001,0.0087890625,0.2,-0.75723190382123,0.0035801646,-0.003518337261630222,13379.7412109375
16,32768,-89.80489075999996,10.4,13058.0,37,34866,0,0.013204336166381836,24962.159918212892,117,0.0001,0.00107421875,0.2,-0.7949161428958178,0.0007691907,-0.0017035805620253086,12724.9833984375
17,34816,-42.164069440000006,9.44,13058.0,37,36954,0,0.01115274429321289,28457.637634277344,122,0.0001,0.00244140625,0.2,-0.7901808463037014,0.002975149,-0.003496961246128194,15835.701171875
18,36864,-79.35433671999999,10.25,13058.0,37,38896,0,0.012053728103637695,28863.2770324707,127,0.0001,0.0009765625,0.2,-0.7550233881920576,0.0010308882,-0.0021820159890921786,13707.361328125
19,38912,-90.09510136999998,9.25,13282.0,37,41033,0,0.0041179656982421875,36609.83184814453,132,0.0001,0.0005859375,0.2,-0.7884833373129367,0.0008097951,-0.0013024520420003682,22311.384765625
20,40960,-34.414927860000006,10.71,13058.0,37,42966,0,0.01177370548248291,27420.843035888673,137,0.0001,9.765625e-05,0.2,-0.7544502329081297,0.0010351324,-0.0022542342980159447,9219.5908203125
