time/total_timesteps,custom/max_height,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,custom/current_screen,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/entropy_loss,train/value_loss,train/approx_kl
2048,13058.0,10.93,1,-124.93111205999998,37,1,1944,,,,,,,,,,
4096,13058.0,10.84,2,-119.24247027999998,37,1,3906,18376.794921875,0.015406668186187744,0.001171875,0.2,-0.000984061905182898,357,0.0001,-0.7789056174457073,30470.59084472656,0.00047552932
6144,13058.0,11.54,3,-168.12971618,37,1,5962,13786.5673828125,0.016525328159332275,0.0046875,0.2,-0.0013882085593650117,362,0.0001,-0.7709325514733791,36068.2037109375,0.0019190838
8192,13058.0,11.24,4,-159.45704697999997,37,1,7927,11819.0830078125,0.015398740768432617,0.0310546875,0.2,-0.004298668925184756,367,0.0001,-0.7683742076158524,22568.193743896485,0.0057840953
10240,13026.0,9.41,5,-119.55274905999997,37,1,9984,14657.03125,0.004955410957336426,0.03408203125,0.2,-0.004164512670831755,372,0.0001,-0.7678498443216085,32450.1841796875,0.0052825427
12288,13058.0,9.26,6,-146.47779246,37,1,12020,14966.51171875,0.001026153564453125,0.01845703125,0.2,-0.005501948751043528,377,0.0001,-0.793868312984705,33264.995080566405,0.0044678254
14336,13258.0,9.45,7,-137.72051341,37,1,14082,15037.005859375,0.02034682035446167,0.01064453125,0.2,-0.003273808670928702,382,0.0001,-0.7664610624313355,26899.38302001953,0.0022480793
16384,13026.0,11.03,8,-114.69692666999998,37,1,16088,13059.7529296875,0.02200305461883545,0.00712890625,0.2,-0.0031381712178699672,387,0.0001,-0.7713982086628676,27176.535595703124,0.0028533763
18432,13026.0,11.49,9,-117.08478761999997,37,1,17974,10999.03515625,0.02662557363510132,0.01572265625,0.2,-0.006183029795647599,392,0.0001,-0.774497513845563,24543.42787475586,0.0029739323
20480,13058.0,9.72,10,-151.38143984999996,37,1,19935,18437.630859375,0.010356128215789795,0.0021484375,0.2,-0.0017529518489027395,397,0.0001,-0.8228198692202568,28500.33734741211,0.0011561692
22528,13058.0,9.67,11,-151.68019646,37,1,21939,16656.59375,0.009901046752929688,0.00458984375,0.2,-0.0019125300081213937,402,0.0001,-0.8131941799074411,29781.171643066406,0.001953452
24576,13026.0,8.82,12,-148.46453483999997,37,1,24081,16025.2177734375,0.0021505355834960938,0.00751953125,0.2,-0.0026342611003201456,407,0.0001,-0.8007787942886353,31641.993896484375,0.00243714
26624,13058.0,9.35,13,-112.46285741999998,37,1,26158,9504.3251953125,0.0025455355644226074,0.02763671875,0.2,-0.004847720394900534,412,0.0001,-0.7923317529261112,21623.254400634767,0.0027243271
28672,13058.0,10.78,14,-113.26569220999998,37,1,28158,13682.9892578125,0.01015472412109375,0.00341796875,0.2,-0.002008005580864847,417,0.0001,-0.797943702340126,25797.79376831055,0.0014181719
30720,13258.0,10.6,15,-128.07299565999998,37,1,30116,14625.3115234375,0.028808772563934326,0.0046875,0.2,-0.0020762660758919084,422,0.0001,-0.8072099562734365,26171.3801940918,0.0013785651
32768,13026.0,9.64,16,-120.97509634999999,37,1,32123,15750.5244140625,0.030342936515808105,0.00234375,0.2,-0.0021495018561836334,427,0.0001,-0.8176071599125863,26432.18540649414,0.0011353248
34816,13026.0,9.12,17,-147.42308243,37,1,34121,13019.55859375,0.013564229011535645,0.0013671875,0.2,-0.0011614989562076516,432,0.0001,-0.8060408223420381,28987.19708251953,0.00066161266
36864,13026.0,9.8,18,-126.33305385999996,37,1,36124,11079.0185546875,0.01776212453842163,0.00244140625,0.2,-0.0014323874827823601,437,0.0001,-0.8293859597295523,27585.31121826172,0.0006233461
38912,13202.0,10.4,19,-115.93697795999996,37,1,38123,10871.732421875,0.022289633750915527,0.005078125,0.2,-0.001926578942220658,442,0.0001,-0.8133884754031897,22579.566497802734,0.000944061
40960,13026.0,10.31,20,-138.95524995999997,37,1,40176,12832.81640625,0.02380239963531494,0.003125,0.2,-0.001771726969309384,447,0.0001,-0.8142126623541117,29451.207080078126,0.00049608597
43008,13058.0,10.0,21,-147.35205141999998,37,1,42168,13251.388671875,0.03702205419540405,0.0029296875,0.2,-0.001568835403304547,452,0.0001,-0.8026524782180786,27456.507568359375,0.001198075
