custom/max_height,rollout/ep_rew_mean,custom/current_screen,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_range
13058.0,-37.37483421000001,37,1,1,1786,2048,10.55,,,,,,,,,,
13058.0,-92.68045755999997,37,2,1,3656,4096,10.03,0.0001,37023.928125,0.000390625,15369.62109375,-0.0007075981848174706,0.04873764514923096,612,0.0002543119,-0.7332285743206739,0.2
13026.0,-67.8424592,37,3,1,5573,6144,10.66,0.0001,35496.71904296875,0.0029296875,12938.7529296875,-0.0011543910281034187,0.05111783742904663,617,0.0002975732,-0.6987596653401852,0.2
13026.0,-58.78258373,37,4,1,7367,8192,11.59,0.0001,33809.11071777344,0.0044921875,12243.9755859375,-0.0014043965551536531,0.061786532402038574,622,0.0010957678,-0.7057031366974116,0.2
13058.0,-82.90692428,37,5,1,9227,10240,10.43,0.0001,33662.90321044922,0.00263671875,18400.41796875,-0.0008364901063032448,0.05341678857803345,627,0.00024824648,-0.738101139292121,0.2
13058.0,-53.226031549999995,37,6,1,11059,12288,10.41,0.0001,33248.354553222656,0.00126953125,18500.15234375,-0.0012298252739128656,0.05473381280899048,632,0.0002896554,-0.7383834604173899,0.2
13058.0,-36.14810551000001,37,7,1,13015,14336,10.19,0.0001,32094.98112792969,9.765625e-05,17966.3515625,-0.00022494650329463184,0.0573614239692688,637,8.028181e-05,-0.731504026055336,0.2
13282.0,-44.4714395,37,8,1,14843,16384,10.88,0.0001,33475.694116210936,0.00146484375,17109.74609375,-0.0011267235735431314,0.05834883451461792,642,0.00040221092,-0.7319672849029303,0.2
13202.0,-76.28483514999999,37,9,1,16702,18432,10.14,0.0001,36813.64873046875,0.00029296875,16380.044921875,-0.000795347077655606,0.055667221546173096,647,0.00019586104,-0.7569195941090584,0.2
13058.0,-46.89637328,37,10,1,18680,20480,9.89,0.0001,35245.65162353516,0.0,24822.306640625,-0.0011222214641747996,0.05378842353820801,652,0.00018697613,-0.7447244852781296,0.2
13058.0,-81.18343261000001,37,11,1,20582,22528,10.09,0.0001,31814.370874023436,0.00107421875,17526.2265625,-0.0008124663712806068,0.08485090732574463,657,0.00022181377,-0.7185491796582937,0.2
13202.0,-109.79178030999996,37,12,1,22486,24576,10.3,0.0001,35500.677795410156,0.00087890625,18157.4296875,-0.0008363911329070106,0.03437525033950806,662,0.00024851447,-0.7562367163598538,0.2
13202.0,-66.40865969000001,37,13,1,24351,26624,10.09,0.0001,32136.978930664063,0.00244140625,15446.3359375,-0.0012271832849364728,0.02423793077468872,667,0.0007418834,-0.7488494519144296,0.2
13258.0,-97.86123489999996,37,14,1,26188,28672,11.82,0.0001,29194.14079589844,0.001953125,15288.9296875,-0.0015489556972170249,0.037399351596832275,672,0.00042394648,-0.745753663405776,0.2
13058.0,-12.904233879999985,37,15,1,28065,30720,11.11,0.0001,29567.421313476563,0.003515625,15267.400390625,-0.0012463558465242385,0.022118747234344482,677,0.00078923063,-0.7757273942232132,0.2
13282.0,-49.363599099999995,37,16,1,29899,32768,10.63,0.0001,34550.01179199219,9.765625e-05,17132.630859375,-0.0003021167998667806,0.041217923164367676,682,0.00017186604,-0.7459811843931675,0.2
13058.0,-70.56989018999998,37,17,1,31755,34816,10.75,0.0001,35738.09660644531,0.00078125,16116.345703125,-0.0009767335664946585,0.054656803607940674,687,0.00019944465,-0.7559701155871152,0.2
13058.0,0.12823499000001048,37,18,1,33615,36864,11.39,0.0001,40345.511450195314,0.001953125,18887.607421875,-0.0012479676719522105,0.036376893520355225,692,0.00034322558,-0.7775962885469199,0.2
13058.0,-84.77040398,37,19,1,35514,38912,10.42,0.0001,28699.311779785156,0.00087890625,12343.693359375,-0.0004984400846296921,0.0592077374458313,697,0.00018440722,-0.7687834654003382,0.2
13202.0,-79.89106267,37,20,1,37407,40960,10.05,0.0001,31430.348547363283,0.00234375,21027.1484375,-0.0012240536889294162,0.050574660301208496,702,0.00033726284,-0.7579648695886135,0.2
