rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,custom/current_screen,time/time_elapsed,time/total_timesteps,time/fps,custom/max_height,train/clip_fraction,train/value_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/loss
4.7,1,-42.68014041000001,38,3083,2048,0,13466.0,,,,,,,,,,
5.53,2,40.94050273,38,6077,4096,0,13610.0,0.22421875,45581.851171875,0.0001,5,-0.027968333836179228,0.0005952715873718262,0.016232021,0.2,-1.0411103535443544,21454.92578125
6.19,3,-0.5841581399999944,38,8873,6144,0,13466.0,0.1517578125,52395.52338867188,0.0001,10,-0.021744454198051245,0.009647905826568604,0.012021492,0.2,-1.0663322541862725,25069.947265625
7.07,4,94.70649116999998,38,11517,8192,0,13466.0,0.09716796875,51266.76254882813,0.0001,15,-0.01613801479106769,0.012800335884094238,0.010261252,0.2,-1.058751341328025,25296.134765625
6.44,5,100.65510881999998,38,14223,10240,0,13466.0,0.0396484375,54083.09223632813,0.0001,20,-0.008054848184110596,0.011264503002166748,0.0058640908,0.2,-1.0540357209742068,28576.322265625
6.53,6,95.63820761999997,38,16853,12288,0,13378.0,0.0775390625,56782.14943847656,0.0001,25,-0.01100151768187061,0.009858489036560059,0.010083229,0.2,-1.0658086214214564,30329.09765625
7.63,7,156.02915422,38,19449,14336,0,13466.0,0.062109375,54555.00092773438,0.0001,30,-0.008719559537712484,0.0025716423988342285,0.007554593,0.2,-1.051580399274826,24890.9296875
6.88,8,135.27922184,38,21959,16384,0,13378.0,0.0310546875,55564.23764648438,0.0001,35,-0.006126740665058606,0.005539536476135254,0.005114376,0.2,-1.032116247713566,27508.78515625
7.62,9,196.29737082,38,24385,18432,0,13466.0,0.0412109375,56747.94169921875,0.0001,40,-0.006645502924220637,0.003054499626159668,0.0051521943,0.2,-1.0263938803225756,27231.97265625
7.19,10,178.81114581000003,38,26922,20480,0,13466.0,0.04130859375,55063.523217773436,0.0001,45,-0.008448070281883702,0.005002379417419434,0.004382788,0.2,-1.0171761870384217,25780.29296875
7.54,11,200.82058239000006,38,29366,22528,0,13610.0,0.05400390625,57766.09287109375,0.0001,50,-0.013279443819192238,0.0009165406227111816,0.0060877427,0.2,-0.9595918901264667,27680.6796875
8.5,12,265.56143162,38,31719,24576,0,13610.0,0.05947265625,56985.58386230469,0.0001,55,-0.013643146760296076,0.00025963783264160156,0.006462884,0.2,-0.9389779377728701,26184.130859375
7.76,13,283.81617630000005,38,34001,26624,0,13466.0,0.03603515625,54346.52883300781,0.0001,60,-0.008207148121437058,0.00025391578674316406,0.0037216383,0.2,-0.9270798560231924,27902.017578125
8.51,14,296.12723668,38,36357,28672,0,13466.0,0.041796875,51875.592041015625,0.0001,65,-0.0032525449758395554,0.00016480684280395508,0.0042722337,0.2,-0.9397691909223795,26329.232421875
8.01,15,277.79890979000004,38,38701,30720,0,13378.0,0.03603515625,53755.87253417969,0.0001,70,-0.00984105714596808,0.000700831413269043,0.0049851052,0.2,-0.9052183110266924,25180.24609375
7.58,16,318.4480588900001,38,41003,32768,0,13610.0,0.0376953125,51942.8197265625,0.0001,75,-0.006125881822663359,0.0028352737426757812,0.005486749,0.2,-0.8933712102472782,24180.017578125
7.76,17,310.56042638,38,43334,34816,0,13466.0,0.051171875,51746.76804199219,0.0001,80,-0.007930704811587929,0.004744231700897217,0.0042579686,0.2,-0.8853602346032858,27447.74609375
8.28,18,331.40586365,38,45620,36864,0,13610.0,0.05791015625,50498.308813476564,0.0001,85,-0.006408140182611532,0.003850996494293213,0.0043951618,0.2,-0.8689216945320368,23705.1953125
8.14,19,367.21921620999996,38,47931,38912,0,13466.0,0.02255859375,50048.60239257813,0.0001,90,-0.004844694910570979,0.003839433193206787,0.006709308,0.2,-0.8642441615462303,26207.259765625
