rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,custom/current_screen,rollout/ep_rew_mean,custom/max_height,train/approx_kl,train/policy_gradient_loss,train/clip_fraction,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/n_updates,train/loss,train/explained_variance
5.25,1,0,2048,3109,38,-43.843554569999995,13522.0,,,,,,,,,,
5.25,2,0,4096,6109,38,-64.67178931,13378.0,0.019453296,-0.029870545887883675,0.22240691489361702,-1.041521395774598,0.0001,0.2,46312.805019946805,3,23374.181640625,0.00032335519790649414
5.36,3,0,6144,8956,38,8.795328569999992,13466.0,0.013280127,-0.022039989975746722,0.15458984375,-1.0369144108146429,0.0001,0.2,45993.295581054685,8,21643.697265625,0.003578484058380127
5.56,4,0,8192,11932,38,58.33984372,13378.0,0.006231014,-0.013955690752482042,0.07041015625,-1.0245162937790155,0.0001,0.2,51006.89047851563,13,22914.5546875,0.008146822452545166
6.07,5,0,10240,14749,38,64.22063764,13466.0,0.0059915055,-0.007627552695339546,0.04755859375,-1.0384509436786176,0.0001,0.2,54486.0150390625,18,31358.099609375,0.01612710952758789
6.18,6,0,12288,17415,38,35.000879899999994,13378.0,0.006154412,-0.00799439194961451,0.04052734375,-1.052969728410244,0.0001,0.2,54592.86552734375,23,26186.48046875,0.015606880187988281
7.26,7,0,14336,19980,38,46.174421150000015,13378.0,0.005480926,-0.006244014570256695,0.04296875,-1.042496609315276,0.0001,0.2,49077.15493164062,28,21182.490234375,0.010793626308441162
6.76,8,0,16384,22561,38,36.67023146,13466.0,0.007101956,-0.007104451835039072,0.04169921875,-1.0638577003031968,0.0001,0.2,52995.8431640625,33,22141.716796875,0.017549574375152588
8.83,9,0,18432,25078,38,84.79967374000002,13610.0,0.0060713235,-0.006408272520639002,0.03427734375,-1.045117787271738,0.0001,0.2,50934.92868652344,38,28150.904296875,0.0041863322257995605
8.75,10,0,20480,27488,38,92.27051188,13466.0,0.0029529238,-0.0031520615506451578,0.00673828125,-1.0384694803506136,0.0001,0.2,46804.91811523437,43,23163.3125,0.0042070746421813965
9.36,11,0,22528,29836,38,131.62632753,13466.0,0.004356494,-0.007555396799580194,0.02607421875,-1.0160899929702283,0.0001,0.2,49992.187890625,48,28075.720703125,0.008546411991119385
9.19,12,0,24576,32024,38,113.71445609999999,13378.0,0.003981465,-0.001994655714952387,0.0193359375,-1.0196636099368335,0.0001,0.2,50872.435546875,53,26008.3359375,0.005265772342681885
