rollout/ep_len_mean,custom/current_screen,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,custom/max_height,train/clip_range,train/clip_fraction,train/loss,train/entropy_loss,train/n_updates,train/learning_rate,train/approx_kl,train/explained_variance,train/value_loss,train/policy_gradient_loss
5.1,39,1,0,1538,62.34465515,1024,13970.0,,,,,,,,,,
4.73,39,2,0,3111,61.033385320000015,2048,13818.0,0.2,0.034765625,15876.03125,-0.5234632555395364,5,0.0001,0.0050923545,0.0004864931106567383,33087.24165039063,-0.016024827596265823
5.08,39,3,0,4624,110.48336510000001,3072,13722.0,0.2,0.0912109375,15738.0009765625,-0.5050565090030432,10,0.0001,0.007212434,0.004089236259460449,32288.23098144531,-0.02379344766959548
5.24,39,4,0,6102,129.262179,4096,13722.0,0.2,0.041796875,16190.525390625,-0.49275759160518645,15,0.0001,0.0038192319,0.003326237201690674,31374.438720703125,-0.009141074324725195
5.23,39,5,0,7598,144.19301592,5120,13794.0,0.2,0.0384765625,14737.3193359375,-0.48081768341362474,20,0.0001,0.0041413717,0.0026550889015197754,30356.961987304687,-0.01087395310169086
5.43,39,6,0,9066,153.00798662999998,6144,13722.0,0.2,0.0634765625,15839.6123046875,-0.4686100024729967,25,0.0001,0.0048192563,0.0007193088531494141,29787.275341796874,-0.01570429642451927
5.26,39,7,0,10545,143.31973019,7168,13794.0,0.2,0.0201171875,14706.5927734375,-0.4571601666510105,30,0.0001,0.002766652,0.000804603099822998,29131.651000976562,-0.009895659168250859
5.34,39,8,0,12036,149.74149641999998,8192,13770.0,0.2,0.0138671875,14143.474609375,-0.42944272607564926,35,0.0001,0.002413923,0.0014581680297851562,28755.510961914064,-0.009690339304506778
5.27,39,9,0,13520,158.71342861000002,9216,13794.0,0.2,0.0201171875,14097.5908203125,-0.4232140839099884,40,0.0001,0.0018577466,0.0006163716316223145,27952.85886230469,-0.005956001661252231
5.72,39,10,0,14964,157.39593899,10240,13722.0,0.2,0.046875,13538.40625,-0.39899361580610276,45,0.0001,0.0044825017,0.00016623735427856445,27846.679760742187,-0.012314895435702055
5.7,39,11,0,16422,175.13032184999997,11264,13922.0,0.2,0.023828125,12997.9013671875,-0.4343767773360014,50,0.0001,0.0030895367,0.001537919044494629,26270.290673828124,-0.008134653646266088
6.17,39,12,0,17800,157.4742627,12288,13794.0,0.2,0.03046875,12077.560546875,-0.4233732849359512,55,0.0001,0.0027025044,0.00012755393981933594,25849.052587890626,-0.007115372316911816
5.69,39,13,0,19219,200.75268936,13312,13970.0,0.2,0.021875,10678.8232421875,-0.44130593053996564,60,0.0001,0.0034833066,0.001034855842590332,25320.254296875,-0.007839546230388805
5.95,39,14,0,20617,200.59241517,14336,13794.0,0.2,0.0283203125,11371.5009765625,-0.436473910883069,65,0.0001,0.0029241766,0.0008996725082397461,24006.90693359375,-0.004874392552301288
5.97,39,15,0,22013,179.64067539000004,15360,13818.0,0.2,0.015625,10787.40234375,-0.43543382100760936,70,0.0001,0.0021042728,0.0009205341339111328,23480.908984375,-0.004431942524388432
5.87,39,16,0,23419,179.70611115,16384,13970.0,0.2,0.01796875,12843.580078125,-0.44991781413555143,75,0.0001,0.0027848254,0.002229630947113037,23557.4556640625,-0.010101388802286237
5.98,39,17,0,24839,212.8615898,17408,13970.0,0.2,0.030859375,10914.7294921875,-0.4349465396255255,80,0.0001,0.003419259,0.00587773323059082,23029.131127929686,-0.007483667181804776
5.95,39,18,0,26235,216.21451045,18432,13970.0,0.2,0.0337890625,10802.080078125,-0.3863767828792334,85,0.0001,0.0035485327,0.006670176982879639,22213.6021484375,-0.010902762960176915
6.05,39,19,0,27609,190.14500678000005,19456,13970.0,0.2,0.0232421875,9923.24609375,-0.3911141447722912,90,0.0001,0.0022571804,0.002652466297149658,20670.38896484375,-0.005878260149620474
6.36,39,20,0,29016,181.28727717,20480,13970.0,0.2,0.0443359375,10160.33984375,-0.4324846416711807,95,0.0001,0.004885815,0.0029988884925842285,21039.33798828125,-0.007207014097366482
6.19,39,21,0,30395,171.47187979000006,21504,13722.0,0.2,0.0302734375,11721.1572265625,-0.47626941837370396,100,0.0001,0.0038355668,0.0013734102249145508,21898.31477050781,-0.007059326721355319
5.84,39,22,0,31793,167.45665329,22528,13818.0,0.2,0.0302734375,9960.0634765625,-0.4617168392986059,105,0.0001,0.003578369,0.0014657378196716309,20318.07907714844,-0.010237534355837852
6.37,39,23,0,33147,225.20205011000002,23552,13818.0,0.2,0.0310546875,9876.1142578125,-0.45875421203672884,110,0.0001,0.003434917,0.000583350658416748,21142.28903808594,-0.00895993696176447
6.12,39,24,0,34539,189.50651226,24576,13818.0,0.2,0.0357421875,8867.6318359375,-0.42937421090900896,115,0.0001,0.0042426623,0.0011379122734069824,17349.992785644532,-0.009877423342550174
6.03,39,25,0,35929,198.16016306999998,25600,13818.0,0.2,0.0294921875,8850.6357421875,-0.4230866238474846,120,0.0001,0.003723968,0.00017368793487548828,18583.796643066406,-0.0052141516469419
6.32,39,26,0,37318,209.98498428000002,26624,13794.0,0.2,0.0404296875,10573.3994140625,-0.40373214446008204,125,0.0001,0.0035513858,0.0006248354911804199,19400.564672851564,-0.011669047269970178
6.17,39,27,0,38754,207.27652385000002,27648,13794.0,0.2,0.0330078125,7982.32080078125,-0.40392354018986226,130,0.0001,0.003628931,0.0008789300918579102,18629.358178710936,-0.007686721964273602
6.31,39,28,0,40126,218.42440798000004,28672,13922.0,0.2,0.01171875,9469.6865234375,-0.3890340462327003,135,0.0001,0.0012749961,8.499622344970703e-05,17646.430432128906,-0.0013898597739171238
