time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/time_elapsed,custom/max_height,custom/current_screen,train/approx_kl,train/loss,train/clip_range,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss
2048,1,7.57,3.3729567300000007,0,2348,1154.0,4,,,,,,,,,,
4096,2,8.44,31.502478540000006,0,4655,1378.0,4,0.0,8993.3056640625,0.2,-0.0011328458786010742,5,-0.7045742191374302,0.0,0.0001,18352.06463012695,-1.6245758160948755e-08
6144,3,8.21,29.978021390000013,0,6996,1226.0,4,0.0,7431.0615234375,0.2,0.0019751787185668945,10,-0.6872231107205152,0.0,0.0001,17813.099200439454,2.7153873816132545e-08
8192,4,6.97,-7.589637309999996,0,9338,1378.0,4,0.008038688,8814.380859375,0.2,0.0006201863288879395,11,-0.6694825134779278,0.05098684210526316,0.0001,17468.986276726973,-0.0005886819409696679
10240,5,7.66,12.585407270000001,0,11666,1394.0,4,0.006907036,8123.373046875,0.2,0.0006919503211975098,12,-0.7004756759852171,0.052734375,0.0001,17106.13348388672,0.0017364095547236502
12288,6,8.82,28.739420110000005,0,13951,1394.0,4,0.0069025713,8390.4208984375,0.2,0.0007592439651489258,13,-0.6907802437032972,0.040736607142857144,0.0001,17259.288330078125,-0.0036364425905048847
14336,7,9.59,43.16206665000001,0,16225,1226.0,4,0.010772446,8814.59765625,0.2,0.0007669925689697266,15,-0.6689139091306262,0.013020833333333334,0.0001,16460.18931749132,-0.0020224386050055423
16384,8,8.73,56.89012608999999,0,18497,1394.0,4,0.008707092,8901.8662109375,0.2,0.0006246566772460938,17,-0.6465096530460176,0.031994047619047616,0.0001,17190.91687593006,1.0282688197635469e-06
18432,9,10.28,81.83010754,0,20797,1378.0,4,0.006657916,9795.2841796875,0.2,0.0005616545677185059,22,-0.6287947908043862,0.05390625,0.0001,16551.888604736327,-0.009163134003756568
20480,10,11.24,139.90470646000003,0,23108,1410.0,4,0.004891532,7361.63232421875,0.2,0.0003018379211425781,27,-0.5942994751036167,0.0455078125,0.0001,16090.780139160157,-0.007224485726328567
22528,11,11.36,128.3468112,0,25387,1378.0,4,0.0051637236,5957.78955078125,0.2,0.0004563331604003906,32,-0.5693899665027857,0.0326171875,0.0001,14388.127044677734,-0.002837733886553906
24576,12,9.7,92.41302163,0,27652,1378.0,4,0.004358152,7383.8447265625,0.2,5.370378494262695e-05,33,-0.570374995470047,0.024639423076923076,0.0001,14862.920860877404,0.005323079235565204
26624,13,11.71,153.84999795000002,0,29905,1154.0,4,0.006128709,7542.6953125,0.2,0.00014257431030273438,34,-0.5624191812846971,0.03940217391304348,0.0001,14492.55859375,2.9350792908150218e-05
28672,14,10.66,91.47349402,0,32191,1154.0,4,0.0054890797,6934.37255859375,0.2,0.0002727508544921875,39,-0.5555899696424603,0.05166015625,0.0001,13807.810437011718,-0.004142242015223019
30720,15,11.71,146.13280226,0,34441,1154.0,4,0.009067439,7076.02734375,0.2,2.7358531951904297e-05,44,-0.5680332684889435,0.0783203125,0.0001,14749.836639404297,-0.0045293704606592655
32768,16,11.58,124.15032853000001,0,36673,1394.0,4,0.00956554,6412.23193359375,0.2,2.092123031616211e-05,46,-0.5442023434137043,0.06633771929824561,0.0001,12537.885005482456,-0.003597017720733818
34816,17,10.98,109.15114607000001,0,38955,1410.0,4,0.009855008,8608.2216796875,0.2,9.816884994506836e-05,49,-0.5477832475056251,0.04736328125,0.0001,13238.11762491862,-0.004090883914614096
36864,18,12.01,147.49034152000002,0,41193,1410.0,4,0.003426788,6370.955078125,0.2,1.7464160919189453e-05,50,-0.5367587689430483,0.026713709677419355,0.0001,12469.211189516129,0.002134852111339569
38912,19,11.6,144.32904965,0,43484,1394.0,4,0.010120138,6137.61279296875,0.2,0.00029724836349487305,52,-0.5346788703291504,0.05873842592592592,0.0001,12550.235261140046,-0.0016757769906824386
40960,20,11.39,132.58798135,0,45789,1410.0,4,0.021296952,5693.98583984375,0.2,-1.430511474609375e-06,54,-0.5113905168631497,0.02803308823529412,0.0001,12508.15079273897,0.000639829140923479
43008,21,11.27,125.10184447000002,0,48105,1378.0,4,0.006890273,8984.7822265625,0.2,1.5079975128173828e-05,55,-0.5108592438286749,0.03879310344827586,0.0001,13233.218177532328,-0.0015859611268187392
45056,22,11.12,115.55527553999998,0,50401,1154.0,4,0.012264753,6380.38330078125,0.2,1.1563301086425781e-05,57,-0.5258535214008824,0.0637600806451613,0.0001,13341.920299899193,-0.0031164419807253345
