rollout/ep_len_mean,time/iterations,time/time_elapsed,custom/current_screen,custom/max_height,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/approx_kl,train/n_updates,train/learning_rate
14.585714285714285,1,933,4,1226.0,112.95572108571429,1,1024,,,,,,,,,,
13.72,2,1881,4,1378.0,103.72844115000002,1,2048,-3.4226104617118834e-09,0.2,-0.7160702399909497,0.0,-0.001657247543334961,5927.33984375,13852.83076171875,0.0,5,0.0001
14.1,3,2792,4,1410.0,120.95199531000002,1,3072,2.7811620384454728e-08,0.2,-0.725096906721592,0.0,0.0017778277397155762,8131.0546875,14511.699475097656,0.0,10,0.0001
15.34,4,3718,4,1378.0,123.48998403,1,4096,-0.012434257834684104,0.2,-0.708806199580431,0.0974609375,0.0006434917449951172,4793.22314453125,12593.3900390625,0.012205344,15,0.0001
15.8,5,4626,4,1378.0,124.32036971999996,1,5120,-0.008653955213958398,0.2,-0.7150919631123542,0.084765625,0.0002587437629699707,5953.015625,12766.273059082032,0.011952528,20,0.0001
15.81,6,5551,4,1410.0,126.92548194,1,6144,-0.003670783725101501,0.2,-0.7084828801453114,0.0314453125,6.318092346191406e-05,5915.44140625,12381.84501953125,0.005088664,25,0.0001
14.39,7,6465,4,1226.0,108.40848489000001,1,7168,0.0036573416353868587,0.2,-0.715347734945161,0.025669642857142856,7.045269012451172e-05,6440.40185546875,13109.22007533482,0.007231549,27,0.0001
15.42,8,7385,4,1394.0,129.95109356999998,1,8192,-0.01129523238632828,0.2,-0.6948108807206154,0.0658203125,0.00011032819747924805,5251.37255859375,12644.989587402344,0.008282895,32,0.0001
15.61,9,8314,4,1410.0,124.51267974000001,1,9216,-0.00808841465623118,0.2,-0.691120183467865,0.0638671875,4.309415817260742e-05,5974.9384765625,12771.167431640624,0.00768523,37,0.0001
15.34,10,9264,4,1154.0,116.90111449,1,10240,-0.003336244755808045,0.2,-0.7262468489946103,0.08517156862745098,8.660554885864258e-05,5729.71337890625,12392.655350030638,0.02103705,41,0.0001
