rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/loss,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/clip_fraction
5.222570949999994,7.93,1024.0,1.0,1,939,,,,,,,,,,
80.21429141,8.62,2048.0,2.0,1,1862,-0.7910720038414002,0.2,2.0,0.0001,14445.5771484375,27874.139921875,0.019501321,-0.0099404378607869,-8.726119995117188e-05,0.124375
125.23955372,8.27,3072.0,3.0,1,2780,-0.7707256391644478,0.2,7.0,0.0001,13418.45703125,27706.25151367188,0.0074615544,-0.007921477605123,0.000679075717926,0.047265625
119.02032975,9.31,4096.0,4.0,1,3774,-0.7487950444221496,0.2,12.0,0.0001,13013.3037109375,27105.07448730469,0.013465306,-0.0109247377258725,-0.0004812479019165,0.074609375
133.00423933000002,9.0,5120.0,5.0,1,4681,-0.7663245797157288,0.2,17.0,0.0001,13766.21484375,26121.20268554688,0.009409612,-0.0121904091327451,-0.0003610849380493,0.06796875
143.21546178000003,9.56,6144.0,6.0,1,5555,-0.740845637023449,0.2,22.0,0.0001,13723.9931640625,27162.870361328125,0.00867,-0.0043691505386959,-7.390975952148438e-05,0.04296875
133.86863859,8.78,7168.0,7.0,1,6470,-0.7513287149369716,0.2,27.0,0.0001,12937.8583984375,24841.38706054688,0.006930878,-0.0049169682781212,-5.888938903808594e-05,0.0724609375
127.03377253000002,8.38,8192.0,8.0,1,7404,-0.7604094296693802,0.2,32.0,0.0001,12708.498046875,25618.797021484374,0.011964695,-0.0119143994175829,-3.671646118164063e-05,0.146484375
136.27761188,8.38,9216.0,9.0,1,8362,-0.7470987625420094,0.2,37.0,0.0001,13990.7275390625,26386.984521484374,0.007299739,-0.0070276305428706,-3.230571746826172e-05,0.0291015625
122.75960083,7.97,10240.0,10.0,1,9341,-0.7017553098499775,0.2,42.0,0.0001,12514.791015625,25579.142016601563,0.007745156,-0.0029029430821537,-1.823902130126953e-05,0.0416015625
176.11500556,8.17,11264.0,11.0,1,10279,-0.6970299661159516,0.2,47.0,0.0001,11724.50390625,26192.11789550781,0.005817893,-0.0070950937806628,-1.347064971923828e-05,0.0326171875
179.80302168999998,8.89,12288.0,12.0,1,11216,-0.6657639354467392,0.2,52.0,0.0001,12753.5537109375,24753.97900390625,0.0048936033,-0.0048171191127039,-2.110004425048828e-05,0.0314453125
167.50432560000002,8.39,13312.0,13.0,1,12175,-0.6931553184986115,0.2,57.0,0.0001,10819.5361328125,23141.25212402344,0.0039010975,-0.0015426001627929,-2.2411346435546875e-05,0.0361328125
155.44723267,8.4,14336.0,14.0,1,13120,-0.6595911487936974,0.2,62.0,0.0001,11388.763671875,23596.95671386719,0.0029484131,-0.0029375372221693,-1.800060272216797e-05,0.0421875
119.93513657,8.23,15360.0,15.0,1,14120,-0.6834685660898685,0.2,67.0,0.0001,11334.91015625,22696.09909667969,0.007550252,-0.0028124216827563,-1.4781951904296877e-05,0.0427734375
150.05781525,7.95,16384.0,16.0,1,15102,-0.6995440058410167,0.2,72.0,0.0001,12169.013671875,25734.681787109374,0.0044398494,-0.0019756427151151,-1.1801719665527344e-05,0.058984375
169.32937252,8.25,17408.0,17.0,1,972,,,,,,,,,,
162.91565103000002,8.07,18432.0,18.0,1,1919,-0.6665652297437191,0.2,154.0,0.0001,10927.294921875,22465.72805175781,0.008158449,-0.0082936193794012,-7.271766662597656e-06,0.1095703125
120.28683284,8.35,19456.0,19.0,1,2879,-0.6775496207177639,0.2,159.0,0.0001,10670.869140625,22695.35,0.0028860394,-0.0023152339970692,-7.390975952148437e-06,0.0236328125
148.18192589000003,9.12,20480.0,20.0,1,3838,-0.6624389234043303,0.2,161.0,0.0001,13709.17578125,24554.33128720238,0.018958896,-0.0046757409082991,-6.794929504394531e-06,0.0453869047619047
153.02184121,8.6,21504.0,21.0,1,4814,-0.7130875676870346,0.2,166.0,0.0001,11207.2646484375,20740.148974609376,0.00682074,-0.0054876229609362,-8.225440979003906e-06,0.0443359375
152.82259689,8.69,22528.0,22.0,1,5775,-0.6658515125513077,0.2,171.0,0.0001,12007.4423828125,21319.925244140624,0.0071917856,-0.0022388901794329,-7.987022399902344e-06,0.0337890625
177.37537350999995,8.85,23552.0,23.0,1,6734,-0.6783361628651619,0.2,176.0,0.0001,12085.9453125,21860.783740234376,0.010110371,-0.0046502928249537,-4.172325134277344e-06,0.06328125
148.02878809000003,8.68,24576.0,24.0,1,7669,-0.6529156111180783,0.2,181.0,0.0001,8557.373046875,18539.170666503906,0.00980168,-0.0073117326828651,-5.602836608886719e-06,0.0552734375
167.71530596,9.41,25600.0,25.0,1,8602,-0.641445865756587,0.2,183.0,0.0001,9599.3740234375,20885.65152138158,0.022524878,-0.0053046169739804,-4.0531158447265625e-06,0.0945723684210526
184.82179241000003,8.88,26624.0,26.0,1,9562,-0.6866165325045586,0.2,188.0,0.0001,7499.4921875,19296.79959716797,0.00827528,-0.0049764290684834,-6.198883056640625e-06,0.0599609375
176.25535933999998,8.68,27648.0,27.0,1,10511,-0.6831867098808289,0.2,193.0,0.0001,7964.02099609375,17523.827587890624,0.006822044,-0.0050274246546905,-5.364418029785156e-06,0.0474609375
169.71771203999998,8.95,28672.0,28.0,1,11462,-0.672776510566473,0.2,198.0,0.0001,9378.0498046875,17510.07536621094,0.0035369308,-0.0065438264049589,-4.529953002929688e-06,0.046875
173.50550267,9.01,29696.0,29.0,1,12396,-0.6831665478646756,0.2,203.0,0.0001,11722.5361328125,19010.531994628906,0.005487847,-0.0008816868881694,-4.649162292480469e-06,0.03125
148.52915500999998,9.13,30720.0,30.0,1,13330,-0.7167866319417954,0.2,208.0,0.0001,9371.099609375,17522.268395996092,0.012494331,-0.0096616822527721,-4.172325134277344e-06,0.094140625
159.78457714,8.77,31744.0,31.0,1,14270,-0.7161519736051559,0.2,213.0,0.0001,9732.3203125,18464.75595703125,0.0076220543,-0.0075325146317481,-4.649162292480469e-06,0.06484375
