custom/current_screen,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,custom/max_height,time/total_timesteps,train/explained_variance,train/value_loss,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction
41,1713,0,-105.70246031,4.38,1,14490.0,1024,,,,,,,,,,
41,3241,0,-24.760170700000003,4.85,2,14442.0,2048,-0.00014674663543701172,40353.47529296875,-0.8399246409535408,19794.478515625,0.0001,0.0155561045,5,0.2,-0.0314817646285519,0.1564453125
41,4777,0,15.720455520000003,5.29,3,14442.0,3072,0.013015925884246826,36690.68959960937,-0.752830921113491,16934.814453125,0.0001,0.01534781,10,0.2,-0.03463612286141142,0.16484375
41,6145,0,94.18226273,6.19,4,14690.0,4096,0.019924402236938477,34852.73491210937,-0.6871030837297439,18024.73828125,0.0001,0.007938145,15,0.2,-0.02392937655095011,0.1125
41,7470,0,57.5583329,6.08,5,14690.0,5120,0.008083820343017578,30636.154150390626,-0.6620077930390835,14415.3486328125,0.0001,0.012656238,20,0.2,-0.016495160054182632,0.094140625
41,8826,0,74.56043718000001,5.81,6,14442.0,6144,0.0005988478660583496,30086.18994140625,-0.6279910564422607,14907.3798828125,0.0001,0.007379235,25,0.2,-0.01696997198741883,0.066015625
41,10082,0,128.39069364,6.84,7,14626.0,7168,0.00048154592514038086,28988.397729492186,-0.6111484210938215,13166.15234375,0.0001,0.0076691704,30,0.2,-0.011344552168156951,0.0705078125
41,11361,0,115.14747614999999,6.56,8,14626.0,8192,0.0002931356430053711,27096.34699707031,-0.5976162351667881,12442.828125,0.0001,0.005524298,35,0.2,-0.0039275504706893115,0.039453125
41,12624,0,142.9429769,6.76,9,14442.0,9216,0.00018459558486938477,26437.791015625,-0.570246696099639,11915.009765625,0.0001,0.005595411,40,0.2,-0.006386178464163094,0.051953125
41,13942,0,129.22542135999998,6.37,10,14490.0,10240,0.00014263391494750977,25161.64699707031,-0.5255998570472002,11554.591796875,0.0001,0.0038133068,45,0.2,-0.006955689203459769,0.0361328125
41,15286,0,69.54146272,5.9,11,14490.0,11264,8.779764175415039e-05,26084.519262695314,-0.5374382704496383,12019.736328125,0.0001,0.005240298,50,0.2,-0.006728079949971289,0.0541015625
41,16551,0,165.71485049999998,6.83,12,14690.0,12288,8.702278137207031e-05,26763.962133789064,-0.5657185856252909,14076.9892578125,0.0001,0.002075049,55,0.2,-0.0028786673792637885,0.0373046875
41,17882,0,73.48111501,5.97,13,14690.0,13312,7.802248001098633e-05,23835.579467773438,-0.5552466969937087,12768.84765625,0.0001,0.0046937065,60,0.2,-0.008709812734741718,0.063671875
41,19166,0,107.68848723000002,6.62,14,14442.0,14336,7.474422454833984e-05,26507.042260742186,-0.5662243533879519,12690.1923828125,0.0001,0.0075317137,65,0.2,-0.009386999160051345,0.0703125
41,20403,0,129.37275034999996,6.57,15,14490.0,15360,5.0902366638183594e-05,24262.62106933594,-0.5630164332687855,12057.6328125,0.0001,0.004672288,70,0.2,-0.002645292191300541,0.0541015625
41,21651,0,126.66048046999998,6.46,16,14442.0,16384,5.1975250244140625e-05,22822.24982910156,-0.550272050127387,9311.93359375,0.0001,0.00519423,75,0.2,-0.007049786660354584,0.061328125
41,22910,0,143.55673446,6.63,17,14690.0,17408,4.547834396362305e-05,22973.8357421875,-0.5291363466531038,11090.5068359375,0.0001,0.004315518,80,0.2,-0.005860257311724126,0.0501953125
41,24201,0,143.46349593000002,6.57,18,14442.0,18432,3.057718276977539e-05,22815.070849609376,-0.5357981827110052,10876.1845703125,0.0001,0.0043058596,85,0.2,-0.004736049042548984,0.0578125
41,25507,0,135.38303607999998,6.61,19,14626.0,19456,3.266334533691406e-05,23430.959545898437,-0.5111951500177383,12303.361328125,0.0001,0.0018282388,90,0.2,-0.006566208531148731,0.0310546875
